"","x"
"1",7
"2",3
"3",1
"4",1
"7",2
"8",3
"9",7
"10",5
"12",1
"15",1
"18",4
"19",2
"20",1
"21",1
"24",3
"25",1
"26",1
"27",1
"28",7
"29",1
"30",1
"31",1
"32",1
"33",7
"34",4
"35",1
"36",1
"38",1
"39",1
"42",2
"43",2
"45",1
"46",1
"47",2
"48",1
"49",2
"50",1
"54",5
"56",1
"60",9
"61",2
"62",1
"64",2
"66",2
"68",1
"69",1
"71",1
"74",2
"75",2
"77",2
"79",1
"81",1
"82",1
"85",1
"86",1
"89",1
"90",1
"93",1
"94",1
"96",1
"97",1
"99",3
"100",1
"101",3
"102",3
"104",5
"105",1
"107",1
"109",1
"111",1
"112",1
"116",1
"118",2
"120",2
"123",1
"128",1
"129",3
"130",2
"131",3
"134",2
"135",3
"136",2
"137",1
"138",1
"139",1
"140",1
"141",3
"142",3
"145",1
"146",1
"150",1
"151",1
"152",2
"153",3
"154",1
"155",1
"158",3
"161",1
"162",1
"164",1
"165",1
"166",9
"168",1
"169",2
"171",5
"172",1
"173",3
"175",1
"176",1
"177",1
"179",2
"180",3
"183",4
"184",3
"185",1
"188",1
"189",1
"193",1
"194",1
"196",4
"197",4
"198",2
"199",3
"202",22
"204",22
"205",8
"206",15
"207",2
"208",2
"209",1
"210",1
"211",1
"212",3
"214",10
"215",2
"218",1
"219",1
"220",1
"221",1
"222",1
"224",2
"227",1
"231",3
"232",2
"233",2
"235",1
"236",2
"239",10
"241",2
"242",1
"244",1
"246",2
"248",15
"250",1
"251",5
"252",3
"257",2
"260",1
"261",1
"263",6
"264",2
"266",6
"267",1
"273",2
"276",24
"277",1
"280",2
"283",1
"284",2
"285",2
"286",24
"288",1
"290",1
"291",4
"292",2
"293",1
"294",1
"295",3
"296",4
"299",6
"301",9
"302",2
"303",4
"304",2
"306",12
"307",3
"308",2
"312",1
"316",1
"322",1
"323",1
"324",4
"325",3
"326",1
"327",3
"328",1
"329",1
"336",1
"337",1
"339",1
"340",1
"348",1
"349",1
"351",1
"358",3
"359",2
"360",1
"361",1
"367",1
"368",1
"369",7
"371",2
"372",2
"373",2
"374",3
"375",1
"376",2
"377",1
"378",1
"379",2
"380",1
"382",2
"383",6
"384",2
"385",1
"390",12
"391",2
"396",1
"397",1
"398",1
"399",1
"400",1
"407",1
"408",1
"409",2
"412",1
"413",1
"414",1
"415",2
"418",1
"419",1
"420",1
"421",1
"422",1
"427",2
"428",2
"430",1
"431",1
"432",1
"433",5
"434",2
"435",2
"437",1
"439",1
"441",9
"442",4
"443",1
"444",3
"445",1
"449",1
"451",1
"452",1
"453",1
"454",2
"455",6
"456",3
"457",1
"459",2
"460",3
"464",3
"465",3
"472",1
"473",1
"474",3
"478",2
"480",2
"483",2
"484",5
"486",1
"487",4
"488",1
"490",2
"491",2
"492",1
"493",1
"496",1
"497",2
"498",1
"499",3
"505",1
"506",1
"508",1
"509",1
"512",18
"513",9
"514",2
"515",2
"516",1
"517",1
"518",2
"519",1
"520",4
"521",4
"522",5
"525",1
"526",1
"530",3
"531",1
"536",3
"537",1
"538",2
"539",8
"540",1
"543",1
"545",2
"550",4
"553",4
"555",1
"556",1
"557",3
"561",1
"562",2
"563",1
"564",29
"565",29
"566",1
"567",11
"568",7
"569",11
"571",23
"572",20
"573",9
"574",6
"575",2
"576",7
"577",36
"578",1
"582",2
"584",1
"585",2
"586",1
"587",19
"589",1
"590",1
"592",1
"594",2
"595",2
"597",2
"598",2
"599",1
"602",2
"603",1
"604",1
"605",1
"606",25
"609",1
"612",1
"613",2
"614",2
"615",35
"616",24
"617",12
"618",2
"620",2
"621",3
"623",2
"624",2
"626",1
"627",1
"629",1
"630",1
"634",1
"635",1
"639",36
"641",4
"642",3
"644",2
"650",1
"651",1
"652",1
"653",1
"654",2
"659",1
"660",11
"661",6
"662",2
"663",2
"664",6
"666",9
"667",5
"669",25
"670",1
"671",1
"683",1
"684",2
"687",16
"688",8
"689",2
"690",1
"691",2
"692",1
"693",4
"694",8
"700",3
"701",2
"702",2
"703",4
"705",1
"707",4
"709",5
"710",4
"711",2
"713",1
"714",3
"715",2
"716",1
"721",2
"722",12
"723",1
"724",8
"725",1
"728",4
"732",1
"734",1
"735",3
"737",3
"738",1
"739",2
"745",1
"746",1
"748",1
"750",1
"751",2
"752",1
"757",1
"758",1
"762",1
"765",1
"767",1
"771",1
"772",1
"774",14
"775",1
"776",1
"777",2
"779",1
"780",1
"783",2
"784",1
"785",1
"793",1
"794",1
"795",4
"796",1
"797",2
"798",1
"799",1
"801",1
"803",1
"806",2
"809",3
"811",1
"814",2
"815",1
"817",1
"818",3
"819",1
"820",3
"821",3
"822",4
"826",2
"828",1
"829",2
"830",1
"832",2
"833",5
"835",2
"836",22
"839",1
"841",3
"843",2
"844",1
"845",1
"846",1
"847",1
"848",1
"853",1
"854",1
"855",1
"856",1
"865",1
"866",1
"869",4
"870",1
"872",3
"875",16
"876",1
"877",7
"884",2
"886",1
"887",4
"888",2
"889",1
"890",3
"891",1
"892",1
"893",2
"894",1
"895",2
"907",2
"908",2
"912",1
"913",1
"917",2
"918",3
"921",1
"923",2
"924",2
"925",1
"926",1
"927",3
"928",2
"929",2
"930",1
"931",2
"933",2
"935",2
"936",2
"938",3
"942",1
"946",1
"947",5
"949",2
"951",4
"952",12
"956",5
"959",1
"961",2
"962",2
"964",2
"965",1
"970",1
"971",1
"975",1
"976",1
"978",4
"984",2
"992",3
"993",2
"994",1
"995",1
"1004",5
"1006",1
"1007",1
"1010",10
"1018",1
"1019",1
"1023",1
"1025",1
"1026",1
"1027",1
"1028",1
"1029",13
"1032",8
"1033",2
"1034",5
"1036",1
"1037",1
"1038",1
"1039",2
"1040",2
"1041",1
"1043",1
"1050",2
"1051",1
"1052",2
"1055",1
"1057",2
"1059",4
"1060",6
"1061",4
"1062",3
"1065",2
"1067",4
"1068",3
"1070",2
"1071",1
"1073",4
"1079",1
"1080",1
"1082",1
"1083",1
"1084",1
"1085",6
"1086",2
"1087",1
"1088",1
"1090",1
"1091",1
"1092",1
"1094",5
"1095",6
"1096",4
"1097",2
"1098",1
"1100",1
"1101",1
"1102",2
"1103",3
"1104",1
"1106",1
"1107",1
"1109",2
"1113",1
"1115",1
"1116",1
"1117",1
"1124",4
"1125",1
"1127",1
"1135",3
"1136",2
"1137",1
"1142",1
"1143",1
"1144",10
"1145",2
