"","x"
"1",7
"2",3
"7",2
"8",3
"9",7
"10",5
"18",4
"21",1
"24",3
"27",1
"28",7
"33",7
"34",4
"42",2
"46",1
"49",2
"50",1
"54",5
"56",1
"60",9
"79",1
"99",3
"104",5
"105",1
"141",3
"142",3
"166",9
"171",5
"172",1
"173",3
"180",3
"183",4
"184",3
"196",4
"197",4
"202",22
"204",22
"205",8
"206",15
"214",10
"224",2
"231",3
"232",2
"233",2
"239",10
"241",2
"246",2
"248",15
"251",5
"252",3
"263",6
"264",2
"266",6
"267",1
"273",2
"276",24
"277",1
"286",24
"291",4
"292",2
"295",3
"296",4
"299",6
"301",9
"302",2
"303",4
"304",2
"306",12
"307",3
"324",4
"325",3
"327",3
"328",1
"329",1
"358",3
"359",2
"369",7
"383",6
"384",2
"385",1
"390",12
"391",2
"396",1
"415",2
"441",9
"442",4
"444",3
"454",2
"455",6
"456",3
"474",3
"478",2
"480",2
"484",5
"487",4
"490",2
"491",2
"492",1
"493",1
"496",1
"499",3
"512",18
"513",9
"521",4
"522",5
"536",3
"537",1
"538",2
"539",8
"545",2
"550",4
"553",4
"557",3
"561",1
"562",2
"563",1
"564",29
"565",29
"567",11
"568",7
"569",11
"571",23
"572",20
"573",9
"574",6
"576",7
"577",36
"584",1
"587",19
"594",2
"606",25
"615",35
"616",24
"617",12
"618",2
"624",2
"639",36
"641",4
"642",3
"644",2
"660",11
"661",6
"664",6
"666",9
"667",5
"669",25
"671",1
"687",16
"688",8
"689",2
"690",1
"693",4
"694",8
"702",2
"703",4
"707",4
"709",5
"710",4
"711",2
"714",3
"715",2
"721",2
"722",12
"723",1
"724",8
"725",1
"728",4
"732",1
"735",3
"737",3
"739",2
"752",1
"774",14
"777",2
"793",1
"795",4
"806",2
"809",3
"814",2
"815",1
"817",1
"818",3
"821",3
"822",4
"826",2
"832",2
"833",5
"836",22
"841",3
"869",4
"872",3
"875",16
"877",7
"887",4
"888",2
"889",1
"890",3
"891",1
"893",2
"894",1
"931",2
"933",2
"938",3
"946",1
"947",5
"949",2
"951",4
"952",12
"956",5
"964",2
"965",1
"978",4
"984",2
"992",3
"993",2
"1004",5
"1010",10
"1023",1
"1029",13
"1032",8
"1033",2
"1034",5
"1050",2
"1051",1
"1052",2
"1055",1
"1057",2
"1059",4
"1060",6
"1061",4
"1062",3
"1065",2
"1067",4
"1068",3
"1070",2
"1071",1
"1073",4
"1084",1
"1085",6
"1086",2
"1094",5
"1095",6
"1096",4
"1097",2
"1102",2
"1109",2
"1124",4
"1135",3
"1136",2
"1144",10
"1151",5
"1154",4
"1160",11
"1163",9
"1173",5
"1176",3
"1177",1
"1188",7
"1192",24
"1193",4
"1194",2
"1195",3
"1196",2
"1209",24
"1210",1
"1211",2
"1212",3
"1217",11
"1218",12
"1225",7
"1229",2
"1231",6
"1232",2
"1234",8
"1235",6
"1236",2
"1237",1
"1239",24
"1240",7
"1242",11
"1243",3
"1244",1
"1245",3
"1246",21
"1248",4
"1249",3
"1252",1
"1253",3
"1254",19
"1255",24
"1256",15
"1257",4
"1258",3
"1259",2
"1260",2
"1261",8
"1262",3
"1263",10
"1264",3
"1267",20
"1268",5
"1273",14
"1298",8
"1301",16
"1309",13
"1310",1
"1312",6
"1313",1
"1314",2
"1319",6
"1321",7
"1322",4
"1324",1
"1325",1
"1326",1
"1327",2
"1330",1
"1339",3
"1341",1
"1347",3
"1350",2
"1358",1
"1359",3
"1361",2
"1364",1
"1365",2
"1366",1
"1367",4
"1372",3
"1373",2
"1375",4
"1376",5
"1377",1
"1381",3
"1386",1
"1392",3
"1404",6
"1405",2
"1406",2
"1407",1
"1408",9
"1409",2
"1410",1
"1419",1
"1431",25
"1439",2
"1442",3
"1443",4
"1445",2
"1446",5
"1449",2
"1452",2
"1453",2
"1454",1
"1455",2
"1458",6
"1459",6
"1460",3
"1461",1
"1462",3
"1463",5
"1464",6
"1468",3
"1473",8
"1476",1
"1477",2
"1478",3
"1481",2
"1482",3
"1483",2
"1486",3
"1487",1
"1488",4
"1491",2
"1492",1
"1495",2
"1503",3
"1505",1
"1506",3
"1508",2
"1509",2
"1517",2
"1518",1
"1519",3
"1527",23
"1529",5
"1530",5
"1531",6
"1535",1
"1544",2
"1552",2
"1553",1
"1556",4
"1559",5
"1584",2
"1586",2
"1589",4
"1592",2
"1604",4
"1606",4
"1613",3
"1618",1
"1619",2
"1620",2
"1621",4
"1622",1
"1623",6
"1625",4
"1626",4
"1628",5
"1629",16
"1631",3
"1633",2
"1636",25
"1637",1
"1638",2
"1639",15
"1640",15
"1647",28
"1649",7
"1650",5
"1651",12
"1652",5
"1653",3
"1654",2
"1655",5
"1665",32
"1673",14
"1674",14
"1675",7
"1681",14
"1686",21
"1700",4
"1703",34
"1704",7
"1705",10
"1706",1
"1708",2
"1710",15
"1711",2
"1712",24
"1715",16
"1716",9
"1718",12
"1719",41
"1720",12
"1723",5
"1724",37
"1725",5
"1726",29
"1727",10
"1728",14
"1729",1
"1730",18
"1731",14
"1733",2
"1734",2
"1739",13
"1741",3
"1743",2
"1745",28
"1746",8
"1747",26
"1748",6
"1749",3
"1750",2
"1751",1
"1754",4
"1755",1
"1756",6
"1757",5
"1763",18
"1765",11
"1771",30
"1775",19
"1776",2
"1780",8
"1785",11
"1789",33
"1790",19
"1791",7
"1792",6
"1794",8
"1795",2
"1799",17
"1801",8
"1802",8
"1803",5
"1804",3
"1809",8
"1810",19
"1811",11
"1812",6
"1813",8
"1818",1
"1823",25
"1828",6
"1829",5
"1831",5
"1832",20
"1833",33
"1836",5
"1841",9
"1843",1
"1844",16
"1845",4
"1847",6
"1848",5
"1850",12
"1852",5
"1856",1
"1857",3
"1858",1
"1860",20
"1861",6
"1862",2
"1863",2
"1864",3
"1866",7
"1867",5
"1868",6
"1869",10
"1870",16
"1873",24
"1876",21
"1878",2
"1879",2
"1880",1
"1881",8
"1882",9
"1883",19
"1884",7
"1888",3
"1890",5
"1891",2
"1892",8
"1897",8
"1898",24
"1901",21
"1902",3
"1903",1
"1905",33
"1906",18
"1908",17
"1909",1
"1910",1
"1911",3
"1915",5
"1918",1
"1920",3
"1921",17
"1922",8
"1923",2
"1924",5
"1925",9
"1926",5
"1927",13
"1928",9
"1929",6
"1935",5
"1937",4
"1938",2
"1939",26
"1940",13
"1941",9
"1942",29
"1943",34
"1944",11
"1945",11
"1948",37
"1949",33
