Node,Item,AllD,ReplaceD,DelinsD,NumSylls,NumPhones,Duration,PhonND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,Dbet
1,a,7,4,3,1,1,359,79,1041179,5822980,1259642,9081174698,2,^
2,aback,3,2,1,2,4,501,8,15,541,71,277737,4,^b&k
7,abash,2,1,1,2,4,579,4,0,2,2,12974,5,^b&S
8,abated,3,1,2,3,6,400,6,4,226,20,254497,6,^betId
9,abbey,7,3,4,2,3,479,57,162,1069,281,4224864,4,&bi
10,abbot,5,1,4,2,4,532,13,43,320,21,992552,5,&b^t
18,abed,4,3,1,2,4,433,14,10,88,10,150367,5,^bEd
21,abetted,1,1,0,3,6,520,2,8,168,20,149650,6,^bEtId
24,abide,3,3,0,2,4,421,11,138,959,283,3722809,5,^b#d
27,ablaze,1,0,1,2,5,658,7,21,313,39,321927,4,^blez
28,able,7,2,5,2,4,425,28,8155,67548,22021,109389656,5,eb^l
33,aboard,7,5,2,2,5,504,14,1358,4190,663,4084762,5,^b>rd
34,abode,4,2,2,2,4,509,10,33,213,12,1250165,3,^bod
42,abort,2,2,0,2,5,415,7,235,331,68,1570140,6,^b>rt
46,abound,1,0,1,2,5,549,5,18,1068,31,1494791,6,^b$nd
49,about,2,1,1,2,4,464,9,185206,693701,249031,1226763335,5,^b$t
50,above,1,1,0,2,4,565,6,2493,44493,3454,141896477,5,^b^v
54,abreast,5,4,1,2,6,828,6,26,344,26,758922,4,^brEst
56,abroad,1,0,1,2,5,649,4,250,5754,929,14838366,4,^br>d
60,abs,9,5,4,1,3,441,43,54,1211,93,7930065,4,&bz
79,abstain,1,0,1,2,6,646,3,26,254,41,857265,7,^bsten
99,abused,3,3,0,2,6,708,5,231,3147,1270,3319897,6,^byuzd
104,abut,5,3,2,2,4,361,13,6,85,20,190877,5,^b^t
105,abyss,1,1,0,2,4,502,6,90,712,88,1152924,4,^bIs
141,acclaim,3,1,2,2,5,540,5,22,561,66,1784066,6,^klem
142,acclaimed,3,0,3,2,6,641,5,20,959,141,2790613,6,^klemd
166,accord,9,5,4,2,5,434,12,83,2285,284,5034197,6,^k>rd
171,accords,5,2,3,2,6,578,8,9,761,102,742249,6,^k>rdz
172,accost,1,0,1,2,5,728,2,3,33,2,31284,6,^k>st
173,account,3,1,2,2,5,523,4,2280,20141,2500,203612136,6,^k$nt
180,accounts,3,1,2,2,6,848,4,534,10408,1657,42330284,6,^k$nts
183,accrue,4,2,2,2,4,459,10,4,323,17,934795,5,^kru
184,accrued,3,1,2,2,5,505,4,13,257,17,2391008,5,^krud
196,accuse,4,2,2,2,5,599,16,290,1197,389,1048371,6,^kyuz
197,accused,4,3,1,2,6,590,5,666,9446,3683,8659913,6,^kyuzd
202,ace,22,10,12,1,2,406,86,751,2970,120,11140861,3,es
204,ache,22,11,11,1,2,329,89,127,1047,60,1073348,3,ek
205,ached,8,3,5,1,3,373,27,16,666,12,154765,3,ekt
206,aches,15,6,9,1,3,549,56,77,586,85,1117440,4,eks
214,aching,10,3,7,2,4,407,21,105,880,55,730749,5,ekIN
224,acorn,2,1,1,2,5,678,7,37,933,448,1832026,6,ek>rn
231,acquire,3,0,3,3,5,614,6,135,3452,277,8807297,6,^kw#R
232,acquired,2,1,1,3,6,567,3,228,5772,289,12619643,6,^kw#Rd
233,acquires,2,1,1,3,6,606,7,8,371,24,2207920,6,^kw#Rz
239,acre,10,4,6,2,3,558,55,93,4231,260,6661571,4,ekR
241,acres,2,1,1,2,4,441,24,234,7329,728,14209201,5,ekRz
246,across,2,0,2,2,5,606,8,4801,74527,11899,76600131,4,^kr>s
248,act,15,5,10,1,3,385,52,5565,42257,8275,141086424,4,&kt
251,action,5,2,3,2,5,351,14,3115,38931,8159,162029265,6,&kS^n
252,actions,3,1,2,2,6,558,5,620,13935,2136,43260447,6,&kS^nz
263,actor,6,3,3,2,4,416,25,1343,9611,3815,16283217,5,&ktR
264,actors,2,0,2,2,5,491,9,644,6925,1454,12150790,5,&ktRz
266,acts,6,3,3,1,4,547,25,636,9529,1509,23690086,4,&kts
267,actual,1,1,0,2,5,592,5,884,13849,2378,42552937,6,&kS^l
273,acute,2,1,1,2,5,449,2,150,3508,229,11128841,6,^kyut
276,ad,24,11,13,1,2,539,82,694,9589,2671,78774169,3,&d
277,adage,1,1,0,2,4,451,4,32,381,55,423290,4,&d^J
286,add,24,11,13,1,2,418,82,1686,33576,4498,387249138,3,&d
291,addiction,4,0,4,3,7,537,4,199,3809,967,9334031,8,^dIkS^n
292,addictions,2,0,2,3,8,664,2,21,482,79,1117009,8,^dIkS^nz
295,adding,3,1,2,2,4,402,8,205,10642,1068,26798813,5,&dIN
296,addition,4,1,3,3,6,503,5,395,27926,2101,73434482,7,^dIS^n
299,additions,6,2,4,3,7,623,7,11,966,39,11580098,7,^dIS^nz
301,addle,9,5,4,2,4,529,34,8,24,0,21363,5,&d^l
302,address,2,0,2,2,5,728,3,2666,24164,5214,261874562,6,&drEs
303,addressed,4,3,1,2,6,565,6,194,7991,1163,16180738,6,^drEst
304,addressee,2,0,2,3,6,567,2,6,164,1,513417,6,&drEsi
306,adds,12,4,8,1,3,413,44,201,11634,686,14884114,3,&dz
307,adduce,3,0,3,2,4,609,7,1,22,4,77225,4,^dus
324,adjoin,4,1,3,2,4,513,4,0,15,0,76889,5,^J%n
325,adjoined,3,1,2,2,5,798,4,1,25,0,75455,5,^J%nd
327,adjoins,3,1,2,2,5,759,6,5,32,0,126192,5,^J%nz
328,adjourn,1,1,0,2,4,576,6,66,82,26,957864,5,^JRn
329,adjudged,1,0,1,2,5,571,2,3,37,8,248983,5,^J^Jd
358,admission,3,0,3,3,7,490,4,181,4560,491,16358995,8,^dmIS^n
359,admissions,2,0,2,3,8,668,3,111,1714,250,12907686,8,^dmIS^nz
369,ado,7,1,6,2,3,347,18,77,253,60,1581917,4,^du
383,adored,6,5,1,2,5,561,9,125,774,160,534832,5,^d>rd
384,adores,2,1,1,2,5,649,7,91,203,32,166195,5,^d>rz
385,adorned,1,0,1,2,6,601,3,8,767,27,821725,6,^d>rnd
390,ads,12,4,8,1,3,441,44,258,6658,2208,54519053,3,&dz
391,adult,2,0,2,2,5,436,6,729,14517,1770,97585771,6,&d^lt
396,adults,1,0,1,2,6,575,3,488,15961,1734,32847475,6,&d^lts
415,adverse,2,1,1,2,5,542,5,36,2279,210,11157534,6,^dvRs
441,aerate,9,6,3,2,4,434,19,1,36,0,53640,5,Eret
442,aerates,4,2,2,2,5,560,12,0,4,0,9705,5,Erets
444,aerial,3,1,2,3,5,460,10,129,1694,261,6531386,6,Eri^l
454,afar,2,1,1,2,4,646,17,59,587,113,766928,4,^far
455,affair,6,2,4,2,4,413,18,1502,5712,1745,5545856,5,^fEr
456,affairs,3,0,3,2,5,593,7,747,11211,2106,36832489,5,^fErz
474,affirm,3,0,3,2,4,738,5,17,850,82,1680655,5,^fRm
478,affirmed,2,1,1,2,5,574,3,7,924,60,2021161,5,^fRmd
480,affirms,2,1,1,2,5,623,5,2,544,14,647629,5,^fRmz
484,afford,5,4,1,2,5,551,9,2266,10414,2779,10348210,6,^f>rd
487,affords,4,2,2,2,6,594,6,14,494,14,855870,6,^f>rdz
490,afield,2,1,1,2,5,484,7,6,299,24,435380,5,^fild
491,aflame,2,1,1,2,5,699,3,17,112,13,118170,4,^flem
492,afloat,1,0,1,2,5,444,1,85,772,129,652557,4,^flot
493,afoot,1,0,1,2,4,448,2,52,303,46,367802,3,^fUt
496,afraid,1,0,1,2,5,536,1,12631,16554,5014,10859260,4,^fred
499,after,3,2,1,2,4,402,13,34812,288288,59624,372953923,5,&ftR
512,age,18,10,8,1,2,395,66,4039,65798,8812,132738257,3,eJ
513,aged,9,4,5,1,3,440,19,183,6157,461,18061847,3,eJd
521,agey,4,3,1,2,3,442,42,0,22,3,22646,4,eJi
522,aggie,5,2,3,2,3,382,37,106,171,26,618141,4,&gi
536,aggrieve,3,2,1,2,5,537,7,0,0,0,5273,6,^griv
537,aghast,1,0,1,2,5,637,4,7,287,27,183464,5,^g&st
538,agile,2,2,0,2,4,488,10,20,479,36,1808955,5,&J^l
539,aging,8,5,3,2,4,471,18,131,6130,562,12014007,4,eJIN
545,agleam,2,0,2,2,5,639,4,0,9,0,7201,5,^glim
550,agree,4,1,3,2,4,431,9,3298,25427,13239,47501886,5,^gri
553,agreed,4,2,2,2,5,456,6,1832,19137,3842,28717540,5,^grid
557,agrees,3,2,1,2,5,603,5,219,4142,1041,7311475,5,^griz
561,aground,1,0,1,2,6,517,1,25,229,30,166844,4,^gr$nd
562,ahead,2,1,1,2,4,471,3,10115,34433,15530,28377865,3,^hEd
563,ahoy,1,1,0,2,3,539,5,189,58,2,448868,3,^h%
564,aid,29,13,16,1,2,342,101,709,17622,4037,50038814,3,ed
565,aide,29,13,16,1,2,325,101,103,3176,675,3306173,3,ed
