"","x"
"1",3
"2",1
"7",1
"8",2
"9",4
"10",4
"18",1
"21",0
"24",0
"27",1
"28",5
"33",2
"34",2
"42",0
"46",1
"49",1
"50",0
"54",1
"56",1
"60",4
"79",1
"99",0
"104",2
"105",0
"141",2
"142",3
"166",4
"171",3
"172",1
"173",2
"180",2
"183",2
"184",2
"196",2
"197",1
"202",12
"204",11
"205",5
"206",9
"214",7
"224",1
"231",3
"232",1
"233",1
"239",6
"241",1
"246",2
"248",10
"251",3
"252",2
"263",3
"264",2
"266",3
"267",0
"273",1
"276",13
"277",0
"286",13
"291",4
"292",2
"295",2
"296",3
"299",4
"301",4
"302",2
"303",1
"304",2
"306",8
"307",3
"324",3
"325",2
"327",2
"328",0
"329",1
"358",3
"359",2
"369",6
"383",1
"384",1
"385",1
"390",8
"391",2
"396",1
"415",1
"441",3
"442",2
"444",2
"454",1
"455",4
"456",3
"474",3
"478",1
"480",1
"484",1
"487",2
"490",1
"491",1
"492",1
"493",1
"496",1
"499",1
"512",8
"513",5
"521",1
"522",3
"536",1
"537",1
"538",0
"539",3
"545",2
"550",3
"553",2
"557",1
"561",1
"562",1
"563",0
"564",16
"565",16
"567",6
"568",3
"569",6
"571",16
"572",11
"573",7
"574",3
"576",3
"577",27
"584",1
"587",9
"594",1
"606",16
"615",22
"616",11
"617",8
"618",1
"624",0
"639",21
"641",1
"642",0
"644",1
"660",2
"661",4
"664",2
"666",3
"667",1
"669",13
"671",0
"687",6
"688",4
"689",2
"690",1
"693",1
"694",2
"702",0
"703",3
"707",2
"709",1
"710",1
"711",1
"714",2
"715",1
"721",0
"722",6
"723",1
"724",3
"725",1
"728",2
"732",1
"735",3
"737",3
"739",2
"752",1
"774",7
"777",1
"793",1
"795",0
"806",1
"809",1
"814",1
"815",0
"817",0
"818",2
"821",2
"822",3
"826",2
"832",1
"833",2
"836",11
"841",2
"869",3
"872",3
"875",12
"877",6
"887",1
"888",2
"889",1
"890",2
"891",1
"893",2
"894",1
"931",1
"933",1
"938",2
"946",1
"947",5
"949",1
"951",3
"952",8
"956",3
"964",2
"965",1
"978",3
"984",1
"992",2
"993",1
"1004",3
"1010",5
"1023",1
"1029",5
"1032",6
"1033",1
"1034",3
"1050",0
"1051",0
"1052",0
"1055",1
"1057",1
"1059",3
"1060",2
"1061",1
"1062",2
"1065",1
"1067",2
"1068",1
"1070",0
"1071",0
"1073",0
"1084",0
"1085",3
"1086",2
"1094",3
"1095",3
"1096",4
"1097",2
"1102",2
"1109",1
"1124",2
"1135",2
"1136",2
"1144",7
"1151",4
"1154",2
"1160",8
"1163",5
"1173",4
"1176",1
"1177",1
"1188",6
"1192",13
"1193",4
"1194",1
"1195",3
"1196",2
"1209",3
"1210",0
"1211",0
"1212",0
"1217",8
"1218",8
"1225",4
"1229",2
"1231",3
"1232",2
"1234",4
"1235",2
"1236",1
"1237",1
"1239",3
"1240",1
"1242",1
"1243",1
"1244",0
"1245",0
"1246",5
"1248",2
"1249",1
"1252",0
"1253",0
"1254",2
"1255",1
"1256",0
"1257",0
"1258",0
"1259",1
"1260",1
"1261",3
"1262",2
"1263",3
"1264",0
"1267",8
"1268",4
"1273",9
"1298",7
"1301",4
"1309",7
"1310",1
"1312",4
"1313",0
"1314",1
"1319",4
"1321",6
"1322",3
"1324",1
"1325",1
"1326",1
"1327",1
"1330",1
"1339",2
"1341",1
"1347",2
"1350",2
"1358",1
"1359",1
"1361",0
"1364",0
"1365",1
"1366",1
"1367",2
"1372",2
"1373",2
"1375",2
"1376",4
"1377",1
"1381",2
"1386",1
"1392",1
"1404",4
"1405",1
"1406",1
"1407",0
"1408",5
"1409",2
"1410",1
"1419",1
