from_node,to_node,from_ortho,to_ortho,from_phono,to_phono,type,position
1,1629,a,awe,^,>,replace,0
1,8736,a,eye,^,#,replace,0
1,11747,a,i,^,#,replace,0
1,16045,a,of,^,^v,insert,1
1,16537,a,owe,^,o,replace,0
1,23976,a,the,^,D^,insert,0
1,25529,a,us,^,^s,insert,1
2,7,aback,abash,^b&k,^b&S,replace,3
2,1458,aback,attack,^b&k,^t&k,replace,1
2,1665,aback,back,^b&k,b&k,delete,0
3,4,abandon,abandoned,^b&nd^n,^b&nd^nd,insert,7
7,1883,abash,bash,^b&S,b&S,delete,0
8,21,abated,abetted,^betId,^bEtId,replace,2
8,1725,abated,baited,^betId,betId,delete,0
8,6000,abated,debated,^betId,d^betId,insert,0
9,60,abbey,abs,&bi,&bz,replace,2
9,522,abbey,aggie,&bi,&gi,replace,1
9,687,abbey,alley,&bi,&li,replace,1
9,1949,abbey,be,&bi,bi,delete,0
9,2029,abbey,bee,&bi,bi,delete,0
9,21207,abbey,shabby,&bi,S&bi,insert,0
9,23588,abbey,tabby,&bi,t&bi,insert,0
10,104,abbot,abut,&b^t,^b^t,replace,0
10,3118,abbot,but,&b^t,b^t,delete,0
10,3122,abbot,butt,&b^t,b^t,delete,0
10,10785,abbot,habit,&b^t,h&b^t,insert,0
10,18857,abbot,rabbit,&b^t,r&b^t,insert,0
12,15,abdicate,abduct,&bd^ket,&bd^kt,delete,5
18,24,abed,abide,^bEd,^b#d,replace,2
18,34,abed,abode,^bEd,^bod,replace,2
18,562,abed,ahead,^bEd,^hEd,replace,1
18,2005,abed,bed,^bEd,bEd,delete,0
19,20,aberration,aberrations,&bReS^n,&bReS^nz,insert,7
19,382,aberration,adoration,&bReS^n,&dReS^n,replace,1
24,34,abide,abode,^b#d,^bod,replace,2
24,1319,abide,aside,^b#d,^s#d,replace,1
25,26,abilities,ability,^bIl^tiz,^bIl^ti,delete,7
27,2362,ablaze,blaze,^blez,blez,delete,0
28,841,able,anal,eb^l,en^l,replace,1
28,3169,able,cable,eb^l,keb^l,insert,0
28,8762,able,fable,eb^l,feb^l,insert,0
28,11207,able,herbal,eb^l,Rb^l,replace,0
28,13253,able,label,eb^l,leb^l,insert,0
28,20463,able,sable,eb^l,seb^l,insert,0
28,23590,able,table,eb^l,teb^l,insert,0
29,32,abnormal,abnormally,&bn>rm^l,&bn>rm^li,insert,8
30,31,abnormalities,abnormality,&bn>rm&l^tiz,&bn>rm&l^ti,delete,11
33,42,aboard,abort,^b>rd,^b>rt,replace,4
33,166,aboard,accord,^b>rd,^k>rd,replace,1
33,383,aboard,adored,^b>rd,^d>rd,replace,1
33,484,aboard,afford,^b>rd,^f>rd,replace,1
33,1623,aboard,award,^b>rd,^w>rd,replace,1
33,2476,aboard,board,^b>rd,b>rd,delete,0
33,2618,aboard,bored,^b>rd,b>rd,delete,0
34,2498,abode,bode,^bod,bod,delete,0
34,2683,abode,bowed,^bod,bod,delete,0
35,36,abolish,abolished,^balIS,^balISt,insert,6
38,39,abolitionist,abolitionists,&b^lIS^n^st,&b^lIS^n^s,delete,10
42,1392,abort,assort,^b>rt,^s>rt,replace,1
43,45,abortion,abortions,^b>rS^n,^b>rS^nz,insert,7
43,1103,abortion,apportion,^b>rS^n,^p>rS^n,replace,1
46,2664,abound,bound,^b$nd,b$nd,delete,0
47,48,abounded,abounding,^b$ndId,^b$ndIN,replace,6
47,25009,abounded,unbounded,^b$ndId,^nb$ndId,insert,1
49,104,about,abut,^b$t,^b^t,replace,2
49,2676,about,bout,^b$t,b$t,delete,0
50,104,above,abut,^b^v,^b^t,replace,3
54,303,abreast,addressed,^brEst,^drEst,replace,1
54,2786,abreast,breast,^brEst,brEst,delete,0
54,15979,abreast,obsessed,^brEst,^bsEst,replace,2
54,16195,abreast,oppressed,^brEst,^prEst,replace,1
54,25379,abreast,unrest,^brEst,^nrEst,replace,1
56,2871,abroad,broad,^br>d,br>d,delete,0
60,306,abs,adds,&bz,&dz,replace,1
60,390,abs,ads,&bz,&dz,replace,1
60,1301,abs,as,&bz,&z,delete,1
60,3173,abs,cabs,&bz,k&bz,insert,0
60,7649,abs,ebbs,&bz,Ebz,replace,0
60,11208,abs,herbs,&bz,Rbz,replace,0
60,12904,abs,jabs,&bz,J&bz,insert,0
60,23605,abs,tabs,&bz,t&bz,insert,0
61,131,abscesses,accesses,&bsEsIz,&ksEsIz,replace,1
61,15980,abscesses,obsesses,&bsEsIz,^bsEsIz,replace,0
62,64,absence,absent,&bs^ns,&bs^nt,replace,5
64,66,absent,absentee,&bs^nt,&bs^nti,insert,6
66,68,absentee,absently,&bs^nti,&bs^ntli,insert,6
69,71,absolute,absolutes,&bs^lut,&bs^luts,insert,7
74,75,absorb,absorbed,^bz>rb,^bz>rbd,insert,6
74,77,absorb,absorbs,^bz>rb,^bz>rbz,insert,6
75,77,absorbed,absorbs,^bz>rbd,^bz>rbz,replace,6
79,15991,abstain,obtain,^bsten,^bten,delete,2
81,82,abstinence,abstinent,&bst^n^ns,&bst^n^nt,replace,8
85,90,abstracting,abstractive,&bstr&ktIN,&bstr&ktIv,replace,9
86,89,abstraction,abstractions,&bstr&kS^n,&bstr&kS^nz,insert,10
93,94,absurdities,absurdity,^bsRd^tiz,^bsRd^ti,delete,8
96,97,abundance,abundant,^b^nd^ns,^b^nd^nt,replace,7
99,197,abused,accused,^byuzd,^kyuzd,replace,1
99,833,abused,amused,^byuzd,^myuzd,replace,1
99,25443,abused,unused,^byuzd,^nyuzd,replace,1
100,101,abusers,abuses,^byuzRz,^byuzIz,replace,5
101,102,abuses,abusing,^byuzIz,^byuzIN,replace,6
101,198,abuses,accuses,^byuzIz,^kyuzIz,replace,1
102,199,abusing,accusing,^byuzIN,^kyuzIN,replace,1
102,835,abusing,amusing,^byuzIN,^myuzIN,replace,1
104,3118,abut,but,^b^t,b^t,delete,0
104,3122,abut,butt,^b^t,b^t,delete,0
105,809,abyss,amiss,^bIs,^mIs,replace,1
107,109,academic,academics,&k^dEmIk,&k^dEmIks,insert,8
111,8459,accede,exceed,&ksid,Iksid,replace,0
112,116,accelerate,accelerator,&ksElRet,&ksElRetR,insert,8
118,120,accent,accents,&ksEnt,&ksEnts,insert,6
118,130,accent,accessed,&ksEnt,&ksEst,replace,4
120,128,accents,accepts,&ksEnts,&ksEpts,replace,4
123,8467,accept,except,^ksEpt,IksEpt,replace,0
129,130,access,accessed,&ksEs,&ksEst,insert,5
129,1646,access,axis,&ksEs,&ks^s,replace,3
129,8475,access,excess,&ksEs,EksEs,replace,0
131,135,accesses,accessors,&ksEsIz,&ksEsRz,replace,5
131,8476,accesses,excesses,&ksEsIz,IksEsIz,replace,0
134,135,accessories,accessors,&ksEsRiz,&ksEsRz,delete,6
134,136,accessories,accessory,&ksEsRiz,&ksEsRi,delete,7
135,136,accessors,accessory,&ksEsRz,&ksEsRi,replace,6
137,140,accident,accidents,&ks^d^nt,&ks^d^nts,insert,8
138,139,accidental,accidentally,&ks^dEnt^l,&ks^dEnt^li,insert,10
141,142,acclaim,acclaimed,^klem,^klemd,insert,5
141,491,acclaim,aflame,^klem,^flem,replace,1
141,4065,acclaim,claim,^klem,klem,delete,0
142,4067,acclaimed,claimed,^klemd,klemd,delete,0
142,25026,acclaimed,unclaimed,^klemd,^nklemd,insert,1
145,146,accolade,accolades,&k^led,&k^ledz,insert,6
150,151,accommodation,accommodations,^kam^deS^n,^kam^deS^nz,insert,10
152,153,accompanied,accompanies,^k^mp^nid,^k^mp^niz,replace,8
152,158,accompanied,accompany,^k^mp^nid,^k^mp^ni,delete,8
153,158,accompanies,accompany,^k^mp^niz,^k^mp^ni,delete,8
153,4592,accompanies,companies,^k^mp^niz,k^mp^niz,delete,0
154,155,accompaniment,accompaniments,^k^mpnIm^nt,^k^mpnIm^nts,insert,11
158,4596,accompany,company,^k^mp^ni,k^mp^ni,delete,0
161,162,accomplish,accomplished,^kamplIS,^kamplISt,insert,8
164,165,accomplishment,accomplishments,^kamplISm^nt,^kamplISm^nts,insert,12
166,171,accord,accords,^k>rd,^k>rdz,insert,5
166,383,accord,adored,^k>rd,^d>rd,replace,1
166,484,accord,afford,^k>rd,^f>rd,replace,1
166,1623,accord,award,^k>rd,^w>rd,replace,1
166,3943,accord,chord,^k>rd,k>rd,delete,0
166,5250,accord,cord,^k>rd,k>rd,delete,0
166,19258,accord,record,^k>rd,r^k>rd,insert,0
166,20792,accord,scored,^k>rd,sk>rd,replace,0
168,169,accorded,according,^k>rdId,^k>rdIN,replace,6
169,19262,according,recording,^k>rdIN,r^k>rdIN,insert,0
171,487,accords,affords,^k>rdz,^f>rdz,replace,1
171,1625,accords,awards,^k>rdz,^w>rdz,replace,1
171,3944,accords,chords,^k>rdz,k>rdz,delete,0
171,5253,accords,cords,^k>rdz,k>rdz,delete,0
172,5340,accost,cost,^k>st,k>st,delete,0
173,180,account,accounts,^k$nt,^k$nts,insert,5
173,818,account,amount,^k$nt,^m$nt,replace,1
173,5368,account,count,^k$nt,k$nt,delete,0
175,5369,accountable,countable,^k$nt^b^l,k$nt^b^l,delete,0
176,177,accountant,accountants,^k$nt^nt,^k$nt^nts,insert,8
179,820,accounting,amounting,^k$ntIN,^m$ntIN,replace,1
179,5397,accounting,counting,^k$ntIN,k$ntIN,delete,0
180,821,accounts,amounts,^k$nts,^m$nts,replace,1
180,5403,accounts,counts,^k$nts,k$nts,delete,0
183,184,accrue,accrued,^kru,^krud,insert,4
183,5587,accrue,crew,^kru,kru,delete,0
183,7674,accrue,ecru,^kru,Ekru,replace,0
183,20849,accrue,screw,^kru,skru,replace,0
184,5683,accrued,crude,^krud,krud,delete,0
184,20852,accrued,screwed,^krud,skrud,replace,0
185,20853,accruing,screwing,^kruIN,skruIN,replace,0
188,189,accumulated,accumulating,^kyumy^letId,^kyumy^letIN,replace,11
193,194,accusation,accusations,&ky^zeS^n,&ky^zeS^nz,insert,9
196,197,accuse,accused,^kyuz,^kyuzd,insert,5
196,273,accuse,acute,^kyuz,^kyut,replace,4
196,832,accuse,amuse,^kyuz,^myuz,replace,1
