idx,Item,Pronunciation,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,Dbet,PhonLev,NumMorphs,OrthLev
1,a,AH0,1,1,359,2,79,72,1041179,5822980,1259642,9081174698,2,^,5.975206612,1,7.039643428
2,aback,AH0 B AE1 K,2,4,501,5,8,3,15,541,71,277737,4,^b&k,5.984128143,1,6.895627542
3,abandon,AH0 B AE1 N D AH0 N,3,7,649,8,2,1,413,3130,414,2748847,8,^b&nd^n,6.689396373,1,7.151630637
4,abandoned,AH0 B AE1 N D AH0 N D,3,8,782,8,2,0,678,7511,1028,6371992,8,^b&nd^nd,7.340938294,2,8.026093115
5,abandoning,AH0 B AE1 N D AH0 N IH0 NG,4,9,603,8,0,0,86,1081,156,785043,8,^b&nd^nIN,8.03429168,2,8.811171708
6,abandonment,AH0 B AE1 N D AH0 N M AH0 N T,4,11,708,12,1,1,49,947,73,1297503,12,^b&nd^nm^nt,9.68505972,2,9.441494915
7,abash,AH0 B AE1 SH,2,4,579,6,4,4,0,2,2,12974,5,^b&S,6.078760623,1,6.829883698
8,abated,AH0 B EY1 T IH0 D,3,6,400,6,6,3,4,226,20,254497,6,^betId,6.366877902,2,6.664841463
9,abbey,AE1 B IY0,2,3,479,6,57,4,162,1069,281,4224864,4,&bi,6.001562363,1,6.756554307
10,abbot,AE1 B AH0 T,2,4,532,6,13,1,43,320,21,992552,5,&b^t,5.746371521,1,6.869643939
11,abbreviations,AH0 B R IY2 V IY0 EY1 SH AH0 N Z,5,11,938,13,1,1,10,132,6,3703739,11,^brivieS^nz,9.739501504,3,10.72567186
12,abdicate,AE1 B D AH0 K EY2 T,3,7,687,9,2,2,9,73,11,124825,8,&bd^ket,6.913339953,1,7.545911178
13,abdomen,AE1 B D AH0 M AH0 N,3,7,483,6,1,0,171,1026,94,1490684,5,&bd^m^n,6.752993313,1,7.093413934
14,abdominal,AH0 B D AA1 M AH0 N AH0 L,4,9,718,6,1,0,174,940,78,3090148,4,^bdam^n^l,8.088653155,1,8.190901724
15,abduct,AE0 B D AH1 K T,2,6,728,7,5,2,36,58,12,129037,7,&bd^kt,6.338565546,1,7.111877697
16,abducted,AH0 B D AH1 K T IH0 D,3,8,639,8,2,1,255,850,402,837949,8,^bd^ktId,7.421998657,2,7.676157727
17,abduction,AH0 B D AH1 K SH AH0 N,3,8,589,10,2,2,185,754,263,1188510,9,^bd^kS^n,7.420837835,2,8.269677523
