"","x"
"1",4
"2",2
"7",1
"8",1
"9",3
"10",1
"18",3
"21",1
"24",3
"27",0
"28",2
"33",5
"34",2
"42",2
"46",0
"49",1
"50",1
"54",4
"56",0
"60",5
"79",0
"99",3
"104",3
"105",1
"141",1
"142",0
"166",5
"171",2
"172",0
"173",1
"180",1
"183",2
"184",1
"196",2
"197",3
"202",10
"204",11
"205",3
"206",6
"214",3
"224",1
"231",0
"232",1
"233",1
"239",4
"241",1
"246",0
"248",5
"251",2
"252",1
"263",3
"264",0
"266",3
"267",1
"273",1
"276",11
"277",1
"286",11
"291",0
"292",0
"295",1
"296",1
"299",2
"301",5
"302",0
"303",3
"304",0
"306",4
"307",0
"324",1
"325",1
"327",1
"328",1
"329",0
"358",0
"359",0
"369",1
"383",5
"384",1
"385",0
"390",4
"391",0
"396",0
"415",1
"441",6
"442",2
"444",1
"454",1
"455",2
"456",0
"474",0
"478",1
"480",1
"484",4
"487",2
"490",1
"491",1
"492",0
"493",0
"496",0
"499",2
"512",10
"513",4
"521",3
"522",2
"536",2
"537",0
"538",2
"539",5
"545",0
"550",1
"553",2
"557",2
"561",0
"562",1
"563",1
"564",13
"565",13
"567",5
"568",4
"569",5
"571",7
"572",9
"573",2
"574",3
"576",4
"577",9
"584",0
"587",10
"594",1
"606",9
"615",13
"616",13
"617",4
"618",1
"624",2
"639",15
"641",3
"642",3
"644",1
"660",9
"661",2
"664",4
"666",6
"667",4
"669",12
"671",1
"687",10
"688",4
"689",0
"690",0
"693",3
"694",6
"702",2
"703",1
"707",2
"709",4
"710",3
"711",1
"714",1
"715",1
"721",2
"722",6
"723",0
"724",5
"725",0
"728",2
"732",0
"735",0
"737",0
"739",0
"752",0
"774",7
"777",1
"793",0
"795",4
"806",1
"809",2
"814",1
"815",1
"817",1
"818",1
"821",1
"822",1
"826",0
"832",1
"833",3
"836",11
"841",1
"869",1
"872",0
"875",4
"877",1
"887",3
"888",0
"889",0
"890",1
"891",0
"893",0
"894",0
"931",1
"933",1
"938",1
"946",0
"947",0
"949",1
"951",1
"952",4
"956",2
"964",0
"965",0
"978",1
"984",1
"992",1
"993",1
"1004",2
"1010",5
"1023",0
"1029",8
"1032",2
"1033",1
"1034",2
"1050",2
"1051",1
"1052",2
"1055",0
"1057",1
"1059",1
"1060",4
"1061",3
"1062",1
"1065",1
"1067",2
"1068",2
"1070",2
"1071",1
"1073",4
"1084",1
"1085",3
"1086",0
"1094",2
"1095",3
"1096",0
"1097",0
"1102",0
"1109",1
"1124",2
"1135",1
"1136",0
"1144",3
"1151",1
"1154",2
"1160",3
"1163",4
"1173",1
"1176",2
"1177",0
"1188",1
"1192",11
"1193",0
"1194",1
"1195",0
"1196",0
"1209",21
"1210",1
"1211",2
"1212",3
"1217",3
"1218",4
"1225",3
"1229",0
"1231",3
"1232",0
"1234",4
"1235",4
"1236",1
"1237",0
"1239",21
"1240",6
"1242",10
"1243",2
"1244",1
"1245",3
"1246",16
"1248",2
"1249",2
"1252",1
"1253",3
"1254",17
"1255",23
"1256",15
"1257",4
"1258",3
"1259",1
"1260",1
"1261",5
"1262",1
"1263",7
"1264",3
"1267",12
"1268",1
"1273",5
"1298",1
"1301",12
"1309",6
"1310",0
"1312",2
"1313",1
"1314",1
"1319",2
"1321",1
"1322",1
"1324",0
"1325",0
"1326",0
"1327",1
"1330",0
"1339",1
"1341",0
"1347",1
"1350",0
