node,all,replace,delins
1,285,138,147
2,285,138,147
3,285,138,147
9,24,16,8
14,188,145,43
18,3,2,1
19,17,8,9
20,21,7,14
21,21,7,14
22,21,7,14
23,19,10,9
24,19,10,9
25,4,2,2
26,25,8,17
27,25,8,17
29,4,2,2
30,25,8,17
31,16,6,10
32,7,4,3
33,8,3,5
34,8,3,5
35,8,3,5
36,8,3,5
37,25,8,17
38,25,17,8
39,15,8,7
40,5,1,4
41,16,6,10
42,16,6,10
43,16,6,10
44,16,6,10
45,16,6,10
46,16,6,10
47,16,6,10
48,16,6,10
49,2,0,2
50,2,0,2
51,1,1,0
91,1,1,0
92,22,14,8
102,75,39,36
103,75,39,36
105,5,3,2
106,2,0,2
107,56,36,20
108,75,39,36
109,75,39,36
110,2,0,2
111,2,0,2
112,41,28,13
113,41,28,13
114,41,28,13
115,35,25,10
116,35,25,10
117,35,25,10
118,49,12,37
119,3,1,2
120,3,1,2
121,49,12,37
122,49,12,37
123,11,6,5
124,11,6,5
125,51,38,13
126,5,3,2
127,7,4,3
128,15,6,9
129,56,36,20
130,56,36,20
131,56,36,20
132,5,2,3
133,5,2,3
134,38,28,10
135,12,7,5
136,15,5,10
137,15,5,10
138,15,5,10
139,15,5,10
140,12,7,5
141,44,23,21
142,13,9,4
143,2,0,2
144,13,8,5
145,13,8,5
146,40,16,24
147,40,16,24
148,40,16,24
149,40,16,24
150,40,16,24
151,40,16,24
152,40,16,24
153,14,3,11
154,40,16,24
155,40,16,24
156,40,16,24
161,17,6,11
162,17,6,11
163,25,8,17
164,25,8,17
165,83,74,9
166,83,74,9
167,16,6,10
168,18,15,3
171,10,9,1
172,7,6,1
173,7,6,1
174,7,6,1
175,7,6,1
176,10,9,1
177,11,1,10
178,7,6,1
182,7,6,1
183,7,6,1
184,7,6,1
191,4,2,2
193,1,0,1
194,11,11,0
195,11,11,0
196,83,74,9
197,7,5,2
198,7,5,2
199,5,2,3
200,5,2,3
201,7,5,2
204,18,11,7
205,18,11,7
206,20,16,4
207,38,13,25
208,19,6,13
209,19,6,13
210,19,6,13
211,19,6,13
212,19,6,13
213,19,6,13
214,19,6,13
234,46,17,29
235,12,2,10
236,12,2,10
240,21,13,8
241,21,13,8
242,2,2,0
243,2,2,0
244,21,13,8
245,7,5,2
246,12,8,4
247,6,4,2
248,21,13,8
249,21,13,8
250,11,9,2
251,11,9,2
252,11,9,2
253,11,9,2
254,11,9,2
255,11,9,2
256,15,3,12
257,2,1,1
258,6,5,1
259,2,1,1
260,11,9,2
261,11,9,2
262,6,5,1
263,6,5,1
264,6,5,1
265,7,6,1
266,16,2,14
267,1,0,1
268,7,4,3
269,11,9,2
270,1,0,1
283,12,9,3
284,9,6,3
285,9,6,3
286,9,6,3
287,9,6,3
289,6,3,3
290,12,7,5
291,12,7,5
292,4,1,3
293,4,1,3
294,12,7,5
295,2,1,1
296,13,1,12
297,13,1,12
298,19,8,11
299,19,8,11
300,24,20,4
301,2,1,1
302,13,8,5
305,10,10,0
306,10,10,0
307,17,17,0
308,10,10,0
309,10,10,0
310,10,10,0
311,10,10,0
312,10,10,0
313,10,10,0
314,10,10,0
315,10,10,0
316,10,10,0
317,10,10,0
318,10,10,0
319,38,13,25
320,25,18,7
323,5,1,4
324,5,1,4
325,26,16,10
326,26,16,10
327,26,16,10
328,26,16,10
329,21,16,5
330,38,13,25
331,38,13,25
332,47,17,30
333,9,8,1
334,8,7,1
335,8,7,1
336,8,7,1
337,8,7,1
338,3,2,1
339,3,1,2
340,8,7,1
341,8,7,1
342,38,13,25
343,47,17,30
344,12,2,10
345,3,2,1
346,20,16,4
347,38,13,25
348,3,2,1
349,6,1,5
350,47,17,30
351,47,17,30
352,47,17,30
353,47,17,30
354,47,17,30
355,47,17,30
356,47,17,30
365,13,9,4
366,13,9,4
367,13,9,4
368,12,11,1
369,4,4,0
370,33,19,14
371,33,19,14
372,33,19,14
373,33,19,14
374,27,5,22
375,20,10,10
376,27,5,22
377,20,10,10
378,23,19,4
379,1,0,1
380,1,0,1
381,1,1,0
382,41,25,16
383,22,22,0
384,28,23,5
385,28,23,5
386,28,23,5
387,28,23,5
388,21,6,15
389,8,6,2
390,8,6,2
391,8,6,2
392,8,6,2
393,8,6,2
394,8,6,2
395,21,6,15
396,8,6,2
397,8,6,2
398,28,23,5
399,28,23,5
400,11,9,2
401,11,9,2
402,6,4,2
403,6,4,2
404,6,4,2
405,17,3,14
407,17,3,14
408,8,5,3
409,2,1,1
410,1,1,0
411,28,23,5
412,3,0,3
413,14,11,3
414,11,4,7
415,8,8,0
416,9,8,1
417,9,8,1
418,9,8,1
419,9,8,1
420,2,0,2
421,8,8,0
422,1,1,0
423,1,1,0
424,1,1,0
425,1,1,0
426,9,9,0
427,6,4,2
428,8,8,0
441,13,10,3
462,30,17,13
465,2,0,2
466,2,0,2
471,2,0,2
472,30,17,13
473,24,16,8
474,21,13,8
475,21,13,8
476,21,13,8
477,21,13,8
478,21,15,6
479,21,15,6
480,22,0,22
481,22,0,22
482,22,8,14
483,5,3,2
484,7,3,4
485,4,2,2
486,4,2,2
487,22,0,22
488,22,8,14
489,11,1,10
490,3,1,2
491,21,16,5
492,1,0,1
493,5,0,5
494,22,8,14
495,22,8,14
496,22,8,14
497,22,8,14
498,22,8,14
499,22,8,14
500,22,8,14
502,4,2,2
503,12,9,3
504,12,9,3
505,12,9,3
506,12,9,3
507,12,9,3
508,12,9,3
543,3,3,0
544,3,3,0
545,14,14,0
546,15,15,0
547,15,15,0
548,15,15,0
549,15,15,0
550,15,15,0
551,24,24,0
555,24,24,0
556,14,14,0
557,24,24,0
558,24,24,0
559,24,24,0
560,24,24,0
561,24,24,0
562,24,24,0
563,24,24,0
567,7,6,1
572,11,7,4
573,11,7,4
574,19,9,10
575,19,9,10
576,15,9,6
577,13,6,7
578,13,6,7
579,13,6,7
580,13,6,7
581,16,10,6
582,21,7,14
583,21,7,14
584,21,7,14
585,12,6,6
589,21,7,14
590,21,7,14
591,21,7,14
592,19,9,10
593,19,9,10
594,4,0,4
595,12,6,6
596,12,6,6
600,12,6,6
601,5,1,4
602,5,1,4
605,2,1,1
606,12,11,1
660,9,5,4
661,9,5,4
662,9,5,4
663,10,7,3
664,10,7,3
665,10,7,3
666,10,7,3
731,36,25,11
