"","x"
"1",285
"2",285
"3",285
"9",24
"14",188
"18",3
"19",17
"20",21
"21",21
"22",21
"23",19
"24",19
"25",4
"26",25
"27",25
"29",4
"30",25
"31",16
"32",7
"33",8
"34",8
"35",8
"36",8
"37",25
"38",25
"39",15
"40",5
"41",16
"42",16
"43",16
"44",16
"45",16
"46",16
"47",16
"48",16
"49",2
"50",2
"51",1
"52",17
"53",16
"54",16
"55",16
"56",16
"57",18
"58",17
"61",10
"62",7
"63",5
"64",5
"65",5
"66",5
"67",7
"68",9
"69",2
"70",3
"71",8
"72",8
"74",1
"75",10
"76",11
"77",2
"79",19
"80",3
"81",17
"82",5
"83",10
"84",10
"85",10
"86",10
"87",10
"88",10
"89",10
"90",10
"91",1
"92",22
"93",1
"94",1
"95",1
"96",1
"97",6
"98",1
"99",1
"102",75
"103",75
"105",5
"106",2
"107",56
"108",75
"109",75
"110",2
"111",2
"112",41
"113",41
"114",41
"115",35
"116",35
"117",35
"118",49
"119",3
"120",3
"121",49
"122",49
"123",11
"124",11
"125",51
"126",5
"127",7
"128",15
"129",56
"130",56
"131",56
"132",5
"133",5
"134",38
"135",12
"136",15
"137",15
"138",15
"139",15
"140",12
"141",44
"142",13
"143",2
"144",13
"145",13
"146",40
"147",40
"148",40
"149",40
"150",40
"151",40
"152",40
"153",14
"154",40
"155",40
"156",40
"161",17
"162",17
"163",25
"164",25
"165",83
"166",83
"167",16
"168",18
"171",10
"172",7
"173",7
"174",7
"175",7
"176",10
"177",11
"178",7
"179",2
"180",1
"181",1
"182",7
"183",7
"184",7
"191",4
"192",2
"193",1
"194",11
"195",11
"196",83
"197",7
"198",7
"199",5
"200",5
"201",7
"204",18
"205",18
"206",20
"207",38
"208",19
"209",19
"210",19
"211",19
"212",19
"213",19
"214",19
"215",2
"216",2
"218",2
"219",2
"220",2
"221",2
"222",6
"223",2
"224",2
"225",6
"226",5
"227",5
"228",5
"229",5
"231",1
"232",3
"233",3
"234",46
"235",12
"236",12
"237",2
"238",2
"240",21
"241",21
"242",2
"243",2
"244",21
"245",7
"246",12
"247",6
"248",21
"249",21
"250",11
"251",11
"252",11
"253",11
"254",11
"255",11
"256",15
"257",2
"258",6
"259",2
"260",11
"261",11
"262",6
"263",6
"264",6
"265",7
"266",16
"267",1
"268",7
"269",11
"270",1
"278",2
"281",2
"282",2
"283",12
"284",9
"285",9
"286",9
"287",9
"289",6
"290",12
"291",12
"292",4
"293",4
"294",12
"295",2
"296",13
"297",13
"298",19
"299",19
"300",24
"301",2
"302",13
"303",4
"304",4
"305",10
"306",10
"307",17
"308",10
"309",10
"310",10
"311",10
"312",10
"313",10
"314",10
"315",10
"316",10
"317",10
"318",10
"319",38
"320",25
"323",5
"324",5
"325",26
"326",26
"327",26
"328",26
"329",21
"330",38
"331",38
"332",47
"333",9
"334",8
"335",8
"336",8
"337",8
"338",3
"339",3
"340",8
"341",8
"342",38
"343",47
"344",12
"345",3
"346",20
"347",38
"348",3
"349",6
"350",47
"351",47
"352",47
"353",47
"354",47
"355",47
"356",47
"361",2
"362",2
"363",1
"364",1
"365",13
"366",13
"367",13
"368",12
"369",4
"370",33
"371",33
"372",33
"373",33
"374",27
"375",20
"376",27
"377",20
"378",23
"379",1
"380",1
"381",1
"382",41
"383",22
"384",28
"385",28
"386",28
"387",28
"388",21
"389",8
"390",8
"391",8
"392",8
"393",8
"394",8
"395",21
"396",8
"397",8
"398",28
"399",28
"400",11
"401",11
"402",6
"403",6
"404",6
"405",17
"406",1
"407",17
"408",8
"409",2
"410",1
"411",28
"412",3
"413",14
"414",11
"415",8
"416",9
"417",9
"418",9
"419",9
"420",2
"421",8
"422",1
"423",1
"424",1
"425",1
"426",9
"427",6
"428",8
"429",3
"430",4
"431",2
"432",2
"433",4
"434",3
"435",1
"436",1
"437",1
"438",1
"440",4
"441",13
"443",14
"444",3
"445",12
"446",12
"447",13
"448",12
"449",12
"450",7
"451",1
"452",1
"453",7
"456",13
"457",7
"458",7
"459",7
"460",7
"461",7
"462",30
"465",2
"466",2
"467",2
"468",1
"469",1
"471",2
"472",30
"473",24
"474",21
"475",21
"476",21
"477",21
"478",21
"479",21
"480",22
"481",22
"482",22
"483",5
"484",7
"485",4
"486",4
"487",22
"488",22
"489",11
"490",3
"491",21
"492",1
"493",5
"494",22
"495",22
"496",22
"497",22
"498",22
"499",22
"500",22
"502",4
"503",12
"504",12
"505",12
"506",12
"507",12
"508",12
"516",2
"517",2
"518",2
"519",2
"520",2
"521",2
"522",2
"523",2
"524",2
"525",15
"526",1
"527",2
"528",2
"529",2
"530",4
"531",4
"532",4
"533",6
"534",6
"535",3
"536",3
"537",6
"539",20
"542",2
"543",3
"544",3
"545",14
"546",15
"547",15
"548",15
"549",15
"550",15
"551",24
"552",2
"553",1
"554",1
"555",24
"556",14
"557",24
"558",24
"559",24
"560",24
"561",24
"562",24
"563",24
"567",7
"569",2
"570",1
"571",1
"572",11
"573",11
"574",19
"575",19
"576",15
"577",13
"578",13
"579",13
"580",13
"581",16
"582",21
"583",21
"584",21
"585",12
"586",2
"587",1
"588",1
"589",21
"590",21
"591",21
"592",19
"593",19
"594",4
"595",12
"596",12
"600",12
"601",5
"602",5
"603",1
"604",1
"605",2
"606",12
"616",4
"617",4
"618",5
"619",3
"620",3
"621",3
"622",21
"624",19
"625",19
"626",19
"627",19
"628",20
"629",20
"630",20
"631",4
"632",4
"633",20
"634",20
"635",20
"636",12
"637",3
"638",1
"639",1
"640",1
"641",1
"642",12
"643",1
"644",22
"645",5
"646",12
"647",12
"648",12
"649",12
"650",12
"651",12
"652",12
"653",12
"656",1
"657",1
"658",2
"660",9
"661",9
"662",9
"663",10
"664",10
"665",10
"666",10
"667",8
"668",8
"669",8
"670",11
"671",11
"672",2
"673",2
"675",11
"679",6
"680",6
"681",6
"682",6
"683",6
"684",3
"685",3
"686",3
"687",3
"688",6
"689",2
"690",6
"691",6
"695",3
"696",3
"697",2
"698",2
"699",5
"700",3
"701",3
"702",3
"703",3
"706",11
"707",6
"708",6
"709",6
"710",6
"711",8
"712",8
"714",8
"715",8
"716",6
"717",6
"718",6
"719",11
"720",1
"721",1
"722",3
"731",36
"732",23
"733",25
"734",25
"735",25
"736",25
"737",23
"738",26
"739",26
"740",31
"741",7
"742",9
"743",9
"744",9
"745",7
"746",3
"747",26
"748",3
"749",31
"750",14
"751",4
"752",4
"753",4
"754",1
"755",4
"756",21
"757",7
"758",31
"759",31
"760",31
"761",31
"762",31
"763",31
"764",31
"765",31
"766",33
"770",40
"771",40
"772",2
"773",2
"776",2
"777",1
"778",1
"779",1
"780",4
"781",1
"784",16
"785",16
"786",16
"787",9
"788",16
"789",16
"790",2
"791",1
"792",16
"793",28
"794",29
"795",29
"796",29
"797",25
"798",33
"799",33
"800",33
"801",48
"802",9
"803",14
"804",14
"805",14
"806",9
"807",8
"808",9
"809",33
"810",33
"811",48
"812",4
"813",20
"814",48
"815",48
"816",48
"817",48
"818",2
"819",2
"822",4
"823",4
"824",1
"825",4
"828",2
"829",2
"830",2
"832",2
"833",1
"834",1
"835",3
"836",3
"837",2
"838",2
"839",2
"840",2
"841",2
"842",2
"843",20
"844",20
"845",5
"848",21
"849",23
"850",23
"851",23
"852",23
"853",21
"854",21
"855",3
"856",3
"857",21
"858",30
"859",1
"860",1
"861",30
"862",29
"863",1
"864",29
"865",1
"866",21
"867",5
"868",29
"869",29
"870",29
"871",29
"872",29
"873",29
"874",29
"875",29
"876",1
"877",1
"878",1
"879",11
"880",10
"881",10
"882",11
"883",11
"884",2
"885",11
"886",6
"889",6
"890",6
"891",6
"892",6
"893",6
"897",17
"899",17
"900",14
"901",13
"902",13
"903",13
"904",13
"905",15
"907",1
"908",1
"909",8
"911",11
"912",14
"913",4
"914",8
"915",8
"916",8
"917",8
"918",8
"919",8
"920",8
