ortho,phon,lemme,Lexique383 cgram,Lexique383 freqlemfilms2,Lexique383 freqfilms2,Lexique383 islem,Lexique383 nblettres,Lexique383 puorth,Lexique383 puphon,Lexique383 nbsyll,Lexique383 cgramortho,Megalex-auditory rt.m,Megalex-auditory rt.sd,Megalex-auditory rt.n,Megalex-auditory zrt.m,Megalex-auditory zrt.sd,Megalex-auditory zrt.n,Megalex-auditory acy,Megalex-auditory acy.n,Megalex-auditory nbphon,Megalex-auditory puPhon,Megalex-auditory pld20,Megalex-auditory accd,Megalex-auditory fb,Megalex-auditory ff,Megalex-auditory ft,node,freqlemfilms2,freqlemlivres,freqfilms2,freqlivres,all,replace,delins
abaisse,abEs,abaisse,NOM,0.02,0.02,1,7,7,4,2,"NOM,VER",1173.4126,136.20914,34,0.5866685304,0.6304898,34,0.7446809,47,4,4,1.7,644,3.44999999,1.3,4.75,26,0.02,0.0,0.02,0.0,25,8,17
abaisse,abEs,abaisser,VER,4.93,1.28,0,7,7,4,2,"NOM,VER",1173.4126,136.20914,34,0.5866685304,0.6304898,34,0.7446809,47,4,4,1.7,644,3.44999999,1.3,4.75,27,4.93,18.04,1.28,3.45,25,8,17
abaisser,abese,abaisser,VER,4.93,1.09,1,8,8,5,3,VER,944.977,120.62847,46,-0.7548936363,0.5949154,46,0.9787234,47,5,3,1.85,572,2.91000002,1.09,4.0,31,4.93,18.04,1.09,2.91,16,6,10
abandon,ab@d§,abandon,NOM,4.84,4.77,1,7,7,5,3,NOM,1059.7873,161.32113,45,-0.0630686477,0.8824965,45,1.0,45,5,5,2.85,550,25.19999992,4.77,29.97,51,4.84,27.36,4.77,25.2,1,1,0
abat,aba,abat,NOM,0.65,0.13,1,4,4,3,2,"NOM,VER",975.8492,148.45848,40,-0.5891748822,0.7317724,40,0.8695652,46,3,3,1.0,389,5.12999994,2.28,7.41,102,0.65,1.01,0.13,0.2,75,39,36
abat,aba,abattre,VER,43.47,2.15,0,4,4,3,2,"NOM,VER",975.8492,148.45848,40,-0.5891748822,0.7317724,40,0.8695652,46,3,3,1.0,389,5.12999994,2.28,7.41,103,43.47,50.61,2.15,4.93,75,39,36
abatis,abati,abatis,NOM,0.0,0.0,1,6,5,5,3,NOM,1059.2976,159.83451,33,0.1194318851,0.7970156,33,0.7777778,45,5,5,1.65,641,0.88,0.0,0.88,107,0.0,0.88,0.0,0.88,56,36,20
abattage,abataZ,abattage,NOM,0.65,0.63,1,8,7,6,3,NOM,1193.5857,196.49049,37,0.8693559394,0.9670641,37,0.9302326,43,6,6,1.95,848,1.15,0.63,1.78,110,0.65,1.28,0.63,1.15,2,0,2
abattait,abatE,abattre,VER,43.47,0.42,0,8,0,0,3,VER,1065.4021,199.1707,44,-0.0793702257,0.968891,44,0.9782609,46,5,5,1.8,610,3.44999999,0.42,3.87,114,43.47,50.61,0.42,3.45,41,28,13
abattant,abat@,abattant,NOM,0.07,0.05,1,8,7,5,3,"NOM,VER",972.4212,142.52826,41,-0.5397805854,0.799709,41,0.8913043,46,5,5,1.7,513,2.49999996,0.36,2.86,115,0.07,0.61,0.05,0.54,35,25,10
abattant,abat@,abattre,VER,43.47,0.31,0,8,7,5,3,"NOM,VER",972.4212,142.52826,41,-0.5397805854,0.799709,41,0.8913043,46,5,5,1.7,513,2.49999996,0.36,2.86,116,43.47,50.61,0.31,1.96,35,25,10
abattent,abat,abattre,VER,43.47,0.69,0,8,0,0,2,VER,1137.5556,174.68648,36,0.3930640726,0.9186179,36,0.8444444,45,4,4,1.6,599,2.03000001,0.69,2.72,121,43.47,50.61,0.69,2.03,49,12,37
abattez,abate,abattre,VER,43.47,2.21,0,7,0,0,3,VER,1103.9154,213.83303,40,0.2827179272,1.064465,40,0.9111111,45,5,5,1.65,560,0.0,2.21,2.21,125,43.47,50.61,2.21,0.0,51,38,13
abattoir,abatwaR,abattoir,NOM,3.16,2.67,1,8,6,5,3,NOM,1028.2805,150.71219,45,-0.1267338542,0.8383407,45,1.0,47,7,5,2.1,806,2.36000002,2.67,5.03,132,3.16,4.66,2.67,2.36,5,2,3
abattra,abatRa,abattre,VER,43.47,1.51,0,7,0,0,3,VER,1034.7551,120.92044,45,0.0178445794,0.6803265,45,0.9782609,46,6,6,1.95,663,0.61000001,1.51,2.12,135,43.47,50.61,1.51,0.61,12,7,5
abattrait,abatRE,abattre,VER,43.47,0.63,0,9,0,0,3,VER,1050.2887,135.84228,40,-0.11663125,0.6825167,40,0.9302326,43,6,6,2.25,616,0.40999999,0.63,1.04,139,43.47,50.61,0.63,0.41,15,5,10
abattre,abatR,abattre,VER,43.47,14.43,1,7,6,5,2,VER,996.4494,138.16155,48,-0.5165214992,0.6296802,48,1.0,49,5,5,1.6,633,14.32000017,14.43,28.75,141,43.47,50.61,14.43,14.32,44,23,21
abattront,abatR§,abattre,VER,43.47,0.34,0,9,0,0,3,VER,1128.3228,181.92067,37,0.3322663728,0.9134899,37,0.826087,46,6,6,2.95,633,0.07000001,0.34,0.41,145,43.47,50.61,0.34,0.07,13,8,5
abattu,abaty,abattu,ADJ,2.51,1.82,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,147,2.51,7.09,1.82,3.78,40,16,24
abattu,abaty,abattu,ADJ,2.51,1.82,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,148,0.53,1.42,0.18,1.22,40,16,24
abattu,abaty,abattu,NOM,0.53,0.18,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,147,2.51,7.09,1.82,3.78,40,16,24
abattu,abaty,abattu,NOM,0.53,0.18,1,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,148,0.53,1.42,0.18,1.22,40,16,24
abattu,abaty,abattre,VER,43.47,11.48,0,6,6,5,3,"VER,ADJ,NOM",972.6543,168.73649,46,-0.5826401393,0.8035041,46,1.0,46,5,5,1.75,548,12.42999992,13.48,25.91,146,43.47,50.61,11.48,7.43,40,16,24
abbaye,abei,abbaye,NOM,3.94,3.66,1,6,5,4,3,NOM,1047.4108,161.832,39,-0.0073488982,0.9061017,39,0.8,50,4,4,1.8,620,3.31,3.66,6.97,161,3.94,3.78,3.66,3.31,17,6,11
abcès,apsE,abcès,NOM,1.79,1.79,1,5,4,4,2,NOM,1129.0333,155.61121,40,0.4785279462,0.8024718,40,0.8695652,46,4,4,1.8,535,3.31,1.79,5.1,168,1.79,3.31,1.79,3.31,18,15,3
abdos,abdo,abdos,NOM,0.86,0.86,1,5,5,4,2,NOM,940.6328,130.06404,49,-0.811492595,0.6571571,49,0.98,50,4,4,1.9,528,0.0,0.86,0.86,191,0.86,0.0,0.86,0.0,4,2,2
abeille,abEj,abeille,NOM,9.11,3.53,1,7,4,4,2,NOM,925.493,89.01301,42,-0.8041743492,0.5182915,42,1.0,42,4,4,1.95,585,3.17999998,3.53,6.71,194,9.11,9.86,3.53,3.18,11,11,0
aberrant,abER@,aberrer,VER,0.0,0.0,0,8,7,5,3,"ADJ,VER",972.7939,156.29579,41,-0.5914451286,0.9186672,41,0.9534884,43,5,5,1.9,561,1.28000002,0.58,1.86,198,0.0,0.2,0.0,0.2,7,5,2
aberrant,abER@,aberrant,ADJ,0.84,0.58,1,8,7,5,3,"ADJ,VER",972.7939,156.29579,41,-0.5914451286,0.9186672,41,0.9534884,43,5,5,1.9,561,1.28000002,0.58,1.86,197,0.84,2.5,0.58,1.08,7,5,2
abêti,abeti,abêti,ADJ,0.0,0.0,1,5,5,5,3,"ADJ,VER",1053.9038,204.43359,38,-0.0517966401,1.0820039,38,0.8297872,47,5,5,1.75,535,0.61000001,0.0,0.61,784,0.0,0.27,0.0,0.14,16,13,3
abêti,abeti,abêtir,VER,0.01,0.0,0,5,5,5,3,"ADJ,VER",1053.9038,204.43359,38,-0.0517966401,1.0820039,38,0.8297872,47,5,5,1.75,535,0.61000001,0.0,0.61,785,0.01,1.28,0.0,0.47,16,13,3
abêtir,abetiR,abêtir,VER,0.01,0.01,1,6,6,6,3,VER,1177.5764,206.06557,37,0.7837305664,1.0787627,37,0.8444444,45,6,6,1.9,716,0.54,0.01,0.55,787,0.01,1.28,0.01,0.54,9,3,6
abîma,abima,abîmer,VER,15.83,0.1,0,5,0,0,3,VER,992.695,177.90571,45,-0.5014641045,0.9691574,45,0.9787234,47,5,5,1.85,510,0.74000001,0.1,0.84,793,15.83,21.69,0.1,0.74,28,22,6
abîmaient,abimE,abîmer,VER,15.83,0.1,0,9,0,0,3,VER,963.1221,167.83652,49,-0.7023321316,0.771066,49,0.98,50,5,5,1.9,531,0.20000001,0.1,0.3,795,15.83,21.69,0.1,0.2,29,23,6
abîme,abim,abîmer,VER,15.83,2.21,0,5,5,4,2,"NOM,VER",970.843,184.17324,44,-0.7548459077,0.7830357,44,0.9565217,46,4,4,1.65,519,16.75000011,7.24,23.99,799,15.83,21.69,2.21,2.16,33,18,15
abîme,abim,abîme,NOM,6.01,5.03,1,5,5,4,2,"NOM,VER",970.843,184.17324,44,-0.7548459077,0.7830357,44,0.9565217,46,4,4,1.65,519,16.75000011,7.24,23.99,798,6.01,20.61,5.03,14.59,33,18,15
abîmer,abime,abîmer,VER,15.83,5.4,1,6,6,5,3,VER,957.812,200.83937,43,-0.8747956232,0.9265743,43,1.0,43,5,5,1.75,505,5.94999993,5.4,11.35,801,15.83,21.69,5.4,5.95,48,42,6
abîmeras,abim°Ra,abîmer,VER,15.83,0.0,0,8,0,0,4,VER,1002.3211,130.31463,44,-0.3420363195,0.5955026,44,1.0,45,6,7,4.2,651,0.14,0.0,0.14,806,15.83,21.69,0.0,0.14,9,9,0
aboie,abwa,aboyer,VER,7.43,2.91,0,5,0,4,2,VER,1038.7,157.68337,46,-0.1941019692,0.9991167,46,0.92,50,4,4,1.7,460,2.03000001,2.91,4.94,241,7.43,11.82,2.91,2.03,21,13,8
aboiement,abwam@,aboiement,NOM,1.79,0.44,1,9,5,5,3,NOM,1058.6528,202.23192,44,-0.1792428113,0.9555199,44,0.9777778,45,6,5,2.4,597,2.36000002,0.44,2.8,242,1.79,5.95,0.44,2.36,2,2,0
aboli,aboli,aboli,ADJ,0.08,0.02,1,5,5,5,3,"ADJ,VER",1027.4981,147.40013,44,-0.3617902018,0.7709113,44,0.9565217,46,5,5,1.8,497,2.69999997,1.12,3.82,250,0.08,2.57,0.02,1.28,11,9,2
aboli,aboli,abolir,VER,3.08,1.1,0,5,5,5,3,"ADJ,VER",1027.4981,147.40013,44,-0.3617902018,0.7709113,44,0.9565217,46,5,5,1.8,497,2.69999997,1.12,3.82,251,3.08,9.32,1.1,1.42,11,9,2
abolir,aboliR,abolir,VER,3.08,1.08,1,6,6,6,3,VER,1076.098,130.15068,42,0.1298307063,0.7042852,42,0.9772727,44,6,6,1.9,783,2.97000003,1.08,4.05,256,3.08,9.32,1.08,2.97,15,3,12
abolis,aboli,abolir,VER,3.08,0.14,0,6,0,5,3,"ADJ,VER",1067.3503,218.23446,38,-0.1110341109,0.9719423,38,0.8666667,45,5,5,1.8,541,0.82000001,0.14,0.96,261,3.08,9.32,0.14,0.41,11,9,2
abolis,aboli,aboli,ADJ,0.08,0.0,0,6,0,5,3,"ADJ,VER",1067.3503,218.23446,38,-0.1110341109,0.9719423,38,0.8666667,45,5,5,1.8,541,0.82000001,0.14,0.96,260,0.08,2.57,0.0,0.41,11,9,2
abolition,abolisj§,abolition,NOM,0.45,0.45,1,9,9,8,4,NOM,1140.9267,146.0475,43,0.4551731407,0.7856891,43,0.9555556,45,8,8,3.6,760,1.49000002,0.45,1.94,270,0.45,1.49,0.45,1.49,1,0,1
