"","x"
"1",138
"2",138
"3",138
"9",16
"14",145
"18",2
"19",8
"20",7
"21",7
"22",7
"23",10
"24",10
"25",2
"26",8
"27",8
"29",2
"30",8
"31",6
"32",4
"33",3
"34",3
"35",3
"36",3
"37",8
"38",17
"39",8
"40",1
"41",6
"42",6
"43",6
"44",6
"45",6
"46",6
"47",6
"48",6
"49",0
"50",0
"51",1
"91",1
"92",14
"102",39
"103",39
"105",3
"106",0
"107",36
"108",39
"109",39
"110",0
"111",0
"112",28
"113",28
"114",28
"115",25
"116",25
"117",25
"118",12
"119",1
"120",1
"121",12
"122",12
"123",6
"124",6
"125",38
"126",3
"127",4
"128",6
"129",36
"130",36
"131",36
"132",2
"133",2
"134",28
"135",7
"136",5
"137",5
"138",5
"139",5
"140",7
"141",23
"142",9
"143",0
"144",8
"145",8
"146",16
"147",16
"148",16
"149",16
"150",16
"151",16
"152",16
"153",3
"154",16
"155",16
"156",16
"161",6
"162",6
"163",8
"164",8
"165",74
"166",74
"167",6
"168",15
"171",9
"172",6
"173",6
"174",6
"175",6
"176",9
"177",1
"178",6
"182",6
"183",6
"184",6
"191",2
"193",0
"194",11
"195",11
"196",74
"197",5
"198",5
"199",2
"200",2
"201",5
"204",11
"205",11
"206",16
"207",13
"208",6
"209",6
"210",6
"211",6
"212",6
"213",6
"214",6
"234",17
"235",2
"236",2
"240",13
"241",13
"242",2
"243",2
"244",13
"245",5
"246",8
"247",4
"248",13
"249",13
"250",9
"251",9
"252",9
"253",9
"254",9
"255",9
"256",3
"257",1
"258",5
"259",1
"260",9
"261",9
"262",5
"263",5
"264",5
"265",6
"266",2
"267",0
"268",4
"269",9
"270",0
"283",9
"284",6
"285",6
"286",6
"287",6
"289",3
"290",7
"291",7
"292",1
"293",1
"294",7
"295",1
"296",1
"297",1
"298",8
"299",8
"300",20
"301",1
"302",8
"305",10
"306",10
"307",17
"308",10
"309",10
"310",10
"311",10
"312",10
"313",10
"314",10
"315",10
"316",10
"317",10
"318",10
"319",13
"320",18
"323",1
"324",1
"325",16
"326",16
"327",16
"328",16
"329",16
"330",13
"331",13
"332",17
"333",8
"334",7
"335",7
"336",7
"337",7
"338",2
"339",1
"340",7
"341",7
"342",13
"343",17
"344",2
"345",2
"346",16
"347",13
"348",2
"349",1
"350",17
"351",17
"352",17
"353",17
"354",17
"355",17
"356",17
"365",9
"366",9
"367",9
"368",11
"369",4
"370",19
"371",19
"372",19
"373",19
"374",5
"375",10
"376",5
"377",10
"378",19
"379",0
"380",0
"381",1
"382",25
"383",22
"384",23
"385",23
"386",23
"387",23
"388",6
"389",6
"390",6
"391",6
"392",6
"393",6
"394",6
"395",6
"396",6
"397",6
"398",23
"399",23
"400",9
"401",9
"402",4
"403",4
"404",4
"405",3
"407",3
"408",5
"409",1
"410",1
"411",23
"412",0
"413",11
"414",4
"415",8
"416",8
"417",8
"418",8
"419",8
"420",0
"421",8
"422",1
"423",1
"424",1
"425",1
"426",9
"427",4
"428",8
"441",10
"462",17
"465",0
"466",0
"471",0
"472",17
"473",16
"474",13
"475",13
"476",13
"477",13
"478",15
"479",15
"480",0
"481",0
"482",8
"483",3
"484",3
"485",2
"486",2
"487",0
"488",8
"489",1
"490",1
"491",16
"492",0
"493",0
"494",8
"495",8
"496",8
"497",8
"498",8
"499",8
"500",8
"502",2
"503",9
"504",9
"505",9
"506",9
"507",9
"508",9
"543",3
"544",3
"545",14
"546",15
"547",15
"548",15
"549",15
"550",15
"551",24
"555",24
"556",14
"557",24
"558",24
"559",24
"560",24
"561",24
"562",24
"563",24
"567",6
"572",7
"573",7
"574",9
"575",9
"576",9
"577",6
"578",6
"579",6
"580",6
"581",10
"582",7
"583",7
"584",7
"585",6
"589",7
"590",7
"591",7
"592",9
"593",9
