"","name","ortho","phono"
"1","1","a","x"
"3","3","aback","xb@k"
"8","8","abase","xbes"
"9","9","abash","xb@S"
"10","10","abate","xbet"
"14","14","abbe","@be"
"16","16","abbey","@bi"
"25","25","abeam","xbim"
"27","27","abed","xbEd"
"30","30","abet","xbEt"
"33","33","abide","xbYd"
"42","42","ablaze","xblez"
"43","43","able","ebL"
"44","44","abloom","xblum"
"51","51","aboard","xbord"
"52","52","abode","xbod"
"63","63","about","xbWt"
"66","66","abrade","xbred"
"68","68","abreast","xbrEst"
"125","125","acclaim","xklem"
"136","136","accord","xkord"
"139","139","accost","xkcst"
"145","145","accrue","xkru"
"157","157","ace","es"
"165","165","ache","ek"
"178","178","acorn","ekorn"
"180","180","acquaint","xkwent"
"182","182","acquire","xkwYr"
"185","185","acquit","xkwIt"
"186","186","acre","ekX"
"200","200","act","@kt"
"207","207","actor","@ktX"
"216","216","acute","xkyut"
"217","217","ad","@d"
"226","226","adder","@dX"
"232","232","addle","@dL"
"235","235","adduce","xdus"
"240","240","adieu","xdyu"
"276","276","ado","xdu"
"286","286","adrift","xdrIft"
"319","319","adze","@dz"
"322","322","aerate","Eret"
"324","324","aerial","@riL"
"326","326","aerie","Eri"
"327","327","aero","Ero"
"328","328","aerobe","Erob"
"336","336","aery","@ri"
"341","341","afar","xfar"
"345","345","affair","xfEr"
"354","354","affirm","xfRm"
"357","357","affix","xfIks"
"361","361","afford","xford"
"362","362","affray","xfre"
"363","363","affright","xfrYt"
"368","368","afield","xfild"
"369","369","afire","xfYr"
"370","370","aflame","xflem"
"371","371","afloat","xflot"
"376","376","afoul","xfWl"
"377","377","afraid","xfred"
"381","381","aft","@ft"
"382","382","after","@ftX"
"390","390","agape","xgep"
"393","393","age","eJ"
"407","407","aggrieve","xgriv"
"414","414","agleam","xglim"
"415","415","aglitter","xglItX"
"416","416","aglow","xglo"
"418","418","ago","xgo"
"425","425","agree","xgri"
"430","430","ahead","xhEd"
"432","432","aid","ed"
"434","434","ail","el"
"437","437","aim","em"
"438","438","air","Er"
"443","443","aisle","Yl"
"444","444","ajar","xJar"
"446","446","akin","xkIn"
"467","467","alder","cldX"
"469","469","alee","xli"
"477","477","algae","@lJi"
"487","487","alight","xlYt"
"488","488","alike","xlYk"
"492","492","aline","xlYn"
"493","493","alit","xlIt"
"501","501","all","cl"
"503","503","allay","xle"
"516","516","allergy","@lXJi"
"519","519","alley","@li"
"522","522","allied","xlYd"
"528","528","allot","xlat"
