"","x"
"10",3
"30",1
"63",1
"68",2
"97",1
"139",2
"140",2
"150",2
"185",1
"200",7
"216",1
"255",1
"286",1
"322",8
"363",2
"364",1
"371",1
"373",1
"381",9
"408",1
"487",7
"493",3
"528",5
"543",1
"651",2
"712",3
"769",2
"780",8
"846",3
"875",5
"918",2
"948",6
"1026",6
"1061",5
"1072",8
"1105",3
"1124",1
"1151",1
"1160",1
"1167",2
"1203",23
"1206",17
"1212",2
"1215",1
"1243",1
"1251",2
"1258",1
"1286",15
"1346",2
"1348",2
"1375",4
"1442",26
"1448",23
"1593",14
"1595",12
"1598",25
"1634",1
"1642",11
"1643",22
"1746",12
"1770",20
"1774",23
"1813",23
"1866",25
"1900",3
"1911",7
"1918",4
"1920",7
"1934",3
"1949",6
"1972",2
"1981",14
"1982",22
"2058",8
"2059",23
"2091",21
"2106",20
"2126",1
"2147",2
"2168",6
"2194",6
"2244",3
"2253",4
"2256",5
"2324",8
"2353",2
"2358",12
"2369",13
"2373",21
"2376",4
"2554",7
"2686",8
"2716",8
"2732",21
"2779",17
"2845",13
"2932",5
"2968",7
"2977",6
"2982",16
"2990",8
"2996",13
"3023",10
"3027",12
"3083",16
"3125",2
"3160",16
"3210",22
"3273",6
"3277",1
"3318",6
"3326",3
"3350",9
"3352",19
"3926",19
"4023",4
"4027",24
"4042",5
"4072",8
"4113",3
"4130",9
"4176",6
"4258",5
"4333",17
"4351",17
"4354",4
"4383",6
"4399",6
"4449",7
"4453",16
"4459",9
"4500",17
"4573",1
"4592",5
"4616",2
"4689",12
"4701",1
"4934",7
"4955",12
"5203",19
"5205",15
"5212",13
"5236",5
"5279",5
"5335",1
"5379",6
"5422",7
"5427",17
"5508",5
"5550",7
"5615",3
"5618",3
"5790",1
"5827",7
"5862",2
"5923",4
"6158",3
"6176",5
"6189",1
"6246",10
"6252",20
"6257",18
"6281",8
"6282",17
"6394",18
"6451",9
"6462",9
"6465",20
"6509",3
"6514",1
"6527",7
"6539",7
"6544",3
"6551",4
"6554",3
"6575",3
"6597",2
"6615",8
"6632",2
"6639",9
"6718",6
"6736",16
"6746",4
"6777",3
"6791",9
"6809",7
"6828",4
"6846",3
"6943",19
"7011",2
"7035",7
"7039",1
"7092",12
"7134",18
"7141",16
"7144",9
"7155",4
"7175",14
"7178",9
"7213",2
"7218",4
"7241",2
"7249",22
"7260",19
"7310",22
"7321",15
"7338",3
"7358",2
"7371",9
"7402",1
"7429",2
"7432",1
"7436",4
"7452",4
"7477",4
"7490",13
"7522",8
"7525",17
"7539",1
"7570",5
"7676",7
"7685",8
"7687",21
"7691",19
"7697",9
"7737",19
"7760",5
"7765",19
"7770",3
"7915",7
"7932",22
"7955",7
"8010",18
"8050",10
"8056",23
"8134",6
"8142",15
"8152",17
"8929",1
"9178",9
"9252",19
"9297",9
"9320",15
"9321",14
"9359",3
"9360",8
"9370",17
"9377",5
"9426",11
"9430",12
"9431",13
"9513",23
"9517",19
"9536",19
"9537",22
"9545",23
"9560",3
"9683",12
"9688",21
"9727",1
"9756",9
"9773",7
"9819",11
"9835",17
"9836",19
"9897",23
"9907",6
"9910",22
"9973",8
"9994",10
"9998",23
"10081",5
"10115",18
"10127",6
"10128",26
"10137",17
"10198",11
"10489",8
"10518",10
"10532",21
"10536",19
"10603",12
"10610",18
"10741",19
"10805",1
"10810",19
"10885",7
"10961",10
"10977",23
"10984",20
"11022",8
"11121",19
"11181",11
