"","name","ortho","phono"
"10","10","abate","xbet"
"30","30","abet","xbEt"
"63","63","about","xbWt"
"68","68","abreast","xbrEst"
"97","97","abut","xb^t"
"139","139","accost","xkcst"
"140","140","account","xkWnt"
"150","150","accursed","xkRst"
"185","185","acquit","xkwIt"
"200","200","act","@kt"
"216","216","acute","xkyut"
"255","255","adjust","xJ^st"
"286","286","adrift","xdrIft"
"322","322","aerate","Eret"
"363","363","affright","xfrYt"
"364","364","affront","xfr^nt"
"371","371","afloat","xflot"
"373","373","afoot","xfUt"
"381","381","aft","@ft"
"408","408","aghast","xg@st"
"487","487","alight","xlYt"
"493","493","alit","xlIt"
"528","528","allot","xlat"
"543","543","aloft","xlcft"
"651","651","amount","xmWnt"
"712","712","anent","xnEnt"
"769","769","anoint","xnOnt"
"780","780","ant","@nt"
"846","846","apart","xpart"
"875","875","aport","xport"
"918","918","appoint","xpOnt"
"948","948","apt","@pt"
"1026","1026","aright","xrYt"
"1061","1061","arrest","xrEst"
"1072","1072","art","art"
"1105","1105","ascent","xsEnt"
"1124","1124","aslant","xsl@nt"
"1151","1151","asset","@sEt"
"1160","1160","assist","xsIst"
"1167","1167","assort","xsort"
"1203","1203","at","@t"
"1206","1206","ate","et"
"1212","1212","athirst","xTRst"
"1215","1215","athwart","xTwort"
"1243","1243","attaint","xtent"
"1251","1251","attest","xtEst"
"1258","1258","attract","xtr@kt"
"1286","1286","aught","ct"
"1346","1346","avast","xv@st"
"1348","1348","avaunt","xvcnt"
"1375","1375","await","xwet"
"1442","1442","baht","bat"
"1448","1448","bait","bet"
"1593","1593","bast","b@st"
"1595","1595","baste","best"
"1598","1598","bat","b@t"
"1634","1634","beaked","bikt"
"1642","1642","beast","bist"
"1643","1643","beat","bit"
"1746","1746","bent","bEnt"
"1770","1770","best","bEst"
"1774","1774","bet","bEt"
"1813","1813","bight","bYt"
"1866","1866","bit","bIt"
"1900","1900","blast","bl@st"
"1911","1911","bleat","blit"
"1918","1918","blessed","blEst"
"1920","1920","blight","blYt"
"1934","1934","bloat","blot"
"1949","1949","blot","blat"
"1972","1972","blunt","bl^nt"
"1981","1981","boast","bost"
"1982","1982","boat","bot"
"2058","2058","boost","bust"
"2059","2059","boot","but"
"2091","2091","bought","bct"
"2106","2106","bout","bWt"
"2126","2126","bract","br@kt"
"2147","2147","brat","br@t"
"2168","2168","breast","brEst"
"2194","2194","bright","brYt"
"2244","2244","brought","brct"
"2253","2253","bruit","brut"
"2256","2256","brunt","br^nt"
"2324","2324","bunt","b^nt"
"2353","2353","burnt","bRnt"
"2358","2358","burst","bRst"
"2369","2369","bust","b^st"
"2373","2373","but","b^t"
"2376","2376","butte","byut"
"2554","2554","cant","k@nt"
"2686","2686","cart","kart"
"2716","2716","cast","k@st"
"2732","2732","cat","k@t"
"2779","2779","caught","kct"
"2845","2845","cent","sEnt"
"2932","2932","chant","C@nt"
"2968","2968","chart","Cart"
"2977","2977","chaste","Cest"
"2982","2982","chat","C@t"
"2990","2990","chaunt","Ccnt"
"2996","2996","cheat","Cit"
"3023","3023","chert","CRt"
"3027","3027","chest","CEst"
"3083","3083","chit","CIt"
"3125","3125","Christ","krYst"
"3160","3160","chute","Sut"
"3210","3210","cite","sYt"
"3273","3273","cleat","klit"
"3277","3277","cleft","klEft"
"3318","3318","clot","klat"
"3326","3326","clout","klWt"
"3350","3350","coast","kost"
"3352","3352","coat","kot"
"3926","3926","coot","kut"
"4023","4023","cost","kcst"
"4027","4027","cot","kat"
"4042","4042","count","kWnt"
"4072","4072","court","kort"
"4113","4113","craft","kr@ft"
"4130","4130","crate","kret"
"4176","4176","crest","krEst"
"4258","4258","crust","kr^st"
"4333","4333","curt","kRt"
"4351","4351","cut","k^t"
"4354","4354","cute","kyut"
"4383","4383","cyst","sIst"
"4399","4399","daft","d@ft"
"4449","4449","dart","dart"
"4453","4453","date","det"
"4459","4459","daunt","dcnt"
"4500","4500","debt","dEt"
"4573","4573","defeat","dxfit"
"4592","4592","deft","dEft"
"4616","4616","delete","dxlit"
"4689","4689","dent","dEnt"
"4701","4701","depart","dxpart"
"4934","4934","dint","dInt"
"4955","4955","dirt","dRt"
"5203","5203","dot","dat"
"5205","5205","dote","dot"
"5212","5212","doubt","dWt"
"5236","5236","draft","dr@ft"
"5279","5279","drift","drIft"
"5335","5335","duet","duEt"
"5379","5379","dust","d^st"
"5422","5422","east","ist"
"5427","5427","eat","it"
"5508","5508","elate","xlet"
"5550","5550","elite","xlit"
"5615","5615","emit","ImIt"
"5618","5618","emote","Imot"
"5790","5790","equate","Ikwet"
"5827","5827","erst","Rst"
"5862","5862","estate","Istet"
"5923","5923","event","xvEnt"
"6158","6158","fact","f@kt"
"6176","6176","faint","fent"
"6189","6189","fallout","fclWt"
"6246","6246","fast","f@st"
"6252","6252","fat","f@t"
"6257","6257","fate","fet"
"6281","6281","feast","fist"
"6282","6282","feat","fit"
"6394","6394","fight","fYt"
"6451","6451","first","fRst"
"6462","6462","fist","fIst"
