"","name","ortho","phono"
"2391","2391","c","si"
"2422","2422","Caesar","sizX"
"2808","2808","cease","sis"
"2809","2809","cecum","sikM"
"2810","2810","cedar","sidX"
"2811","2811","cede","sid"
"3166","3166","cider","sYdX"
"3178","3178","cipher","sYfX"
"3179","3179","circa","sRkx"
"3180","3180","circle","sRkL"
"3210","3210","cite","sYt"
"4367","4367","cycle","sYkL"
"13885","13885","Psalter","scltX"
"13888","13888","Psyche","sYki"
"15040","15040","sable","sebL"
"15042","15042","sabre","sebX"
"15065","15065","safe","sef"
"15072","15072","sage","seJ"
"15076","15076","sail","sel"
"15077","15077","sailor","selX"
"15078","15078","saint","sent"
"15079","15079","sake","sek"
"15095","15095","salt","sclt"
"15108","15108","same","sem"
"15124","15124","sane","sen"
"15152","15152","Satan","setN"
"15156","15156","sate","set"
"15173","15173","satyr","setX"
"15174","15174","sauce","scs"
"15176","15176","saucer","scsX"
"15180","15180","saute","scte"
"15184","15184","save","sev"
"15185","15185","saviour","sevyX"
"15186","15186","savor","sevX"
"15187","15187","saw","sc"
"15190","15190","say","se"
"15191","15191","scab","sk@b"
"15195","15195","scale","skel"
"15203","15203","scan","sk@n"
"15207","15207","scant","sk@nt"
"15209","15209","scar","skar"
"15211","15211","scarce","skErs"
"15214","15214","scare","skEr"
"15216","15216","scarf","skarf"
"15224","15224","scene","sin"
"15231","15231","scheme","skim"
"15240","15240","school","skul"
"15243","15243","science","sY|ns"
"15250","15250","scion","sY|n"
"15253","15253","scoff","skaf"
"15255","15255","scone","skon"
"15256","15256","scoop","skup"
"15257","15257","scope","skop"
"15258","15258","scorch","skorC"
"15259","15259","score","skor"
"15260","15260","scorn","skorn"
"15263","15263","scot","skat"
"15264","15264","scotch","skaC"
"15265","15265","Scots","skats"
"15268","15268","scour","skWr"
"15269","15269","scourge","skRJ"
"15270","15270","scout","skWt"
"15271","15271","scow","skW"
"15272","15272","scowl","skWl"
"15275","15275","scrap","skr@p"
"15276","15276","scrape","skrep"
"15277","15277","scratch","skr@C"
"15280","15280","scream","skrim"
"15281","15281","screech","skriC"
"15282","15282","screen","skrin"
"15286","15286","scrim","skrIm"
"15288","15288","scrimp","skrImp"
"15289","15289","scrip","skrIp"
"15290","15290","script","skrIpt"
"15301","15301","scud","sk^d"
"15303","15303","scull","sk^l"
"15308","15308","scum","sk^m"
"15310","15310","scurf","skRf"
"15312","15312","scurry","skRi"
"15313","15313","scurvy","skRvi"
"15316","15316","scythe","sYD"
"15317","15317","seal","sil"
"15319","15319","seam","sim"
"15322","15322","seamy","simi"
"15325","15325","search","sRC"
"15327","15327","season","sizN"
"15329","15329","seat","sit"
