"","name","ortho","phono"
"145","145","accrue","xkru"
"1407","1407","babble","b@bL"
"1409","1409","Babel","bebL"
"1412","1412","baby","bebi"
"1430","1430","badger","b@JX"
"1433","1433","baffle","b@fL"
"1437","1437","bagel","begL"
"1439","1439","baggy","b@gi"
"1447","1447","bairn","bErn"
"1457","1457","bald","bcld"
"1470","1470","ballet","b@le"
"1486","1486","band","b@nd"
"1501","1501","bani","bani"
"1505","1505","bank","b@Gk"
"1508","1508","banner","b@nX"
"1510","1510","banns","b@nz"
"1525","1525","barb","barb"
"1539","1539","bard","bard"
"1542","1542","barge","barJ"
"1545","1545","bark","bark"
"1549","1549","barn","barn"
"1564","1564","barrel","b@rL"
"1570","1570","barrow","b@ro"
"1573","1573","basal","besL"
"1581","1581","basil","b@zL"
"1584","1584","basin","besN"
"1586","1586","bask","b@sk"
"1590","1590","basso","b@so"
"1593","1593","bast","b@st"
"1595","1595","baste","best"
"1605","1605","baths","b@Dz"
"1612","1612","batteau","b@to"
"1613","1613","batten","b@tN"
"1614","1614","batter","b@tX"
"1617","1617","battle","b@tL"
"1618","1618","bauble","bcbL"
"1620","1620","bawdy","bcdi"
"1631","1631","beadle","bidL"
"1632","1632","beagle","bigL"
"1634","1634","beaked","bikt"
"1635","1635","beaker","bikX"
"1638","1638","beanie","bini"
"1639","1639","beard","bIrd"
"1642","1642","beast","bist"
"1644","1644","beaten","bitN"
"1656","1656","beaver","bivX"
"1668","1668","bedew","bidu"
"1681","1681","beetle","bitL"
"1682","1682","beeves","bivz"
"1692","1692","beggar","bEgX"
"1708","1708","belch","bElC"
"1724","1724","bellow","bElo"
"1726","1726","belly","bEli"
"1728","1728","belt","bElt"
"1732","1732","bench","bEnC"
"1733","1733","bend","bEnd"
"1746","1746","bent","bEnt"
"1753","1753","Berber","bRbX"
"1759","1759","berry","bEri"
"1762","1762","beryl","bErL"
"1770","1770","best","bEst"
"1776","1776","bethel","bETL"
"1778","1778","better","bEtX"
"1781","1781","bevel","bEvL"
"1783","1783","bevy","bEvi"
"1786","1786","bezel","bEzL"
"1792","1792","bible","bYbL"
"1800","1800","bicker","bIkX"
"1804","1804","bidden","bIdN"
"1820","1820","bilge","bIlJ"
"1823","1823","bilk","bIlk"
"1831","1831","billow","bIlo"
"1832","1832","billy","bIli"
"1836","1836","bind","bYnd"
"1837","1837","binge","bInJ"
"1856","1856","birdie","bRdi"
"1863","1863","bison","bYsN"
"1864","1864","bisque","bIsk"
"1869","1869","bitten","bItN"
"1870","1870","bitter","bItX"
"1980","1980","board","bord"
"1981","1981","boast","bost"
"1985","1985","boatswain","bosN"
"1988","1988","bobble","babL"
"1989","1989","bobby","babi"
"1994","1994","boccie","baCi"
"2001","2001","body","badi"
"2004","2004","bogie","bUgi"
"2009","2009","bold","bold"
"2015","2015","bolo","bolo"
"2020","2020","bolt","bolt"
"2027","2027","bomber","bamX"
"2032","2032","bond","band"
"2039","2039","boner","bonX"
"2045","2045","bonnie","bani"
"2049","2049","booby","bubi"
"2050","2050","boodle","budL"
"2058","2058","boost","bust"
"2061","2061","booths","buDz"
"2062","2062","bootie","buti"
"2065","2065","booty","buti"
"2071","2071","born","born"
"2074","2074","borrow","baro"
"2085","2085","bother","baDX"
"2086","2086","bottle","batL"
"2087","2087","bottom","batM"
"2094","2094","bounce","bWns"
"2095","2095","bound","bWnd"
"2114","2114","bowler","bolX"
"2118","2118","box","baks"
"2262","2262","bubble","b^bL"
"2267","2267","buckle","b^kL"
"2275","2275","buddy","b^di"
"2281","2281","buffer","b^fX"
"2287","2287","buggy","b^gi"
"2289","2289","build","bIld"
"2290","2290","built","bIlt"
"2291","2291","bulb","b^lb"
"2295","2295","bulge","b^lJ"
"2296","2296","bulk","b^lk"
"2304","2304","bully","bUli"
"2309","2309","bump","b^mp"
"2313","2313","bunch","b^nC"
"2321","2321","bunk","b^Gk"
"2324","2324","bunt","b^nt"
"2329","2329","burden","bRdN"
"2335","2335","burgee","bRJi"
"2338","2338","burgher","bRgX"
"2347","2347","burly","bRli"
"2350","2350","burned","bRnd"
"2353","2353","burnt","bRnt"
"2355","2355","bursa","bRsx"
"2356","2356","bursar","bRsX"
"2358","2358","burst","bRst"
"2369","2369","bust","b^st"
"2370","2370","bustle","b^sL"
"2371","2371","busy","bIzi"
"2377","2377","butter","b^tX"
"2382","2382","button","b^tN"
"2397","2397","cabbie","k@bi"
"2400","2400","cable","kebL"
"2407","2407","cachet","k@Se"
"2408","2408","cackle","k@kL"
"2414","2414","caddy","k@di"
"2422","2422","Caesar","sizX"
"2424","2424","cafe","k@fe"
"2430","2430","cairn","kErn"
"2464","2464","calla","k@lx"
"2471","2471","callow","k@lo"
"2484","2484","calves","k@vz"
"2495","2495","camel","k@mL"
"2502","2502","camp","k@mp"
"2538","2538","canned","k@nd"
"2539","2539","canner","k@nX"
"2549","2549","canny","k@ni"
"2554","2554","cant","k@nt"
"2580","2580","caper","kepX"
"2638","2638","card","kard"
"2670","2670","carol","k@rL"
"2671","2671","carom","k@rM"
"2676","2676","carp","karp"
"2685","2685","carry","k@ri"
"2686","2686","cart","kart"
"2696","2696","carve","karv"
"2704","2704","cashew","k@Su"
"2709","2709","cask","k@sk"
"2714","2714","cassia","k@Sx"
"2716","2716","cast","k@st"
"2723","2723","castle","k@sL"
"2751","2751","catchy","k@Ci"
"2756","2756","cater","ketX"
"2772","2772","cattle","k@tL"
"2773","2773","catty","k@ti"
"2778","2778","caudal","kcdL"
"2781","2781","causal","kczL"
"2801","2801","cavil","k@vL"
"2804","2804","cavy","kevi"
"2810","2810","cedar","sidX"
"2823","2823","cellar","sElX"
"2826","2826","cello","CElo"
"2831","2831","celt","sElt"
"2845","2845","cent","sEnt"
"2882","2882","certain","sRtN"
"2895","2895","chafer","CefX"
"2897","2897","chaffer","C@fX"
"2904","2904","chalet","S@le"
"2909","2909","challis","S@li"
"2914","2914","chamois","S@mi"
"2916","2916","champ","C@mp"
"2919","2919","chance","C@ns"
"2927","2927","change","CenJ"
"2929","2929","channel","C@nL"
"2932","2932","chant","C@nt"
"2940","2940","chapel","C@pL"
"2946","2946","chaps","C@ps"
"2957","2957","chard","Card"
"2958","2958","charge","CarJ"
"2966","2966","charm","Carm"
"2968","2968","chart","Cart"
"2972","2972","chary","C@ri"
"2974","2974","chaser","CesX"
"2975","2975","chasm","k@zM"
"2976","2976","chassis","C@si"
"2977","2977","chaste","Cest"
"2978","2978","chasten","CesN"
"2983","2983","chateau","S@to"
"2985","2985","chattel","C@tL"
"2986","2986","chatter","C@tX"
"2988","2988","chatty","C@ti"
"2989","2989","chauffeur","SofX"
"2990","2990","chaunt","Ccnt"
"3009","3009","cheery","CIri"
"3012","3012","chela","kilx"
"3022","3022","cherry","CEri"
"3027","3027","chest","CEst"
"3045","3045","chidden","CIdN"
"3053","3053","chigger","CIgX"
"3056","3056","child","CYld"
"3065","3065","chimp","CImp"
"3068","3068","china","CYnx"
"3071","3071","chink","CIGk"
"3076","3076","chipper","CIpX"
"3082","3082","chisel","CIzL"
"3101","3101","choler","kalX"
"3107","3107","choosey","Cuzi"
"3109","3109","choppy","Capi"
"3110","3110","chops","Caps"
"3112","3112","choral","korL"
"3113","3113","chord","kord"
"3148","3148","chubby","C^bi"
"3150","3150","chuckle","C^kL"
"3152","3152","chukka","C^kx"
"3154","3154","chummy","C^mi"
"3155","3155","chump","C^mp"
"3156","3156","chunk","C^Gk"
"3166","3166","cider","sYdX"
"3169","3169","cinch","sInC"
"3178","3178","cipher","sYfX"
"3179","3179","circa","sRkx"
"3180","3180","circle","sRkL"
"3216","3216","city","sIti"
"3219","3219","civil","sIvL"
"3348","3348","coarse","kors"
"3350","3350","coast","kost"
"3354","3354","coax","koks"
"3358","3358","cobble","kabL"
"3363","3363","coca","kokx"
"3374","3374","cockeye","kakY"
"3375","3375","cockle","kakL"
"3377","3377","cocky","kaki"
"3378","3378","coco","koko"
"3382","3382","coda","kodx"
"3383","3383","coddle","kadL"
"3388","3388","codger","kaJX"
"3398","3398","coerce","koRs"
"3430","3430","cola","kolx"
"3432","3432","cold","kold"
"3452","3452","collie","kali"
"3464","3464","colonel","kRnL"
"3471","3471","color","k^lX"
"3479","3479","colt","kolt"
"3481","3481","column","kalM"
"3484","3484","coma","komx"
"3489","3489","comber","komX"
"3511","3511","comma","kamx"
"3634","3634","conch","kaGk"
"3679","3679","coney","koni"
"3916","3916","cooky","kUki"
"3919","3919","coolie","kuli"
"3922","3922","cooper","kupX"
"3927","3927","cootie","kuti"
"3934","3934","copper","kapX"
"3939","3939","copse","kaps"
"3943","3943","copy","kapi"
"3947","3947","coral","kcrL"
"3960","3960","cork","kork"
"3962","3962","corn","korn"
"4023","4023","cost","kcst"
"4032","4032","cottar","katX"
"4033","4033","cotton","katN"
"4038","4038","cougar","kugX"
"4042","4042","count","kWnt"
"4064","4064","coupe","kupe"
"4065","4065","couple","k^pL"
"4071","4071","courier","kRiX"
"4072","4072","court","kort"
"4084","4084","cover","k^vX"
"4088","4088","covey","k^vi"
"4104","4104","cozy","kozi"
"4279","4279","cuddle","k^dL"
"4280","4280","cudgel","k^JL"
"4290","4290","cult","k^lt"
"4315","4315","curdle","kRdL"
"4335","4335","curtain","kRtN"
"4359","4359","cutter","k^tX"
"4367","4367","cycle","sYkL"
"4383","4383","cyst","sIst"
"4389","4389","dabble","d@bL"
"4396","4396","daddy","d@di"
"4399","4399","daft","d@ft"
"4400","4400","dagger","d@gX"
"4403","4403","daily","deli"
"4406","4406","dairy","dEri"
"4408","4408","daisy","dezi"
"4410","4410","dally","d@li"
"4419","4419","damned","d@md"
"4420","4420","damp","d@mp"
"4424","4424","dance","d@ns"
"4436","4436","dank","d@Gk"
"4437","4437","dapper","d@pX"
"4438","4438","dapple","d@pL"
"4441","4441","dark","dark"
"4447","4447","darn","darn"
"4449","4449","dart","dart"
"4459","4459","daunt","dcnt"
"4463","4463","dawdle","dcdL"
"4469","4469","dazzle","d@zL"
"4474","4474","deaden","dEdN"
"4481","4481","dealer","dilX"
"4483","4483","dealt","dElt"
"4513","4513","decay","dxke"
"4592","4592","deft","dEft"
"4594","4594","defy","dIfY"
"4610","4610","delay","dxle"
"4611","4611","dele","dili"
"4637","4637","delve","dElv"
"4681","4681","denim","dEnM"
"4687","4687","dense","dEns"
"4689","4689","dent","dEnt"
"4699","4699","deny","dInY"
"4763","4763","desk","dEsk"
"4818","4818","devil","dEvL"
"4854","4854","diaper","dYpX"
"4860","4860","diary","dYri"
"4864","4864","dibble","dIbL"
"4867","4867","dicker","dIkX"
"4868","4868","dicky","dIki"
"4887","4887","differ","dIfX"
"4920","4920","dimmer","dImX"
"4925","4925","diner","dYnX"
"4927","4927","dinghy","dIGi"
"4932","4932","dinner","dInX"
"4934","4934","dint","dInt"
"4944","4944","dipper","dIpX"
"4975","4975","disc","dIsk"
"5098","5098","dither","dIDX"
"5099","5099","ditto","dIto"
"5100","5100","ditty","dIti"
"5126","5126","dizzy","dIzi"
"5129","5129","docile","dasL"
"5142","5142","dodder","dadX"
"5155","5155","doily","dOli"
"5161","5161","dollar","dalX"
"5163","5163","dolly","dali"
"5165","5165","dolor","dolX"
"5167","5167","dolt","dolt"
"5187","5187","donor","donX"
"5189","5189","doodle","dudL"
"5194","5194","dorm","dorm"
"5199","5199","dory","dori"
"5206","5206","dottle","datL"
"5207","5207","double","d^bL"
"5214","5214","doughty","dWti"
"5219","5219","dowdy","dWdi"
"5228","5228","downy","dWni"
"5229","5229","dowry","dWri"
"5323","5323","ducal","dukL"
"5326","5326","duchy","d^Ci"
"5328","5328","duct","d^kt"
"5336","5336","duffer","d^fX"
"5344","5344","dully","d^li"
"5345","5345","duly","duli"
"5352","5352","dummy","d^mi"
"5353","5353","dump","d^mp"
"5356","5356","dunce","d^ns"
"5363","5363","dunk","d^Gk"
"5378","5378","dusk","d^sk"
"5379","5379","dust","d^st"
"5385","5385","duty","duti"
"5891","5891","euchre","yukX"
"6143","6143","fable","febL"
"6153","6153","facial","feSL"
"6154","6154","facile","f@sL"
"6158","6158","fact","f@kt"
"6167","6167","faery","fEri"
"6176","6176","faint","fent"
"6178","6178","fairy","f@ri"
"6190","6190","fallow","f@lo"
"6191","6191","FALSE","fcls"
"6222","6222","farce","fars"
"6226","6226","farm","farm"
"6232","6232","farrow","f@ro"
"6246","6246","fast","f@st"
"6247","6247","fasten","f@sN"
"6253","6253","fatal","fetL"
"6260","6260","father","faDX"
"6263","6263","fatten","f@tN"
"6264","6264","fatty","f@ti"
"6269","6269","fault","fclt"
"6272","6272","favor","fevX"
"6281","6281","feast","fist"
"6283","6283","feather","fEDX"
"6284","6284","feature","fiCX"
"6301","6301","feeble","fibL"
"6310","6310","fellah","fElx"
"6312","6312","felloe","fElo"
"6315","6315","felly","fEli"
"6319","6319","felt","fElt"
"6325","6325","femur","fimX"
"6327","6327","fence","fEns"
"6328","6328","fend","fEnd"
"6331","6331","fennel","fEnL"
"6340","6340","ferrule","fErL"
"6341","6341","fertile","fRtL"
"6355","6355","fetter","fEtX"
"6356","6356","fettle","fEtL"
"6362","6362","fever","fivX"
"6367","6367","fiat","fiat"
"6372","6372","fichu","fISu"
"6373","6373","fickle","fIkL"
"6376","6376","fiddle","fIdL"
"6383","6383","field","fild"
"6385","6385","fiend","find"
"6386","6386","fierce","fIrs"
"6387","6387","fiery","fYri"
"6391","6391","fifth","fIfT"
"6402","6402","filch","fIlC"
"6403","6403","filet","fIle"
"6410","6410","filler","fIlX"
"6413","6413","filly","fIli"
"6414","6414","film","fIlm"
"6415","6415","fils","fIls"
"6417","6417","filth","fIlT"
"6422","6422","final","fYnL"
"6430","6430","finch","fInC"
"6431","6431","find","fYnd"
"6441","6441","finis","fIni"
"6444","6444","finny","fIni"
"6451","6451","first","fRst"
"6461","6461","fissure","fISX"
"6462","6462","fist","fIst"
"6467","6467","fix","fIks"
"6476","6476","fizzle","fIzL"
"6610","6610","fodder","fadX"
"6613","6613","fogey","fogi"
"6614","6614","foible","fObL"
"6615","6615","foist","fOst"
"6616","6616","fold","fold"
"6624","6624","follow","falo"
"6625","6625","folly","fali"
"6628","6628","fond","fand"
"6632","6632","font","fant"
"6650","6650","force","fors"
"6653","6653","ford","ford"
"6690","6690","forge","forJ"
"6695","6695","fork","fork"
"6699","6699","form","form"
"6718","6718","fort","fort"
"6719","6719","forth","forT"
"6732","6732","forum","forM"
"6734","6734","fossil","fasL"
"6739","6739","foully","fWli"
"6741","6741","found","fWnd"
"6746","6746","fount","fWnt"
"6749","6749","fox","faks"
"6852","6852","fuddle","f^dL"
"6861","6861","fully","fUli"
"6873","6873","fund","f^nd"
"6883","6883","funk","f^Gk"
"6884","6884","funnel","f^nL"
"6885","6885","funny","f^ni"
"6891","6891","furlough","fRlo"
"6896","6896","furrier","fRiX"
"6900","6900","further","fRDX"
"6922","6922","gabble","g@bL"
"6923","6923","gabby","g@bi"
"6925","6925","gable","gebL"
"6936","6936","gaffer","g@fX"
"6940","6940","gaily","geli"
"6944","6944","gaiter","getX"
"6945","6945","gala","gelx"
"6955","6955","galley","g@li"
"6977","6977","gammer","g@mX"
"6979","6979","gamy","gemi"
"6997","6997","garb","garb"
"7023","7023","gasp","g@sp"
"7030","7030","gather","g@DX"
"7035","7035","gaunt","gcnt"
"7038","7038","gavel","g@vL"
"7050","7050","geisha","geSx"
"7053","7053","geld","gEld"
"7085","7085","genie","Jini"
"7091","7091","gens","JEnz"
"7092","7092","gent","JEnt"
"7138","7138","geyser","gYzX"
"7144","7144","ghost","gost"
"7148","7148","gibber","JIbX"
"7154","7154","giddy","gIdi"
"7155","7155","gift","gIft"
"7158","7158","giggle","gIgL"
"7160","7160","gild","gIld"
"7162","7162","gilt","gIlt"
"7172","7172","girder","gRdX"
