"","x"
"1442",25
"1448",21
"1598",23
"1643",20
"1774",22
"1813",21
"1866",23
"1982",20
"2059",21
"2091",19
"2106",18
"2373",20
"2732",20
"2779",16
"2982",15
"2996",12
"3023",10
"3083",15
"3160",16
"3210",19
"3352",17
"3926",18
"4027",22
"4333",15
"4351",17
"4453",15
"4500",16
"4955",12
"5203",19
"5205",14
"5212",12
"6252",18
"6257",16
"6282",15
"6394",16
"6465",18
"6639",8
"6736",14
"6943",17
"7134",18
"7141",15
"7175",14
"7249",21
"7260",16
"7310",21
"7321",14
"7525",16
"7687",20
"7691",18
"7737",17
"7765",18
"7932",20
"8010",18
"8056",22
"8142",15
"8152",17
"9321",14
"9370",17
"9430",12
"9431",13
"9513",20
"9517",18
"9536",19
"9537",21
"9545",23
"9688",17
"9836",18
"9897",16
"9910",17
"9998",19
"10115",17
"10128",21
"10137",14
"10532",20
"10536",18
"10610",17
"10741",19
"10810",18
"10977",20
"10984",17
"11121",18
"11321",17
"11418",17
"11440",18
"11508",20
"11542",19
"11686",18
"11756",18
"12525",21
"12527",19
"12594",18
"12805",16
"12830",20
"13054",21
"13396",23
"13426",16
"14009",11
"14017",18
"14252",21
"14254",19
"14825",19
"14915",19
"14928",23
"14934",18
"14955",16
"15033",18
"15151",21
"15156",19
"15329",18
"15482",20
"15554",15
"15586",13
"15589",15
"15606",20
"15609",13
"15642",15
"15735",21
"15997",11
"16017",23
"16021",17
"16652",19
"17008",19
"17014",15
"17040",19
"17196",12
"17287",8
"17353",17
"17479",17
"17522",21
"17527",16
"17541",14
"18358",14
"18492",13
"18706",11
"18762",15
"18846",19
"18908",16
"19033",15
"19096",17
"19181",12
"19206",21
"19215",17
"19231",15
"19265",12
