"","x"
"16237",4
"16245",9
"16247",5
"16248",3
"16249",7
"16256",10
"16257",10
"16258",6
"16259",12
"16261",12
"16262",7
"16264",7
"16286",5
"16297",8
"16314",7
"16317",7
"16319",9
"16321",4
"16322",7
"16324",6
"16326",8
"16329",5
"16331",4
"16337",6
"16352",4
"16359",11
"16362",7
"16368",7
"16370",11
"16379",6
"16389",5
"16390",7
"16391",8
"16404",11
"16405",11
"16412",9
"16413",4
"16414",3
"16415",8
"16416",5
"16417",5
"16420",8
"16427",2
"16428",6
"16512",6
"16517",11
"16518",9
"16524",7
"16530",9
"16531",6
