"","x"
"1",0.380952380952381
"2",0
"3",-1
"4",0
"5",0
"6",0.19047619047619
"7",0
"8",0
"9",0.166666666666667
"10",0
"11",0.222222222222222
"12",0
"13",-1
"14",0.1
"15",1
"16",0.3
"17",0.2
"18",-1
"19",-1
"20",-1
"21",-1
"22",0.75
"23",-1
"24",-1
"25",-1
"26",-1
"27",0.3
"28",0.166666666666667
"29",-1
"30",-1
"31",-1
"32",-1
"33",0
"34",0.5
"35",-1
"36",0
"37",1
"38",-1
"39",0
"40",-1
"41",0
"42",-1
"43",0
"44",-1
"45",-1
"46",-1
"47",-1
"48",1
"49",0.3
"50",0
"51",0
"52",-1
"53",0
"54",0
"55",-1
"56",-1
"57",-1
"58",-1
"59",0
"60",0.5
"61",0
"62",0
"63",-1
"64",1
"65",0
"66",1
"67",0.2
"68",1
"69",-1
"70",0.341991341991342
"71",-1
"72",-1
"73",0.322463768115942
"74",0
"75",-1
"76",-1
"77",0
"78",-1
"79",0
"80",1
"81",-1
"82",1
"83",0
"84",0
"85",-1
"86",-1
"87",0
"88",-1
"89",-1
"90",0
"91",0.25
"92",0
"93",-1
"94",0.3
"95",0
"96",-1
"97",-1
"98",-1
"99",0
"100",0.27
"101",-1
"102",1
"103",0.166666666666667
"104",0
"105",0.1
"106",-1
"107",0.178571428571429
"108",0
"109",-1
"110",0.333333333333333
"111",1
"112",-1
"113",0
"114",-1
"115",-1
"116",1
"117",0.5
"118",-1
"119",-1
"120",-1
"121",0
"122",1
"123",0.333333333333333
"124",0
"125",-1
"126",-1
"127",-1
"128",-1
"129",1
"130",1
"131",1
"132",-1
"133",-1
"134",0.333333333333333
"135",-1
"136",1
"137",0
"138",0.333333333333333
"139",0.239766081871345
"140",0.351648351648352
"141",0.333333333333333
"142",-1
"143",0.238095238095238
"144",-1
"145",0.166666666666667
"146",-1
"147",0.166666666666667
"148",0
"149",-1
"150",-1
"151",-1
"152",-1
"153",-1
"154",0.5
"155",0.333333333333333
"156",1
"157",-1
"158",-1
"159",-1
"160",-1
"161",0.166666666666667
"162",0
"163",-1
"164",-1
"165",-1
"166",0
"167",0
"168",-1
"169",0.266666666666667
"170",0.3
"171",-1
"172",-1
"173",0.366666666666667
"174",-1
"175",-1
"176",0
"177",-1
"178",1
"179",-1
"180",0
"181",0
"182",-1
"183",-1
"184",-1
"185",0
"186",0.333333333333333
"187",0
"188",-1
"189",-1
"190",1
"191",0
"192",-1
"193",0.326315789473684
"194",0.354838709677419
"195",0.361904761904762
"196",0.303448275862069
"197",0.351778656126482
"198",0
"199",1
"200",-1
"201",0
"202",0.444444444444444
"203",0.333333333333333
"204",-1
