from,to
1,1381
1,1400
1,1401
1,5401
1,11768
1,11874
1,17199
3,9
3,1238
3,1418
6,2016
8,10
8,101
8,845
8,1576
9,1578
10,30
10,63
10,97
10,1375
10,1448
10,5508
11,13
11,17
11,634
13,15
14,16
14,1144
14,1621
14,11786
15,17
15,1058
15,8216
16,336
16,519
16,1116
16,1406
16,2397
16,6923
16,11789
16,15507
16,16900
17,391
25,1636
27,30
27,33
27,52
27,430
27,1664
29,253
29,282
30,63
30,97
30,1774
33,52
33,522
33,1118
33,1805
34,410
35,11792
40,11798
42,1903
43,676
43,1409
43,2400
43,6143
43,6925
43,9568
43,15040
43,16902
44,1945
45,11799
48,50
51,52
51,136
51,361
51,1378
51,1980
52,1996
54,5433
58,59
61,922
62,1052
62,2095
63,97
63,2106
64,97
66,70
66,377
66,2133
68,1061
68,2168
69,2188
70,2215
71,1064
74,118
74,11820
76,77
77,78
87,11831
90,92
96,154
96,668
97,2373
101,633
109,1395
109,5959
112,115
115,5963
118,1398
118,5966
120,11821
122,123
124,11841
125,370
125,3226
136,361
136,1378
136,3113
139,150
139,4023
140,651
140,4042
143,4155
145,4182
145,15283
150,1212
151,154
151,155
154,155
154,216
154,668
156,4346
157,165
157,393
157,432
157,434
157,437
157,851
157,1140
157,1206
157,1576
157,2701
157,2973
157,4390
157,6149
157,7544
157,8217
157,9579
157,10220
157,12237
157,14143
157,15038
157,18230
157,18353
158,1148
162,1107
165,186
165,393
165,432
165,434
165,437
165,851
165,1206
165,1291
165,1450
165,2435
165,5504
165,6180
165,7544
165,7582
165,9186
165,9613
165,10304
165,11771
165,14194
165,15079
165,15516
165,16936
165,18766
167,193
167,1051
170,1364
174,175
175,7562
176,177
177,638
178,3962
178,15260
180,14056
182,14112
182,16233
185,5801
185,14116
186,11354
186,11853
188,1023
189,1024
193,194
197,11458
198,4223
198,9589
200,207
200,381
200,780
200,948
200,1203
200,1394
200,6158
200,12251
200,16923
203,1113
203,1268
203,6159
205,11856
207,382
207,1175
207,1244
207,6161
208,210
208,6163
211,212
216,4354
217,226
217,232
217,319
217,432
217,582
217,669
217,704
217,1098
217,1111
217,1140
217,1203
217,1428
217,2411
217,4395
217,6165
217,6926
217,7564
217,8230
