idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50
1,a,x,7,4,3,6,1
3,aback,xb@k,3,2,1,2,1
8,abase,xbes,4,3,1,2,2
9,abash,xb@S,2,1,1,1,1
10,abate,xbet,7,6,1,3,4
11,abatis,@bxti,3,2,1,1,2
14,abbe,@be,4,3,1,3,1
15,abbess,@bxs,4,3,1,2,2
16,abbey,@bi,10,5,5,9,1
17,abbot,@bxt,3,2,1,1,2
27,abed,xbEd,5,4,1,2,3
30,abet,xbEt,5,4,1,1,4
33,abide,xbYd,5,4,1,3,2
51,aboard,xbord,5,3,2,4,1
52,abode,xbod,4,2,2,1,3
63,about,xbWt,4,3,1,1,3
66,abrade,xbred,3,2,1,2,1
70,abroad,xbrcd,2,1,1,1,1
97,abut,xb^t,5,4,1,1,4
154,accuse,xkyuz,5,3,2,2,3
157,ace,es,22,12,10,14,8
165,ache,ek,24,12,12,15,9
175,acne,@kni,2,1,1,1,1
185,acquit,xkwIt,2,1,1,1,1
186,acre,ekX,3,1,2,2,1
193,acrobatic,@krxb@tIk,2,1,1,1,1
200,act,@kt,9,4,5,7,2
207,actor,@ktX,5,2,3,4,1
216,acute,xkyut,2,1,1,1,1
217,ad,@d,25,10,15,15,10
226,adder,@dX,9,6,3,6,3
229,addition,xdIS|n,5,2,3,4,1
232,addle,@dL,8,5,3,5,3
235,adduce,xdus,3,1,2,2,1
247,adjoin,xJOn,2,1,1,1,1
276,ado,xdu,4,1,3,2,2
283,adore,xdor,2,1,1,1,1
319,adze,@dz,6,4,2,3,3
324,aerial,@riL,4,2,2,2,2
326,aerie,Eri,19,10,9,16,3
327,aero,Ero,14,10,4,10,4
328,aerobe,Erob,3,1,2,2,1
336,aery,@ri,21,11,10,17,4
341,afar,xfar,4,3,1,2,2
345,affair,xfEr,4,3,1,2,2
369,afire,xfYr,4,3,1,2,2
377,afraid,xfred,2,1,1,1,1
381,aft,@ft,10,4,6,9,1
382,after,@ftX,5,2,3,4,1
393,age,eJ,16,10,6,8,8
411,agitate,@J|tet,2,1,1,1,1
418,ago,xgo,3,1,2,2,1
432,aid,ed,20,12,8,12,8
434,ail,el,32,16,16,24,8
437,aim,em,21,11,10,13,8
438,air,Er,30,13,17,19,11
443,aisle,Yl,23,11,12,19,4
444,ajar,xJar,3,2,1,2,1
467,alder,cldX,3,2,1,1,2
469,alee,xli,9,7,2,6,3
487,alight,xlYt,16,14,2,7,9
488,alike,xlYk,5,4,1,1,4
492,aline,xlYn,8,6,2,3,5
493,alit,xlIt,8,7,1,3,5
501,all,cl,25,12,13,19,6
502,Allah,@lx,8,5,3,1,7
503,allay,xle,12,8,4,9,3
519,alley,@li,22,13,9,16,6
522,allied,xlYd,12,10,2,6,6
528,allot,xlat,10,9,1,5,5
529,allow,xlW,5,4,1,2,3
532,allude,xlud,6,3,3,3,3
535,ally,@lY,9,8,1,4,5
542,aloe,@lo,20,11,9,14,6
545,alone,xlon,7,5,2,5,2
550,aloud,xlWd,5,3,2,2,3
562,altar,cltX,5,1,4,4,1
564,altercation,cltXkeS|n,2,1,1,1,1
