lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
a,1,a,x,7,4,3,6,1,0.380952381,1,0.466666667,-1
aback,3,aback,xb@k,3,2,1,2,1,0,0,0,-1
abalone,6,abalone,@bxloni,1,0,1,1,0,-1,-1,-1,-1
abase,8,abase,xbes,4,3,1,2,2,0,0,0,0
abash,9,abash,xb@S,2,1,1,1,1,0,-1,-1,-1
abate,10,abate,xbet,7,6,1,3,4,0.19047619,0.266666667,0.333333333,0.5
abatis,11,abatis,@bxti,3,2,1,1,2,0,0,-1,0
abbacy,13,abbacy,@bxsi,2,1,1,0,2,0,-1,-1,0
abbe,14,abbe,@be,4,3,1,3,1,0.166666667,0,0.333333333,-1
abbess,15,abbess,@bxs,4,3,1,2,2,0,0,0,0
abbey,16,abbey,@bi,10,5,5,9,1,0.222222222,0.3,0.277777778,-1
abbot,17,abbot,@bxt,3,2,1,1,2,0,0,-1,0
abeam,25,abeam,xbim,1,0,1,1,0,-1,-1,-1,-1
abed,27,abed,xbEd,5,4,1,2,3,0.1,0.166666667,0,0.333333333
aberration,29,aberration,@bXeS|n,2,2,0,2,0,1,1,1,-1
abet,30,abet,xbEt,5,4,1,1,4,0.3,0.5,-1,0.5
abide,33,abide,xbYd,5,4,1,3,2,0.2,0.333333333,0.333333333,1
ability,34,ability,xbIl|ti,1,1,0,1,0,-1,-1,-1,-1
abject,35,abject,@bJEkt,1,1,0,1,0,-1,-1,-1,-1
ablate,40,ablate,@blet,1,1,0,1,0,-1,-1,-1,-1
ablaze,42,ablaze,xblez,1,0,1,1,0,-1,-1,-1,-1
able,43,able,ebL,8,1,7,8,0,0.75,-1,0.75,-1
abloom,44,abloom,xblum,1,0,1,1,0,-1,-1,-1,-1
ablution,45,ablution,xbluS|n,1,1,0,1,0,-1,-1,-1,-1
abnormal,48,abnormal,@bnormL,1,0,1,0,1,-1,-1,-1,-1
abnormally,50,abnormally,@bnormLi,1,0,1,0,1,-1,-1,-1,-1
aboard,51,aboard,xbord,5,3,2,4,1,0.3,1,0.5,-1
abode,52,abode,xbod,4,2,2,1,3,0.166666667,1,-1,0.333333333
abolition,54,abolition,@bxlIS|n,1,1,0,1,0,-1,-1,-1,-1
aboriginal,58,aboriginal,@bXIJ|nL,1,1,0,0,1,-1,-1,-1,-1
aborigine,59,aborigine,@bXIJ|ni,1,1,0,0,1,-1,-1,-1,-1
abortion,61,abortion,xborS|n,1,1,0,1,0,-1,-1,-1,-1
abound,62,abound,xbWnd,2,1,1,2,0,0,-1,0,-1
about,63,about,xbWt,4,3,1,1,3,0.5,1,-1,1
above,64,above,xb^v,1,1,0,0,1,-1,-1,-1,-1
abrade,66,abrade,xbred,3,2,1,2,1,0,0,0,-1
abreast,68,abreast,xbrEst,2,0,2,2,0,1,-1,1,-1
abridge,69,abridge,xbrIJ,1,0,1,1,0,-1,-1,-1,-1
abroad,70,abroad,xbrcd,2,1,1,1,1,0,-1,-1,-1
abrogate,71,abrogate,@brxget,1,0,1,1,0,-1,-1,-1,-1
abscess,74,abscess,@bsEs,2,2,0,2,0,0,0,0,-1
absence,76,absence,@bs|ns,1,1,0,0,1,-1,-1,-1,-1
absent,77,absent,@bs|nt,2,1,1,0,2,0,-1,-1,0
absentee,78,absentee,@bs|nti,1,0,1,0,1,-1,-1,-1,-1
abstain,87,abstain,xbsten,1,0,1,1,0,-1,-1,-1,-1
abstract,90,abstract,@bstr@kt,1,0,1,0,1,-1,-1,-1,-1
abstracts,92,abstracts,@bstr@kts,1,0,1,0,1,-1,-1,-1,-1
abuse,96,abuse,xbyuz,2,2,0,2,0,1,1,1,-1
abut,97,abut,xb^t,5,4,1,1,4,0.3,0.5,-1,0.5
abyss,101,abyss,xbIs,2,2,0,1,1,0,0,-1,-1
accede,109,accede,@ksid,2,2,0,1,1,0,0,-1,-1
accent,112,accent,@ksEnt,1,1,0,0,1,-1,-1,-1,-1
accept,115,accept,@ksEpt,2,2,0,1,1,0,0,-1,-1
access,118,access,@ksEs,3,3,0,2,1,0,0,0,-1
accession,120,accession,aksES|n,1,1,0,1,0,-1,-1,-1,-1
accidence,122,accidence,@ks|d|ns,1,1,0,0,1,-1,-1,-1,-1
accident,123,accident,@ks|d|nt,1,1,0,0,1,-1,-1,-1,-1
accidental,124,accidental,@ksxdEntL,1,1,0,1,0,-1,-1,-1,-1
acclaim,125,acclaim,xklem,2,1,1,2,0,0,-1,0,-1
accord,136,accord,xkord,4,3,1,4,0,0.5,1,0.5,-1
accost,139,accost,xkcst,2,1,1,2,0,0,-1,0,-1
account,140,account,xkWnt,2,1,1,2,0,0,-1,0,-1
accredit,143,accredit,xkrEd|t,1,0,1,1,0,-1,-1,-1,-1
accrue,145,accrue,xkru,2,1,1,2,0,1,-1,1,-1
accursed,150,accursed,xkRst,2,2,0,2,0,0,0,0,-1
accusal,151,accusal,xkyuzL,2,1,1,0,2,1,-1,-1,1
accuse,154,accuse,xkyuz,5,3,2,2,3,0.2,0.333333333,1,0.333333333
accuser,155,accuser,xkyuzX,2,1,1,0,2,1,-1,-1,1
accustom,156,accustom,xk^stxm,1,0,1,1,0,-1,-1,-1,-1
ace,157,ace,es,22,12,10,14,8,0.341991342,0.515151515,0.56043956,1
acerb,158,acerb,xsRb,1,1,0,0,1,-1,-1,-1,-1
acetic,162,acetic,xsitIk,1,1,0,1,0,-1,-1,-1,-1
ache,165,ache,ek,24,12,12,15,9,0.322463768,0.515151515,0.580952381,0.777777778
achromatic,167,achromatic,@krxm@tIk,2,1,1,2,0,0,-1,0,-1
acidity,170,acidity,xsId|ti,1,1,0,1,0,-1,-1,-1,-1
acme,174,acme,@kmi,1,1,0,0,1,-1,-1,-1,-1
acne,175,acne,@kni,2,1,1,1,1,0,-1,-1,-1
acolyte,176,acolyte,@kxlYt,1,1,0,0,1,-1,-1,-1,-1
aconite,177,aconite,@kxnYt,2,2,0,1,1,0,0,-1,-1
acorn,178,acorn,ekorn,2,1,1,2,0,1,-1,1,-1
acquaint,180,acquaint,xkwent,1,0,1,1,0,-1,-1,-1,-1
acquire,182,acquire,xkwYr,2,1,1,2,0,1,-1,1,-1
acquit,185,acquit,xkwIt,2,1,1,1,1,0,-1,-1,-1
acre,186,acre,ekX,3,1,2,2,1,0,-1,0,-1
