lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
chuck,3149,chuck,C^k,20,17,3,14,6,chuck,1,3,381,6,55,9,1096,4081,1506,9576652,4,1
duck,5327,duck,d^k,25,22,3,13,12,duck,1,3,445,5,98,29,1263,3639,615,8287612,4,1
tap,16980,tap,t@p,26,23,3,17,9,tap,1,3,349,4,81,43,752,4562,531,8780413,4,1
phony,12907,phony,foni,8,6,2,5,3,phony,2,4,474,5,48,4,421,1214,521,768812,5,1
matter,10558,matter,m@tX,16,13,3,13,3,matter,2,4,391,7,63,31,18900,51357,13525,66637256,5,1
wove,19186,wove,wov,12,11,1,8,4,wove,1,3,430,5,24,15,12,341,10,198353,4,1
handy,7630,handy,h@ndi,6,5,1,4,2,handy,2,5,476,6,46,26,623,2229,166,7938926,6,2
cleave,3275,cleave,kliv,6,5,1,2,4,cleave,1,4,455,7,27,6,10,101,7,413105,5,1
voiced,18672,voiced,vOst,8,7,1,7,1,voiced,1,4,493,6,16,4,18,1526,168,1498292,4,2
source,16026,source,sors,8,7,1,5,3,source,1,4,493,7,37,2,1437,23969,2620,179974540,5,1
draw,5256,draw,drc,6,3,3,1,5,draw,1,3,368,5,30,13,2061,12733,2105,22706359,4,1
joss,9368,joss,Jas,8,7,1,2,6,joss,1,3,484,5,44,31,20,250,37,1170742,4,1
peril,12737,peril,pErL,7,5,2,2,5,peril,2,5,330,6,67,6,98,1101,172,1258951,6,1
cut,4351,cut,k^t,25,23,2,17,8,cut,1,3,315,4,105,27,11718,56677,11630,61343865,4,1
sob,15920,sob,sab,18,16,2,13,5,sob,1,3,549,4,65,32,77,513,54,800059,4,1
swine,16823,swine,swYn,10,8,2,6,4,swine,1,4,668,6,26,16,226,786,288,1579187,5,1
quart,14071,quart,kwort,9,3,6,4,5,quart,1,5,539,6,16,7,106,1328,23,2002490,6,1
patriarch,12547,patriarch,petriark,2,1,1,1,1,patriarch,3,8,649,10,4,4,16,732,68,780160,9,1
plump,13174,plump,pl^mp,6,3,3,4,2,plump,1,5,367,6,18,10,75,1073,32,3386553,6,1
trout,17775,trout,trWt,8,6,2,3,5,trout,1,4,366,6,28,15,205,3079,67,5371003,5,1
crunch,4255,crunch,kr^nC,2,1,1,1,1,crunch,1,5,353,7,6,4,179,1798,331,1794967,6,1
coo,3913,coo,ku,31,24,7,19,12,coo,1,2,237,4,193,51,35,347,36,1167246,3,1
shine,15574,shine,SYn,21,17,4,17,4,shine,1,3,503,6,85,26,1053,2573,296,5890894,4,1
forge,6690,forge,forJ,9,8,1,1,8,forge,1,4,494,6,44,26,166,1340,133,5226805,5,1
still,16370,still,stIl,17,14,3,5,12,still,1,4,549,6,49,18,40225,195162,47989,190450277,5,1
cloth,3319,cloth,klcT,3,2,1,1,2,cloth,1,4,459,6,19,8,311,5095,171,9764604,5,1
coma,3484,coma,komx,6,5,1,1,5,coma,2,4,323,5,54,36,626,1026,235,1616513,5,2
world,19168,world,wRld,5,4,1,4,1,world,1,4,460,6,35,5,23216,193305,43143,431966449,5,1
shrine,15626,shrine,SrYn,5,4,1,3,2,shrine,1,4,619,7,24,7,151,1565,175,2302579,5,1
purge,13978,purge,pRJ,14,10,4,7,7,purge,1,3,437,6,43,9,82,504,66,1367409,4,1
spell,16096,spell,spEl,9,8,1,3,6,spell,1,4,468,6,31,12,1869,3139,476,8508070,5,1
tin,17376,tin,tIn,30,25,5,21,9,tin,1,3,345,4,109,42,441,2544,198,10703096,4,1
froze,6841,froze,froz,7,4,3,2,5,froze,1,4,458,6,62,3,216,1447,104,599030,5,1
dot,5203,dot,dat,26,24,2,19,7,dot,1,3,295,4,90,40,338,2996,443,26595890,4,1
tennis,17121,tennis,tEn|s,4,3,1,1,3,tennis,2,5,472,7,13,5,695,6047,896,26272328,6,1
present,13579,present,prEzNt,3,2,1,2,1,present,2,7,434,8,5,7,4562,38673,3757,99421445,8,2
mountain,11203,mountain,mWntN,2,1,1,1,1,mountain,2,6,507,9,7,2,1805,19965,1722,54172908,7,1
plot,13160,plot,plat,12,10,2,6,6,plot,1,4,389,5,37,17,591,5877,1293,18685607,5,1
slicker,15808,slicker,slIkX,7,5,2,3,4,slicker,2,5,526,8,25,13,42,206,22,212619,6,2
fair,6177,fair,fEr,28,22,6,20,8,fair,1,3,444,5,134,19,4832,21205,7057,49512893,4,1
rosy,14927,rosy,rozi,7,4,3,5,2,rosy,2,4,497,4,55,19,169,912,128,836269,5,1
fire,6446,fire,fYr,22,18,4,15,7,fire,2,3,482,5,100,34,10990,39024,9686,83858423,4,1
fennel,6331,fennel,fEnL,8,7,1,3,5,fennel,2,5,470,7,26,8,39,1060,39,534724,6,1
told,17445,told,told,11,8,3,9,2,told,1,4,446,5,43,19,35679,100473,25767,57250931,5,1
cap,2571,cap,k@p,30,28,2,19,11,cap,1,3,409,4,117,47,956,8620,1254,25442468,4,1
tenant,17108,tenant,tEn|nt,3,1,2,1,2,tenant,2,6,412,7,5,2,155,1422,88,6841635,7,1
lens,9818,lens,lEnz,4,3,1,2,2,lens,1,4,433,5,88,42,238,3813,296,22745130,5,1
pull,13929,pull,pUl,16,15,1,12,4,pull,1,3,288,5,55,22,7469,17128,3784,19062074,4,1
scythe,15316,scythe,sYD,11,10,1,5,6,scythe,1,3,435,6,40,1,16,159,0,241758,3,1
muggy,11236,muggy,m^gi,4,3,1,1,3,muggy,2,4,388,5,33,3,5,171,14,83634,5,2
to,17420,to,tu,31,22,9,18,13,to,1,2,419,3,164,59,1156570,6513027,1581706,12136980858,3,1
bane,1498,bane,ben,32,28,4,23,9,bane,1,3,449,5,174,47,94,336,12,737796,4,1
flunk,6587,flunk,fl^Gk,6,3,3,4,2,flunk,1,5,335,6,14,10,92,81,22,81741,6,1
just,9426,just,J^st,12,10,2,11,1,just,1,4,419,5,31,22,242206,453049,189841,462869224,5,1
mow,11218,mow,mW,20,17,3,10,10,mow,1,2,366,4,151,40,117,384,58,518340,3,1
stank,16282,stank,st@Gk,7,4,3,6,1,stank,1,5,565,6,15,19,39,179,5,105369,6,1
bit,1866,bit,bIt,35,30,5,25,10,bit,1,3,467,4,108,40,11987,47714,21135,82122088,4,1
honey,7990,honey,h^ni,9,8,1,5,4,honey,2,4,305,6,57,29,15325,7288,1030,9983411,5,1
rap,14227,rap,r@p,31,26,5,18,13,rap,1,3,326,4,104,52,665,3338,843,10739454,4,1
twin,17891,twin,twIn,9,6,3,2,7,twin,1,4,390,5,32,12,532,5111,664,20152862,5,1
rely,14538,rely,rIlY,3,1,2,1,2,rely,2,4,433,5,20,14,366,6201,878,9132959,5,1
gust,7522,gust,g^st,11,8,3,8,3,gust,1,4,447,5,38,28,24,445,42,1012909,5,1
pious,13034,pious,pYxs,2,1,1,1,1,pious,2,4,524,6,19,3,48,610,30,713689,5,1
learned,9752,learned,lRnd,4,3,1,3,1,learned,1,4,455,7,27,5,2964,29847,6176,23121323,4,2
loan,10049,loan,lon,34,28,6,23,11,loan,1,3,412,5,143,26,1013,8144,2015,87786035,4,1
park,12435,park,park,18,12,6,9,9,park,1,4,369,5,52,29,3678,42050,3560,141555213,5,1
pat,12525,pat,p@t,39,30,9,24,15,pat,1,3,446,4,91,56,933,10057,4337,15093689,4,1
sort,16015,sort,sort,14,8,6,10,4,sort,1,4,462,5,56,23,7584,44758,25292,86986269,5,1
abide,33,abide,xbYd,5,4,1,3,2,abide,2,4,421,6,11,8,138,959,283,3722809,5,1
jog,9355,jog,Jag,11,10,1,5,6,jog,1,3,400,4,39,25,123,655,79,1002505,4,1
moon,11116,moon,mun,21,19,2,16,5,moon,1,3,343,5,83,36,2548,13778,1130,28383832,4,1
evil,5936,evil,ivL,6,4,2,4,2,evil,2,4,404,5,14,8,3731,8983,1808,25718442,5,1
copy,3943,copy,kapi,8,7,1,3,5,copy,2,4,377,5,44,15,2666,7396,969,79624352,5,1
limb,9929,limb,lIm,20,17,3,11,9,limb,1,3,333,5,87,14,238,2211,237,2360178,4,1
wiggle,19032,wiggle,wIgL,5,4,1,4,1,wiggle,2,5,332,7,32,10,152,539,116,646578,6,1
