Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
brink,MALD1_sR,MALD1,15292,710,words38,1,15292_38,753,38,2202,brink,brIGk,8,5,3,5,3,1,5,385,6,23,16,127,1557,437,1485388,6,1
candle,MALD1_sR,MALD1,15292,312,words38,1,15292_38,654,38,2530,candle,k@ndL,11,9,2,6,5,2,6,414,7,44,13,409,1978,202,10193814,7,1
chaser,MALD1_sR,MALD1,15292,642,words38,2,15292_38,960,38,2974,chaser,CesX,5,4,1,1,4,2,4,454,7,17,9,66,209,48,1668181,5,2
cope,MALD1_sR,MALD1,15292,392,words38,2,15292_38,832,38,3930,cope,kop,25,23,2,16,9,1,3,309,5,86,34,166,3545,507,5172385,4,1
crank,MALD1_sR,MALD1,15292,726,words38,2,15292_38,639,38,4122,crank,kr@Gk,8,5,3,6,2,1,5,389,6,27,13,272,1104,114,2185694,6,1
craze,MALD1_sR,MALD1,15292,154,words38,1,15292_38,725,38,4140,craze,krez,11,9,2,5,6,1,4,539,6,81,11,52,590,85,967820,5,1
dime,MALD1_sR,MALD1,15292,501,words38,1,15292_38,749,38,4914,dime,dYm,20,19,1,12,8,1,3,387,5,74,24,615,1594,422,1910001,4,1
dub,MALD1_sR,MALD1,15292,554,words38,1,15292_38,876,38,5320,dub,d^b,22,20,2,12,10,1,3,280,4,64,34,55,234,18,4026648,4,1
duke,MALD1_sR,MALD1,15292,119,words38,7,15292_38,1277,38,5339,duke,duk,16,14,2,6,10,1,3,312,5,88,25,1277,6455,1478,12251478,4,1
faint,MALD1_sR,MALD1,15292,728,words38,4,15292_38,650,38,6176,faint,fent,7,5,2,5,2,1,4,412,6,26,9,473,3679,131,2567484,5,1
fleet,MALD1_sR,MALD1,15292,232,words38,1,15292_38,755,38,6527,fleet,flit,16,13,3,7,9,1,4,503,6,36,11,540,3583,395,10364760,5,1
flicker,MALD1_sR,MALD1,15292,488,words38,2,15292_38,933,38,6537,flicker,flIkX,5,3,2,2,3,2,5,472,8,18,8,35,805,34,814398,6,2
good,MALD1_sR,MALD1,15292,636,words38,3,15292_38,757,38,7288,good,gUd,12,10,2,10,2,1,3,284,5,28,23,133117,236132,85425,365822878,4,1
halt,MALD1_sR,MALD1,15292,762,words38,3,15292_38,727,38,7602,halt,hclt,8,6,2,5,3,1,4,366,5,38,26,575,2938,431,2950802,5,1
kitten,MALD1_sR,MALD1,15292,786,words38,2,15292_38,753,38,9519,kitten,kItN,7,6,1,5,2,2,5,359,7,52,6,241,574,60,3052310,6,1
lancer,MALD1_sR,MALD1,15292,33,words38,1,15292_38,927,38,9630,lancer,l@nsX,3,1,2,2,1,2,5,668,7,19,14,22,89,14,1096622,6,2
log,MALD1_sR,MALD1,15292,193,words38,2,15292_38,732,38,10083,log,lcg,13,12,1,8,5,1,3,401,4,46,42,610,4672,509,111172980,4,1
mat,MALD1_sR,MALD1,15292,507,words38,2,15292_38,782,38,10532,mat,m@t,30,27,3,21,9,1,3,364,4,94,61,178,1998,137,9947887,4,1
