Item,node,ortho,phono,original,replace,delete_insert,replace_p,delins_p,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,log_freq,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
a,1,a,x,7,4,3,0.571428571,0.428571429,6,1,0.380952381,1,0.466666667,-1,1,1,359,2,79,72,1041179,6.017525817,5822980,1259642,9081174698,2,1
aback,3,aback,xb@k,3,2,1,0.666666667,0.333333333,2,1,0,0,0,-1,2,4,501,5,8,3,15,1.204119983,541,71,277737,4,1
abash,9,abash,xb@S,2,1,1,0.5,0.5,1,1,0,-1,-1,-1,2,4,579,6,4,4,0,0,2,2,12974,5,1
abbey,16,abbey,@bi,10,5,5,0.5,0.5,9,1,0.222222222,0.3,0.277777778,-1,2,3,479,6,57,4,162,2.212187604,1069,281,4224864,4,1
abbot,17,abbot,@bxt,3,2,1,0.666666667,0.333333333,1,2,0,0,-1,0,2,4,532,6,13,1,43,1.643452676,320,21,992552,5,1
abed,27,abed,xbEd,5,4,1,0.8,0.2,2,3,0.1,0.166666667,0,0.333333333,2,4,433,5,14,19,10,1.041392685,88,10,150367,5,1
aberration,29,aberration,@bXeS|n,2,2,0,1,0,2,0,1,1,1,-1,4,7,856,11,2,1,28,1.462397998,450,95,447538,8,2
abide,33,abide,xbYd,5,4,1,0.8,0.2,3,2,0.2,0.333333333,0.333333333,1,2,4,421,6,11,8,138,2.1430148,959,283,3722809,5,1
ability,34,ability,xbIl|ti,1,1,0,1,0,1,0,-1,-1,-1,-1,4,7,537,7,3,1,980,2.991669007,30299,3860,52004640,8,1
ablaze,42,ablaze,xblez,1,0,1,0,1,1,0,-1,-1,-1,-1,2,5,658,4,7,1,21,1.342422681,313,39,321927,4,1
able,43,able,ebL,8,1,7,0.125,0.875,8,0,0.75,-1,0.75,-1,2,4,425,5,28,26,8155,3.911477217,67548,22021,109389656,5,1
abnormal,48,abnormal,@bnormL,1,0,1,0,1,0,1,-1,-1,-1,-1,3,8,768,9,1,0,148,2.173186268,1330,152,3966114,9,1
abnormally,50,abnormally,@bnormLi,1,0,1,0,1,0,1,-1,-1,-1,-1,4,9,575,9,1,0,20,1.322219295,216,23,505747,9,2
aboard,51,aboard,xbord,5,3,2,0.6,0.4,4,1,0.3,1,0.5,-1,2,5,504,4,14,1,1358,3.133219457,4190,663,4084762,5,1
abode,52,abode,xbod,4,2,2,0.5,0.5,1,3,0.166666667,1,-1,0.333333333,2,4,509,4,10,4,33,1.531478917,213,12,1250165,3,1
abolition,54,abolition,@bxlIS|n,1,1,0,1,0,1,0,-1,-1,-1,-1,4,8,532,10,0,0,10,1.041392685,523,49,1132361,9,1
