"","x"
"1",0.466666666666667
"2",0
"3",-1
"4",0
"5",-1
"6",0.333333333333333
"7",-1
"8",-1
"9",0.333333333333333
"10",0
"11",0.277777777777778
"12",-1
"13",-1
"14",0
"15",1
"16",-1
"17",0.333333333333333
"18",-1
"19",-1
"20",-1
"21",-1
"22",0.75
"23",-1
"24",-1
"25",-1
"26",-1
"27",0.5
"28",-1
"29",-1
"30",-1
"31",-1
"32",-1
"33",0
"34",-1
"35",-1
"36",0
"37",1
"38",-1
"39",-1
"40",-1
"41",0
"42",-1
"43",-1
"44",-1
"45",-1
"46",-1
"47",-1
"48",1
"49",-1
"50",-1
"51",-1
"52",-1
"53",-1
"54",0
"55",-1
"56",-1
"57",-1
"58",-1
"59",0
"60",0.5
"61",0
"62",0
"63",-1
"64",1
"65",0
"66",-1
"67",1
"68",-1
"69",-1
"70",0.56043956043956
"71",-1
"72",-1
"73",0.580952380952381
"74",0
"75",-1
"76",-1
"77",-1
"78",-1
"79",-1
"80",1
"81",-1
"82",1
"83",-1
"84",0
"85",-1
"86",-1
"87",-1
"88",-1
"89",-1
"90",0
"91",0.428571428571429
"92",0
"93",-1
"94",0.5
"95",-1
"96",-1
"97",-1
"98",-1
"99",-1
"100",0.580952380952381
"101",-1
"102",1
"103",0.2
"104",0
"105",0.166666666666667
"106",-1
"107",0.2
"108",-1
"109",-1
"110",1
"111",1
"112",-1
"113",-1
"114",-1
"115",-1
"116",1
"117",1
"118",-1
"119",-1
"120",-1
"121",0
"122",1
"123",0.333333333333333
"124",-1
"125",-1
"126",-1
"127",-1
"128",-1
"129",-1
"130",-1
"131",-1
"132",-1
"133",-1
"134",0.333333333333333
"135",-1
"136",1
"137",0
"138",1
"139",0.316666666666667
"140",0.644444444444444
"141",1
"142",-1
"143",0.352941176470588
"144",-1
"145",0
"146",-1
"147",0
"148",0
"149",-1
"150",-1
"151",-1
"152",-1
"153",-1
"154",0.5
"155",1
"156",1
"157",-1
"158",-1
"159",-1
"160",-1
"161",0
"162",0
"163",-1
"164",-1
"165",-1
"166",0
"167",-1
"168",-1
"169",0.333333333333333
"170",0.5
"171",-1
"172",-1
