"","name","ortho","phono"
"1442","1442","baht","bat"
"1448","1448","bait","bet"
"1598","1598","bat","b@t"
"1643","1643","beat","bit"
"1774","1774","bet","bEt"
"1813","1813","bight","bYt"
"1866","1866","bit","bIt"
"1982","1982","boat","bot"
"2059","2059","boot","but"
"2091","2091","bought","bct"
"2106","2106","bout","bWt"
"2373","2373","but","b^t"
"2732","2732","cat","k@t"
"2779","2779","caught","kct"
"2982","2982","chat","C@t"
"2996","2996","cheat","Cit"
"3023","3023","chert","CRt"
"3083","3083","chit","CIt"
"3160","3160","chute","Sut"
"3210","3210","cite","sYt"
"3352","3352","coat","kot"
"3926","3926","coot","kut"
"4027","4027","cot","kat"
"4333","4333","curt","kRt"
"4351","4351","cut","k^t"
"4453","4453","date","det"
"4500","4500","debt","dEt"
"4955","4955","dirt","dRt"
"5203","5203","dot","dat"
"5205","5205","dote","dot"
"5212","5212","doubt","dWt"
"6252","6252","fat","f@t"
"6257","6257","fate","fet"
"6282","6282","feat","fit"
"6394","6394","fight","fYt"
"6465","6465","fit","fIt"
"6639","6639","foot","fUt"
"6736","6736","fought","fct"
"6943","6943","gait","get"
"7134","7134","get","gEt"
"7141","7141","ghat","gct"
"7175","7175","girt","gRt"
"7249","7249","gnat","n@t"
"7260","7260","goat","got"
"7310","7310","got","gat"
"7321","7321","gout","gWt"
"7525","7525","gut","g^t"
"7687","7687","hat","h@t"
"7691","7691","hate","het"
"7737","7737","heat","hit"
"7765","7765","height","hYt"
"7932","7932","hit","hIt"
"8010","8010","hoot","hut"
"8056","8056","hot","hat"
"8142","8142","hurt","hRt"
"8152","8152","hut","h^t"
"9321","9321","jet","JEt"
"9370","9370","jot","Jat"
"9430","9430","jut","J^t"
"9431","9431","jute","Jut"
"9513","9513","kit","kIt"
"9517","9517","kite","kYt"
"9536","9536","knight","nYt"
"9537","9537","knit","nIt"
"9545","9545","knot","nat"
"9688","9688","late","let"
"9836","9836","let","lEt"
"9897","9897","lied","lit"
"9910","9910","light","lYt"
"9998","9998","lit","lIt"
"10115","10115","loot","lut"
"10128","10128","lot","lat"
"10137","10137","lout","lWt"
"10532","10532","mat","m@t"
"10536","10536","mate","met"
"10610","10610","meat","mit"
"10741","10741","met","mEt"
"10810","10810","might","mYt"
"10977","10977","mitt","mIt"
"10984","10984","moat","mot"
"11121","11121","moot","mut"
"11321","11321","mutt","m^t"
"11418","11418","naught","nct"
"11440","11440","neat","nit"
"11508","11508","net","nEt"
"11542","11542","newt","nut"
"11686","11686","note","not"
"11756","11756","nut","n^t"
"12525","12525","pat","p@t"
"12527","12527","pate","pet"
"12594","12594","peat","pit"
"12805","12805","pert","pRt"
"12830","12830","pet","pEt"
"13054","13054","pit","pIt"
"13396","13396","pot","pat"
"13426","13426","pout","pWt"
"14009","14009","put","pUt"
"14017","14017","putt","p^t"
"14252","14252","rat","r@t"
"14254","14254","rate","ret"
"14825","14825","right","rYt"
"14915","14915","root","rut"
"14928","14928","rot","rat"
"14934","14934","rote","rot"
"14955","14955","rout","rWt"
"15033","15033","rut","r^t"
"15151","15151","sat","s@t"
"15156","15156","sate","set"
"15329","15329","seat","sit"
"15482","15482","set","sEt"
"15554","15554","sheet","Sit"
"15586","15586","shirt","SRt"
"15589","15589","shoat","Sot"
"15606","15606","shot","Sat"
"15609","15609","shout","SWt"
"15642","15642","shut","S^t"
"15735","15735","sit","sIt"
"15997","15997","soot","sUt"
"16017","16017","sot","sat"
"16021","16021","sought","sct"
"16652","16652","suit","sut"
"17008","17008","tat","t@t"
"17014","17014","taught","tct"
"17040","17040","teat","tIt"
"17196","17196","that","D@t"
"17287","17287","thought","Tct"
"17353","17353","tight","tYt"
"17479","17479","toot","tut"
"17522","17522","tot","tat"
"17527","17527","tote","tot"
"17541","17541","tout","tWt"
"18358","18358","vat","v@t"
"18492","18492","vet","vEt"
"18706","18706","vote","vot"
"18762","18762","wait","wet"
"18846","18846","watt","wat"
"18908","18908","wet","wEt"
"19033","19033","wight","wYt"
"19096","19096","wit","wIt"
"19181","19181","wort","wRt"
"19206","19206","writ","rIt"
"19215","19215","wrought","rct"
"19231","19231","yacht","yat"
"19265","19265","yet","yEt"
