"","name","ortho","phono"
"16237","16237","stab","st@b"
"16245","16245","stack","st@k"
"16247","16247","staff","st@f"
"16248","16248","stag","st@g"
"16249","16249","stage","steJ"
"16256","16256","staid","sted"
"16257","16257","stain","sten"
"16258","16258","stair","stEr"
"16259","16259","stake","stek"
"16261","16261","stale","stel"
"16262","16262","stalk","stck"
"16264","16264","stall","stcl"
"16286","16286","star","star"
"16297","16297","state","stet"
"16314","16314","stave","stev"
"16317","16317","stead","stEd"
"16319","16319","steal","stil"
"16321","16321","steam","stim"
"16322","16322","steed","stid"
"16324","16324","steep","stip"
"16326","16326","steer","stIr"
"16329","16329","stein","stYn"
"16331","16331","stem","stEm"
"16337","16337","step","stEp"
"16352","16352","stern","stRn"
"16359","16359","stick","stIk"
"16362","16362","stiff","stIf"
"16368","16368","stile","stYl"
"16370","16370","still","stIl"
"16379","16379","sting","stIG"
"16389","16389","stitch","stIC"
"16390","16390","stoat","stot"
"16391","16391","stock","stak"
"16404","16404","stoke","stok"
"16405","16405","stole","stol"
"16412","16412","stone","ston"
"16413","16413","stood","stUd"
"16414","16414","stooge","stuJ"
"16415","16415","stool","stul"
"16416","16416","stoop","stup"
"16417","16417","stop","stap"
"16420","16420","store","stor"
"16427","16427","stout","stWt"
"16428","16428","stove","stov"
"16512","16512","stub","st^b"
"16517","16517","stuck","st^k"
"16518","16518","stud","st^d"
"16524","16524","stuff","st^f"
"16530","16530","stun","st^n"
"16531","16531","stung","st^G"
