Item,IsWord,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
a,TRUE,1,1,359,2,79,72,1041179,5822980,1259642,9081174698,2,1
aabrihz,FALSE,2,5,680,NA,0,NA,0,0,0,0,5,NA
aadsaxsaxl,FALSE,3,7,568,NA,0,NA,0,0,0,0,3,NA
aadshaxsneyt,FALSE,3,8,800,NA,0,NA,0,0,0,0,3,NA
aadsihks,FALSE,2,6,632,NA,0,NA,0,0,0,0,3,NA
aagaxrawnt,FALSE,3,7,672,NA,0,NA,0,0,0,0,4,NA
aagaxraxniylz,FALSE,4,9,753,NA,0,NA,0,0,0,0,4,NA
aagaxrays,FALSE,3,6,672,NA,0,NA,0,0,0,0,4,NA
aakkaxsihz,FALSE,3,7,704,NA,0,NA,0,0,0,0,3,NA
aaklaxfiyn,FALSE,3,7,672,NA,0,NA,0,0,0,0,5,NA
aaklaxrv,FALSE,2,6,603,NA,0,NA,0,0,0,0,5,NA
aaliyf,FALSE,2,4,502,NA,15,NA,0,0,0,0,4,NA
aaliyst,FALSE,2,5,608,NA,3,NA,0,0,0,0,4,NA
aamaxflowshaxl,FALSE,4,9,736,NA,0,NA,0,0,0,0,4,NA
aamaxrn,FALSE,2,5,416,NA,4,NA,0,0,0,0,4,NA
aampaxlshaxz,FALSE,3,8,682,NA,0,NA,0,0,0,0,4,NA
aampaxtihd,FALSE,3,7,432,NA,0,NA,0,0,0,0,4,NA
aampaxtihss,FALSE,3,8,568,NA,0,NA,0,0,0,0,4,NA
aanaxrehsaxm,FALSE,4,8,696,NA,0,NA,0,0,0,0,4,NA
aanaxrst,FALSE,2,6,564,NA,1,NA,0,0,0,0,4,NA
aanch,FALSE,1,3,392,NA,14,NA,0,0,0,0,4,NA
aancheydz,FALSE,2,6,776,NA,0,NA,0,0,0,0,4,NA
aandaa,FALSE,2,4,504,NA,1,NA,0,0,0,0,5,NA
aandaxraxz,FALSE,3,7,664,NA,0,NA,0,0,0,0,4,NA
aandaxrn,FALSE,2,6,552,NA,0,NA,0,0,0,0,4,NA
aandaxrnz,FALSE,2,7,693,NA,0,NA,0,0,0,0,4,NA
aang,FALSE,1,2,376,NA,41,NA,0,0,0,0,3,NA
aanhhaard,FALSE,2,6,496,NA,0,NA,0,0,0,0,3,NA
aanjhehr,FALSE,2,5,464,NA,0,NA,0,0,0,0,4,NA
aankaan,FALSE,2,5,468,NA,0,NA,0,0,0,0,4,NA
aanskehrv,FALSE,2,7,544,NA,0,NA,0,0,0,0,5,NA
aantaxvow,FALSE,3,6,537,NA,0,NA,0,0,0,0,5,NA
aantiyaxnt,FALSE,3,7,632,NA,0,NA,0,0,0,0,5,NA
aanyhiyz,FALSE,2,6,576,NA,0,NA,0,0,0,0,3,NA
aapaxraynihv,FALSE,4,8,608,NA,0,NA,0,0,0,0,4,NA
aapmihkshaxs,FALSE,3,8,736,NA,0,NA,0,0,0,0,3,NA
aaraxptniy,FALSE,3,7,576,NA,0,NA,0,0,0,0,4,NA
aargaxflaakiy,FALSE,4,9,680,NA,0,NA,0,0,0,0,5,NA
