Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
a,a,1,1,359,2,79,72,1041179,5822980,1259642,9081174698,2,1
aback,aback,2,4,501,5,8,3,15,541,71,277737,4,1
abandon,abandon,3,7,649,8,2,1,413,3130,414,2748847,8,1
abandoned,abandoned,3,8,782,8,2,0,678,7511,1028,6371992,8,2
abandoning,abandoning,4,9,603,8,0,0,86,1081,156,785043,8,2
abandonment,abandonment,4,11,708,12,1,1,49,947,73,1297503,12,2
abash,abash,2,4,579,6,4,4,0,2,2,12974,5,1
abated,abated,3,6,400,6,6,3,4,226,20,254497,6,2
abbey,abbey,2,3,479,6,57,4,162,1069,281,4224864,4,1
abbot,abbot,2,4,532,6,13,1,43,320,21,992552,5,1
abbreviations,abbreviations,5,11,938,13,1,1,10,132,6,3703739,11,3
abdicate,abdicate,3,7,687,9,2,2,9,73,11,124825,8,1
abdomen,abdomen,3,7,483,6,1,0,171,1026,94,1490684,5,1
abdominal,abdominal,4,9,718,6,1,0,174,940,78,3090148,4,1
abduct,abduct,2,6,728,7,5,2,36,58,12,129037,7,1
abducted,abducted,3,8,639,8,2,1,255,850,402,837949,8,2
abduction,abduction,3,8,589,10,2,2,185,754,263,1188510,9,2
abed,abed,2,4,433,5,14,19,10,88,10,150367,5,1
aberration,aberration,4,7,856,11,2,1,28,450,95,447538,8,2
aberrations,aberrations,4,8,769,11,1,1,8,121,12,463436,8,3
abetted,abetted,3,6,520,6,2,1,8,168,20,149650,6,2
abeyance,abeyance,3,6,808,5,0,0,2,66,15,137101,4,1
abhorrent,abhorrent,3,8,633,9,0,0,9,153,44,174570,6,2
abide,abide,2,4,421,6,11,8,138,959,283,3722809,5,1
abilities,abilities,4,8,690,7,1,0,312,4704,274,7578665,8,2
ability,ability,4,7,537,7,3,1,980,30299,3860,52004640,8,1
ablaze,ablaze,2,5,658,4,7,1,21,313,39,321927,4,1
able,able,2,4,425,5,28,26,8155,67548,22021,109389656,5,1
abnormal,abnormal,3,8,768,9,1,0,148,1330,152,3966114,9,1
abnormalities,abnormalities,5,12,754,11,1,0,25,593,54,2046863,12,3
abnormality,abnormality,5,11,721,11,1,0,26,250,34,544301,12,2
abnormally,abnormally,4,9,575,9,1,0,20,216,23,505747,9,2
aboard,aboard,2,5,504,4,14,1,1358,4190,663,4084762,5,1
abode,abode,2,4,509,4,10,4,33,213,12,1250165,3,1
abolish,abolish,3,6,650,8,1,0,24,585,165,912065,7,1
abolished,abolished,3,7,729,9,1,1,20,638,92,1331439,7,2
abolition,abolition,4,8,532,10,0,0,10,523,49,1132361,9,1
abolitionist,abolitionist,5,11,978,13,2,3,11,197,28,229781,12,2
abolitionists,abolitionists,5,10,846,13,1,1,13,151,13,133685,11,3
abominable,abominable,5,10,645,8,0,0,32,158,17,324067,7,1
aboriginal,aboriginal,5,9,618,9,0,0,9,1486,73,7046324,8,2
abort,abort,2,5,415,6,7,7,235,331,68,1570140,6,1
abortion,abortion,3,7,595,9,2,1,369,10896,4422,9397315,8,2
abortionist,abortionist,4,10,868,12,2,2,4,67,18,68923,11,3
abortions,abortions,3,8,758,9,1,1,35,1743,562,1340486,8,3
abound,abound,2,5,549,7,5,5,18,1068,31,1494791,6,1
abounded,abounded,3,7,668,7,3,2,3,161,4,115655,7,2
abounding,abounding,3,7,630,7,2,1,4,36,5,137857,7,2
about,about,2,4,464,6,9,6,185206,693701,249031,1226763335,5,1
above,above,2,4,565,6,6,3,2493,44493,3454,141896477,5,1
aboveground,aboveground,3,9,910,6,0,0,7,238,2,245904,5,1
abracadabra,abracadabra,5,11,761,5,0,0,53,38,5,177335,5,NA
abrasion,abrasion,3,7,594,9,1,1,18,206,15,827778,8,1
abreast,abreast,2,6,828,5,6,1,26,344,26,758922,4,1
abridgment,abridgment,3,9,531,7,0,1,0,22,0,60210,6,1
abroad,abroad,2,5,649,5,4,1,250,5754,929,14838366,4,1
abrogated,abrogated,4,9,662,9,1,1,2,71,3,167198,9,2
abrupt,abrupt,2,6,509,7,0,0,58,1118,77,925586,7,1
abruptly,abruptly,3,8,557,7,0,0,45,2661,155,1054733,7,2
abs,abs,1,3,441,4,43,33,54,1211,93,7930065,4,NA
abscesses,abscesses,3,7,600,8,3,0,7,82,3,170615,6,2
absence,absence,2,6,768,8,1,1,322,8527,524,14681896,7,1
absences,absences,3,8,684,8,0,1,14,361,29,1076894,7,2
absent,absent,2,6,475,7,2,1,131,3206,313,8831540,7,1
absented,absented,3,8,601,8,0,2,0,18,2,22990,7,2
absentee,absentee,3,7,753,9,3,2,18,683,353,1238718,8,2
