from_node,from_ortho,from_phono,to_node,to_ortho,to_phono,type,position
1,a,x,217,ad,@d,insert,1
1,a,x,582,am,@m,insert,1
1,a,x,669,an,@n,insert,1
1,a,x,1098,as,@z,insert,1
1,a,x,1203,at,@t,insert,1
1,a,x,1400,ay,Y,insert,1
1,a,x,1406,b,bi,replace,0
1,a,x,2391,c,si,replace,0
1,a,x,4387,d,di,replace,0
1,a,x,5401,e,i,replace,0
1,a,x,6141,f,Ef,replace,0
1,a,x,6919,g,Ji,replace,0
1,a,x,7544,h,eC,replace,0
1,a,x,9266,j,Je,replace,0
1,a,x,9435,k,ke,replace,0
1,a,x,10213,m,Em,replace,0
1,a,x,10214,ma,ma,insert,0
1,a,x,11350,n,En,replace,0
1,a,x,11768,o,o,replace,0
1,a,x,12234,p,pi,replace,0
1,a,x,12235,pa,pa,insert,0
1,a,x,15038,s,Es,replace,0
1,a,x,16898,t,ti,replace,0
1,a,x,18259,v,vi,replace,0
1,a,x,19216,x,Eks,replace,0
1,a,x,19230,y,wY,replace,0
1,a,x,19292,z,zi,replace,0
3,aback,xb@k,1418,back,b@k,delete,0
8,abase,xbes,9,abash,xb@S,replace,4
8,abase,xbes,10,abate,xbet,replace,3
8,abase,xbes,96,abuse,xbyuz,replace,2
8,abase,xbes,1576,base,bes,delete,0
9,abash,xb@S,1380,awash,xwcS,replace,1
9,abash,xb@S,1578,bash,b@S,delete,0
10,abate,xbet,40,ablate,@blet,insert,2
10,abate,xbet,391,agate,@gxt,replace,1
14,abbe,@be,16,abbey,@bi,insert,4
14,abbe,@be,43,able,ebL,replace,2
25,abeam,xbim,1636,beam,bim,delete,0
27,abed,xbEd,30,abet,xbEt,replace,3
27,abed,xbEd,1664,bed,bEd,delete,0
30,abet,xbEt,97,abut,xb^t,replace,2
30,abet,xbEt,1774,bet,bEt,delete,0
33,abide,xbYd,52,abode,xbod,replace,2
33,abide,xbYd,1118,aside,xsYd,replace,1
33,abide,xbYd,1805,bide,bYd,delete,0
34,ability,xbIl|ti,410,agility,xJIl|ti,replace,1
35,abject,@bJEkt,11792,object,abJEkt,replace,0
38,abjuration,@bJxreS|n,253,adjuration,@JXeS|n,replace,1
39,abjure,@bJUr,254,adjure,xJUr,replace,1
40,ablate,@blet,42,ablaze,xblez,replace,4
40,ablate,@blet,11798,oblate,ablet,replace,0
42,ablaze,xblez,1903,blaze,blez,delete,0
43,able,ebL,609,amble,@mbL,insert,1
43,able,ebL,1399,axle,@ksL,replace,1
43,able,ebL,2400,cable,kebL,insert,0
43,able,ebL,6143,fable,febL,insert,0
43,able,ebL,6925,gable,gebL,insert,0
43,able,ebL,15040,sable,sebL,insert,0
43,able,ebL,16902,table,tebL,insert,0
