from_node,from_ortho,from_phono,to_node,to_ortho,to_phono,type,position
1,a,x,1381,awe,c,replace,0
1,a,x,1400,ay,Y,replace,0
1,a,x,1401,ayah,Yx,insert,0
1,a,x,5401,e,i,replace,0
1,a,x,11768,o,o,replace,0
1,a,x,11874,of,xv,insert,1
1,a,x,17199,the,Dx,insert,0
3,aback,xb@k,9,abash,xb@S,replace,3
3,aback,xb@k,1238,attack,xt@k,replace,1
3,aback,xb@k,1418,back,b@k,delete,0
6,abalone,@bxloni,2016,bologna,bxloni,delete,0
8,abase,xbes,10,abate,xbet,replace,3
8,abase,xbes,101,abyss,xbIs,replace,2
8,abase,xbes,845,apace,xpes,replace,1
8,abase,xbes,1576,base,bes,delete,0
9,abash,xb@S,1578,bash,b@S,delete,0
10,abate,xbet,30,abet,xbEt,replace,2
10,abate,xbet,63,about,xbWt,replace,2
10,abate,xbet,97,abut,xb^t,replace,2
10,abate,xbet,1375,await,xwet,replace,1
10,abate,xbet,1448,bait,bet,delete,0
10,abate,xbet,5508,elate,xlet,replace,1
11,abatis,@bxti,13,abbacy,@bxsi,replace,3
11,abatis,@bxti,17,abbot,@bxt,delete,4
11,abatis,@bxti,634,amity,@mxti,replace,1
13,abbacy,@bxsi,15,abbess,@bxs,delete,4
14,abbe,@be,16,abbey,@bi,replace,2
14,abbe,@be,1144,assay,@se,replace,1
14,abbe,@be,1621,bay,be,delete,0
14,abbe,@be,11786,obey,obe,replace,0
15,abbess,@bxs,17,abbot,@bxt,replace,3
15,abbess,@bxs,1058,arras,@rxs,replace,1
15,abbess,@bxs,8216,ibis,Ybxs,replace,0
16,abbey,@bi,336,aery,@ri,replace,1
16,abbey,@bi,519,alley,@li,replace,1
16,abbey,@bi,1116,ashy,@Si,replace,1
16,abbey,@bi,1406,b,bi,delete,0
16,abbey,@bi,2397,cabbie,k@bi,insert,0
16,abbey,@bi,6923,gabby,g@bi,insert,0
16,abbey,@bi,11789,obi,obi,replace,0
16,abbey,@bi,15507,shabby,S@bi,insert,0
16,abbey,@bi,16900,tabby,t@bi,insert,0
17,abbot,@bxt,391,agate,@gxt,replace,1
25,abeam,xbim,1636,beam,bim,delete,0
27,abed,xbEd,30,abet,xbEt,replace,3
27,abed,xbEd,33,abide,xbYd,replace,2
27,abed,xbEd,52,abode,xbod,replace,2
27,abed,xbEd,430,ahead,xhEd,replace,1
27,abed,xbEd,1664,bed,bEd,delete,0
29,aberration,@bXeS|n,253,adjuration,@JXeS|n,replace,1
29,aberration,@bXeS|n,282,adoration,@dXeS|n,replace,1
30,abet,xbEt,63,about,xbWt,replace,2
30,abet,xbEt,97,abut,xb^t,replace,2
30,abet,xbEt,1774,bet,bEt,delete,0
33,abide,xbYd,52,abode,xbod,replace,2
33,abide,xbYd,522,allied,xlYd,replace,1
33,abide,xbYd,1118,aside,xsYd,replace,1
33,abide,xbYd,1805,bide,bYd,delete,0
34,ability,xbIl|ti,410,agility,xJIl|ti,replace,1
35,abject,@bJEkt,11792,object,abJEkt,replace,0
40,ablate,@blet,11798,oblate,ablet,replace,0
42,ablaze,xblez,1903,blaze,blez,delete,0
43,able,ebL,676,anal,enL,replace,1
43,able,ebL,1409,Babel,bebL,insert,0
43,able,ebL,2400,cable,kebL,insert,0
43,able,ebL,6143,fable,febL,insert,0
43,able,ebL,6925,gable,gebL,insert,0
43,able,ebL,9568,label,lebL,insert,0
43,able,ebL,15040,sable,sebL,insert,0
