from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
1,1401,a,x,ayah,Yx,insert,0,1,0
1,11874,a,x,of,xv,insert,1,1,1
1,17199,a,x,the,Dx,insert,0,1,0
3,1418,aback,xb@k,back,b@k,delete,0,4,0
6,2016,abalone,@bxloni,bologna,bxloni,delete,0,7,0
8,1576,abase,xbes,base,bes,delete,0,4,0
9,1578,abash,xb@S,bash,b@S,delete,0,4,0
10,1448,abate,xbet,bait,bet,delete,0,4,0
11,17,abatis,@bxti,abbot,@bxt,delete,4,5,0.8
13,15,abbacy,@bxsi,abbess,@bxs,delete,4,5,0.8
14,1621,abbe,@be,bay,be,delete,0,3,0
16,1406,abbey,@bi,b,bi,delete,0,3,0
16,2397,abbey,@bi,cabbie,k@bi,insert,0,3,0
16,6923,abbey,@bi,gabby,g@bi,insert,0,3,0
16,15507,abbey,@bi,shabby,S@bi,insert,0,3,0
16,16900,abbey,@bi,tabby,t@bi,insert,0,3,0
25,1636,abeam,xbim,beam,bim,delete,0,4,0
27,1664,abed,xbEd,bed,bEd,delete,0,4,0
30,1774,abet,xbEt,bet,bEt,delete,0,4,0
33,1805,abide,xbYd,bide,bYd,delete,0,4,0
42,1903,ablaze,xblez,blaze,blez,delete,0,5,0
43,1409,able,ebL,Babel,bebL,insert,0,3,0
43,2400,able,ebL,cable,kebL,insert,0,3,0
43,6143,able,ebL,fable,febL,insert,0,3,0
43,6925,able,ebL,gable,gebL,insert,0,3,0
43,9568,able,ebL,label,lebL,insert,0,3,0
43,15040,able,ebL,sable,sebL,insert,0,3,0
43,16902,able,ebL,table,tebL,insert,0,3,0
44,1945,abloom,xblum,bloom,blum,delete,0,5,0
48,50,abnormal,@bnormL,abnormally,@bnormLi,insert,7,7,1
51,52,aboard,xbord,abode,xbod,delete,3,5,0.6
51,1980,aboard,xbord,board,bord,delete,0,5,0
52,1996,abode,xbod,bode,bod,delete,0,4,0
62,2095,abound,xbWnd,bound,bWnd,delete,0,5,0
63,2106,about,xbWt,bout,bWt,delete,0,4,0
66,2133,abrade,xbred,braid,bred,delete,0,5,0
68,1061,abreast,xbrEst,arrest,xrEst,delete,1,6,0.166666667
68,2168,abreast,xbrEst,breast,brEst,delete,0,6,0
69,2188,abridge,xbrIJ,bridge,brIJ,delete,0,5,0
70,2215,abroad,xbrcd,broad,brcd,delete,0,5,0
71,1064,abrogate,@brxget,arrogate,@rxget,delete,1,7,0.142857143
77,78,absent,@bs|nt,absentee,@bs|nti,insert,6,6,1
87,11831,abstain,xbsten,obtain,xbten,delete,2,6,0.333333333
90,92,abstract,@bstr@kt,abstracts,@bstr@kts,insert,8,8,1
97,2373,abut,xb^t,but,b^t,delete,0,4,0
125,3226,acclaim,xklem,claim,klem,delete,0,5,0
136,3113,accord,xkord,chord,kord,delete,0,5,0
139,4023,accost,xkcst,cost,kcst,delete,0,5,0
140,4042,account,xkWnt,count,kWnt,delete,0,5,0
143,4155,accredit,xkrEd|t,credit,krEd|t,delete,0,7,0
145,4182,accrue,xkru,crew,kru,delete,0,4,0
151,154,accusal,xkyuzL,accuse,xkyuz,delete,5,6,0.833333333
154,155,accuse,xkyuz,accuser,xkyuzX,insert,5,5,1
156,4346,accustom,xk^stxm,custom,k^stxm,delete,0,7,0
157,1576,ace,es,base,bes,insert,0,2,0
157,2701,ace,es,case,kes,insert,0,2,0
157,2973,ace,es,chase,Ces,insert,0,2,0
157,4390,ace,es,dace,des,insert,0,2,0
157,6149,ace,es,face,fes,insert,0,2,0
157,9579,ace,es,lace,les,insert,0,2,0
157,10220,ace,es,mace,mes,insert,0,2,0
157,12237,ace,es,pace,pes,insert,0,2,0
157,14143,ace,es,race,res,insert,0,2,0
157,18353,ace,es,vase,ves,insert,0,2,0
165,186,ache,ek,acre,ekX,insert,2,2,1
165,1450,ache,ek,bake,bek,insert,0,2,0
165,2435,ache,ek,cake,kek,insert,0,2,0
165,6180,ache,ek,fake,fek,insert,0,2,0
165,7582,ache,ek,hake,hek,insert,0,2,0
165,9613,ache,ek,lake,lek,insert,0,2,0
165,10304,ache,ek,make,mek,insert,0,2,0
165,14194,ache,ek,rake,rek,insert,0,2,0
165,15079,ache,ek,sake,sek,insert,0,2,0
165,15516,ache,ek,shake,Sek,insert,0,2,0
165,16936,ache,ek,take,tek,insert,0,2,0
165,18766,ache,ek,wake,wek,insert,0,2,0
167,1051,achromatic,@krxm@tIk,aromatic,@rxm@tIk,delete,1,9,0.111111111
175,7562,acne,@kni,hackney,h@kni,insert,0,4,0
178,3962,acorn,ekorn,corn,korn,delete,0,5,0
180,14056,acquaint,xkwent,quaint,kwent,delete,0,6,0
182,14112,acquire,xkwYr,quire,kwYr,delete,0,5,0
185,14116,acquit,xkwIt,quit,kwIt,delete,0,5,0
186,11354,acre,ekX,nacre,nekX,insert,0,3,0
188,1023,acrid,@krxd,arid,@rxd,delete,1,5,0.2
