from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
1,11874,a,x,of,xv,insert,1,1,1
3,9,aback,xb@k,abash,xb@S,replace,3,4,0.75
8,10,abase,xbes,abate,xbet,replace,3,4,0.75
8,101,abase,xbes,abyss,xbIs,replace,2,4,0.5
10,30,abate,xbet,abet,xbEt,replace,2,4,0.5
10,63,abate,xbet,about,xbWt,replace,2,4,0.5
10,97,abate,xbet,abut,xb^t,replace,2,4,0.5
11,13,abatis,@bxti,abbacy,@bxsi,replace,3,5,0.6
11,17,abatis,@bxti,abbot,@bxt,delete,4,5,0.8
13,15,abbacy,@bxsi,abbess,@bxs,delete,4,5,0.8
14,16,abbe,@be,abbey,@bi,replace,2,3,0.666666667
15,17,abbess,@bxs,abbot,@bxt,replace,3,4,0.75
27,30,abed,xbEd,abet,xbEt,replace,3,4,0.75
27,33,abed,xbEd,abide,xbYd,replace,2,4,0.5
27,52,abed,xbEd,abode,xbod,replace,2,4,0.5
30,63,abet,xbEt,about,xbWt,replace,2,4,0.5
30,97,abet,xbEt,abut,xb^t,replace,2,4,0.5
33,52,abide,xbYd,abode,xbod,replace,2,4,0.5
48,50,abnormal,@bnormL,abnormally,@bnormLi,insert,7,7,1
51,52,aboard,xbord,abode,xbod,delete,3,5,0.6
58,59,aboriginal,@bXIJ|nL,aborigine,@bXIJ|ni,replace,7,8,0.875
63,97,about,xbWt,abut,xb^t,replace,2,4,0.5
64,97,above,xb^v,abut,xb^t,replace,3,4,0.75
66,70,abrade,xbred,abroad,xbrcd,replace,3,5,0.6
76,77,absence,@bs|ns,absent,@bs|nt,replace,5,6,0.833333333
77,78,absent,@bs|nt,absentee,@bs|nti,insert,6,6,1
90,92,abstract,@bstr@kt,abstracts,@bstr@kts,insert,8,8,1
109,1395,accede,@ksid,axial,@ksiL,replace,4,5,0.8
112,115,accent,@ksEnt,accept,@ksEpt,replace,4,6,0.666666667
118,1398,access,@ksEs,axis,@ks|s,replace,3,5,0.6
122,123,accidence,@ks|d|ns,accident,@ks|d|nt,replace,7,8,0.875
151,154,accusal,xkyuzL,accuse,xkyuz,delete,5,6,0.833333333
151,155,accusal,xkyuzL,accuser,xkyuzX,replace,5,6,0.833333333
154,155,accuse,xkyuz,accuser,xkyuzX,insert,5,5,1
154,216,accuse,xkyuz,acute,xkyut,replace,4,5,0.8
157,165,ace,es,ache,ek,replace,1,2,0.5
157,393,ace,es,age,eJ,replace,1,2,0.5
157,432,ace,es,aid,ed,replace,1,2,0.5
157,434,ace,es,ail,el,replace,1,2,0.5
157,437,ace,es,aim,em,replace,1,2,0.5
157,851,ace,es,ape,ep,replace,1,2,0.5
157,1206,ace,es,ate,et,replace,1,2,0.5
157,7544,ace,es,h,eC,replace,1,2,0.5
158,1148,acerb,xsRb,assert,xsRt,replace,3,4,0.75
165,186,ache,ek,acre,ekX,insert,2,2,1
165,393,ache,ek,age,eJ,replace,1,2,0.5
165,432,ache,ek,aid,ed,replace,1,2,0.5
165,434,ache,ek,ail,el,replace,1,2,0.5
165,437,ache,ek,aim,em,replace,1,2,0.5
165,851,ache,ek,ape,ep,replace,1,2,0.5
165,1206,ache,ek,ate,et,replace,1,2,0.5
165,7544,ache,ek,h,eC,replace,1,2,0.5
174,175,acme,@kmi,acne,@kni,replace,2,4,0.5
176,177,acolyte,@kxlYt,aconite,@kxnYt,replace,3,6,0.5
185,5801,acquit,xkwIt,equip,xkwIp,replace,4,5,0.8
193,194,acrobatic,@krxb@tIk,acrobatics,@krxb@tIks,insert,9,9,1
200,207,act,@kt,actor,@ktX,insert,3,3,1
200,1394,act,@kt,axe,@ks,replace,2,3,0.666666667
208,210,actual,@kCuL,actually,@kCuLi,insert,5,5,1
211,212,actuarial,@kCuEriL,actuary,@kCuEri,delete,7,8,0.875
217,226,ad,@d,adder,@dX,insert,2,2,1
217,232,ad,@d,addle,@dL,insert,2,2,1
217,319,ad,@d,adze,@dz,insert,2,2,1
217,582,ad,@d,am,@m,replace,1,2,0.5
217,669,ad,@d,an,@n,replace,1,2,0.5
217,704,ad,@d,and,@nd,insert,1,2,0.5
217,1098,ad,@d,as,@z,replace,1,2,0.5
217,1111,ad,@d,ash,@S,replace,1,2,0.5
217,1140,ad,@d,ass,@s,replace,1,2,0.5
217,1203,ad,@d,at,@t,replace,1,2,0.5
226,232,adder,@dX,addle,@dL,replace,2,3,0.666666667
226,319,adder,@dX,adze,@dz,replace,2,3,0.666666667
229,230,addition,xdIS|n,additional,xdIS|nL,insert,6,6,1
232,319,addle,@dL,adze,@dz,replace,2,3,0.666666667
233,234,address,@drEs,addressee,@drEsi,insert,5,5,1
235,276,adduce,xdus,ado,xdu,delete,3,4,0.75
240,276,adieu,xdyu,ado,xdu,delete,2,4,0.5
247,248,adjoin,xJOn,adjourn,xJRn,replace,2,4,0.5
254,444,adjure,xJUr,ajar,xJar,replace,2,4,0.5
283,284,adore,xdor,adorn,xdorn,insert,4,4,1
303,307,adverb,@dvRb,adverse,@dvRs,replace,4,5,0.8
303,309,adverb,@dvRb,advert,@dvRt,replace,4,5,0.8
307,309,adverse,@dvRs,advert,@dvRt,replace,4,5,0.8
313,315,advice,xdvYs,advise,xdvYz,replace,4,5,0.8
324,336,aerial,@riL,aery,@ri,delete,3,4,0.75
324,1010,aerial,@riL,area,@rix,replace,3,4,0.75
326,327,aerie,Eri,aero,Ero,replace,2,3,0.666666667
326,438,aerie,Eri,air,Er,delete,2,3,0.666666667
326,5825,aerie,Eri,error,ErX,replace,2,3,0.666666667
327,328,aero,Ero,aerobe,Erob,insert,3,3,1
327,438,aero,Ero,air,Er,delete,2,3,0.666666667
327,5825,aero,Ero,error,ErX,replace,2,3,0.666666667
331,1057,aeronaut,@rxnct,arrant,@rxnt,delete,4,6,0.666666667
336,1010,aery,@ri,area,@rix,insert,3,3,1
336,1065,aery,@ri,arrow,@ro,replace,2,3,0.666666667
336,1096,aery,@ri,arum,@rM,replace,2,3,0.666666667
341,345,afar,xfar,affair,xfEr,replace,2,4,0.5
341,369,afar,xfar,afire,xfYr,replace,2,4,0.5
345,369,affair,xfEr,afire,xfYr,replace,2,4,0.5
362,377,affray,xfre,afraid,xfred,insert,4,4,1
365,366,afghan,@fg@n,afghani,@fg@ni,insert,5,5,1
381,382,aft,@ft,after,@ftX,insert,3,3,1
393,432,age,eJ,aid,ed,replace,1,2,0.5
393,434,age,eJ,ail,el,replace,1,2,0.5
393,437,age,eJ,aim,em,replace,1,2,0.5
393,851,age,eJ,ape,ep,replace,1,2,0.5
