from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
1,1381,a,x,awe,c,replace,0,1,0
1,1400,a,x,ay,Y,replace,0,1,0
1,5401,a,x,e,i,replace,0,1,0
1,11768,a,x,o,o,replace,0,1,0
3,9,aback,xb@k,abash,xb@S,replace,3,4,0.75
3,1238,aback,xb@k,attack,xt@k,replace,1,4,0.25
8,10,abase,xbes,abate,xbet,replace,3,4,0.75
8,101,abase,xbes,abyss,xbIs,replace,2,4,0.5
8,845,abase,xbes,apace,xpes,replace,1,4,0.25
10,30,abate,xbet,abet,xbEt,replace,2,4,0.5
10,63,abate,xbet,about,xbWt,replace,2,4,0.5
10,97,abate,xbet,abut,xb^t,replace,2,4,0.5
10,1375,abate,xbet,await,xwet,replace,1,4,0.25
10,5508,abate,xbet,elate,xlet,replace,1,4,0.25
11,13,abatis,@bxti,abbacy,@bxsi,replace,3,5,0.6
11,634,abatis,@bxti,amity,@mxti,replace,1,5,0.2
14,16,abbe,@be,abbey,@bi,replace,2,3,0.666666667
14,1144,abbe,@be,assay,@se,replace,1,3,0.333333333
14,11786,abbe,@be,obey,obe,replace,0,3,0
15,17,abbess,@bxs,abbot,@bxt,replace,3,4,0.75
15,1058,abbess,@bxs,arras,@rxs,replace,1,4,0.25
15,8216,abbess,@bxs,ibis,Ybxs,replace,0,4,0
16,336,abbey,@bi,aery,@ri,replace,1,3,0.333333333
16,519,abbey,@bi,alley,@li,replace,1,3,0.333333333
16,1116,abbey,@bi,ashy,@Si,replace,1,3,0.333333333
16,11789,abbey,@bi,obi,obi,replace,0,3,0
17,391,abbot,@bxt,agate,@gxt,replace,1,4,0.25
27,30,abed,xbEd,abet,xbEt,replace,3,4,0.75
27,33,abed,xbEd,abide,xbYd,replace,2,4,0.5
27,52,abed,xbEd,abode,xbod,replace,2,4,0.5
27,430,abed,xbEd,ahead,xhEd,replace,1,4,0.25
29,253,aberration,@bXeS|n,adjuration,@JXeS|n,replace,1,7,0.142857143
29,282,aberration,@bXeS|n,adoration,@dXeS|n,replace,1,7,0.142857143
30,63,abet,xbEt,about,xbWt,replace,2,4,0.5
30,97,abet,xbEt,abut,xb^t,replace,2,4,0.5
33,52,abide,xbYd,abode,xbod,replace,2,4,0.5
33,522,abide,xbYd,allied,xlYd,replace,1,4,0.25
33,1118,abide,xbYd,aside,xsYd,replace,1,4,0.25
34,410,ability,xbIl|ti,agility,xJIl|ti,replace,1,7,0.142857143
35,11792,abject,@bJEkt,object,abJEkt,replace,0,6,0
40,11798,ablate,@blet,oblate,ablet,replace,0,5,0
43,676,able,ebL,anal,enL,replace,1,3,0.333333333
45,11799,ablution,xbluS|n,oblation,xbleS|n,replace,3,7,0.428571429
51,136,aboard,xbord,accord,xkord,replace,1,5,0.2
51,361,aboard,xbord,afford,xford,replace,1,5,0.2
51,1378,aboard,xbord,award,xword,replace,1,5,0.2
54,5433,abolition,@bxlIS|n,ebullition,EbxlIS|n,replace,0,8,0
58,59,aboriginal,@bXIJ|nL,aborigine,@bXIJ|ni,replace,7,8,0.875
61,922,abortion,xborS|n,apportion,xporS|n,replace,1,7,0.142857143
62,1052,abound,xbWnd,around,xrWnd,replace,1,5,0.2
63,97,about,xbWt,abut,xb^t,replace,2,4,0.5
64,97,above,xb^v,abut,xb^t,replace,3,4,0.75
66,70,abrade,xbred,abroad,xbrcd,replace,3,5,0.6
66,377,abrade,xbred,afraid,xfred,replace,1,5,0.2
74,118,abscess,@bsEs,access,@ksEs,replace,1,5,0.2
74,11820,abscess,@bsEs,obsess,xbsEs,replace,0,5,0
