from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
1,1381,a,x,awe,c,replace,0,1,0
1,1400,a,x,ay,Y,replace,0,1,0
1,5401,a,x,e,i,replace,0,1,0
1,11768,a,x,o,o,replace,0,1,0
3,1238,aback,xb@k,attack,xt@k,replace,1,4,0.25
8,845,abase,xbes,apace,xpes,replace,1,4,0.25
10,1375,abate,xbet,await,xwet,replace,1,4,0.25
10,5508,abate,xbet,elate,xlet,replace,1,4,0.25
11,634,abatis,@bxti,amity,@mxti,replace,1,5,0.2
14,1144,abbe,@be,assay,@se,replace,1,3,0.333333333
14,11786,abbe,@be,obey,obe,replace,0,3,0
15,1058,abbess,@bxs,arras,@rxs,replace,1,4,0.25
15,8216,abbess,@bxs,ibis,Ybxs,replace,0,4,0
16,336,abbey,@bi,aery,@ri,replace,1,3,0.333333333
16,519,abbey,@bi,alley,@li,replace,1,3,0.333333333
16,1116,abbey,@bi,ashy,@Si,replace,1,3,0.333333333
16,11789,abbey,@bi,obi,obi,replace,0,3,0
17,391,abbot,@bxt,agate,@gxt,replace,1,4,0.25
27,430,abed,xbEd,ahead,xhEd,replace,1,4,0.25
29,253,aberration,@bXeS|n,adjuration,@JXeS|n,replace,1,7,0.142857143
29,282,aberration,@bXeS|n,adoration,@dXeS|n,replace,1,7,0.142857143
33,522,abide,xbYd,allied,xlYd,replace,1,4,0.25
33,1118,abide,xbYd,aside,xsYd,replace,1,4,0.25
34,410,ability,xbIl|ti,agility,xJIl|ti,replace,1,7,0.142857143
35,11792,abject,@bJEkt,object,abJEkt,replace,0,6,0
40,11798,ablate,@blet,oblate,ablet,replace,0,5,0
43,676,able,ebL,anal,enL,replace,1,3,0.333333333
45,11799,ablution,xbluS|n,oblation,xbleS|n,replace,3,7,0.428571429
51,136,aboard,xbord,accord,xkord,replace,1,5,0.2
51,361,aboard,xbord,afford,xford,replace,1,5,0.2
51,1378,aboard,xbord,award,xword,replace,1,5,0.2
54,5433,abolition,@bxlIS|n,ebullition,EbxlIS|n,replace,0,8,0
61,922,abortion,xborS|n,apportion,xporS|n,replace,1,7,0.142857143
62,1052,abound,xbWnd,around,xrWnd,replace,1,5,0.2
66,377,abrade,xbred,afraid,xfred,replace,1,5,0.2
74,118,abscess,@bsEs,access,@ksEs,replace,1,5,0.2
74,11820,abscess,@bsEs,obsess,xbsEs,replace,0,5,0
96,154,abuse,xbyuz,accuse,xkyuz,replace,1,5,0.2
96,668,abuse,xbyuz,amuse,xmyuz,replace,1,5,0.2
101,633,abyss,xbIs,amiss,xmIs,replace,1,4,0.25
109,5959,accede,@ksid,exceed,Iksid,replace,0,5,0
115,5963,accept,@ksEpt,except,IksEpt,replace,0,6,0
118,5966,access,@ksEs,excess,EksEs,replace,0,5,0
120,11821,accession,aksES|n,obsession,absES|n,replace,1,7,0.142857143
124,11841,accidental,@ksxdEntL,occidental,aksxdEntL,replace,0,9,0
125,370,acclaim,xklem,aflame,xflem,replace,1,5,0.2
136,361,accord,xkord,afford,xford,replace,1,5,0.2
136,1378,accord,xkord,award,xword,replace,1,5,0.2
139,150,accost,xkcst,accursed,xkRst,replace,2,5,0.4
140,651,account,xkWnt,amount,xmWnt,replace,1,5,0.2
145,15283,accrue,xkru,screw,skru,replace,0,4,0
150,1212,accursed,xkRst,athirst,xTRst,replace,1,5,0.2
154,668,accuse,xkyuz,amuse,xmyuz,replace,1,5,0.2
157,1140,ace,es,ass,@s,replace,0,2,0
157,8217,ace,es,ice,Ys,replace,0,2,0
157,15038,ace,es,s,Es,replace,0,2,0
157,18230,ace,es,us,^s,replace,0,2,0
