from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
3,9,aback,xb@k,abash,xb@S,replace,3,4,0.75
8,10,abase,xbes,abate,xbet,replace,3,4,0.75
8,101,abase,xbes,abyss,xbIs,replace,2,4,0.5
10,30,abate,xbet,abet,xbEt,replace,2,4,0.5
10,63,abate,xbet,about,xbWt,replace,2,4,0.5
10,97,abate,xbet,abut,xb^t,replace,2,4,0.5
11,13,abatis,@bxti,abbacy,@bxsi,replace,3,5,0.6
14,16,abbe,@be,abbey,@bi,replace,2,3,0.666666667
15,17,abbess,@bxs,abbot,@bxt,replace,3,4,0.75
27,30,abed,xbEd,abet,xbEt,replace,3,4,0.75
27,33,abed,xbEd,abide,xbYd,replace,2,4,0.5
27,52,abed,xbEd,abode,xbod,replace,2,4,0.5
30,63,abet,xbEt,about,xbWt,replace,2,4,0.5
30,97,abet,xbEt,abut,xb^t,replace,2,4,0.5
33,52,abide,xbYd,abode,xbod,replace,2,4,0.5
58,59,aboriginal,@bXIJ|nL,aborigine,@bXIJ|ni,replace,7,8,0.875
63,97,about,xbWt,abut,xb^t,replace,2,4,0.5
64,97,above,xb^v,abut,xb^t,replace,3,4,0.75
66,70,abrade,xbred,abroad,xbrcd,replace,3,5,0.6
76,77,absence,@bs|ns,absent,@bs|nt,replace,5,6,0.833333333
109,1395,accede,@ksid,axial,@ksiL,replace,4,5,0.8
112,115,accent,@ksEnt,accept,@ksEpt,replace,4,6,0.666666667
118,1398,access,@ksEs,axis,@ks|s,replace,3,5,0.6
122,123,accidence,@ks|d|ns,accident,@ks|d|nt,replace,7,8,0.875
151,155,accusal,xkyuzL,accuser,xkyuzX,replace,5,6,0.833333333
154,216,accuse,xkyuz,acute,xkyut,replace,4,5,0.8
157,165,ace,es,ache,ek,replace,1,2,0.5
157,393,ace,es,age,eJ,replace,1,2,0.5
157,432,ace,es,aid,ed,replace,1,2,0.5
157,434,ace,es,ail,el,replace,1,2,0.5
157,437,ace,es,aim,em,replace,1,2,0.5
157,851,ace,es,ape,ep,replace,1,2,0.5
157,1206,ace,es,ate,et,replace,1,2,0.5
157,7544,ace,es,h,eC,replace,1,2,0.5
158,1148,acerb,xsRb,assert,xsRt,replace,3,4,0.75
165,393,ache,ek,age,eJ,replace,1,2,0.5
165,432,ache,ek,aid,ed,replace,1,2,0.5
165,434,ache,ek,ail,el,replace,1,2,0.5
165,437,ache,ek,aim,em,replace,1,2,0.5
165,851,ache,ek,ape,ep,replace,1,2,0.5
165,1206,ache,ek,ate,et,replace,1,2,0.5
165,7544,ache,ek,h,eC,replace,1,2,0.5
174,175,acme,@kmi,acne,@kni,replace,2,4,0.5
176,177,acolyte,@kxlYt,aconite,@kxnYt,replace,3,6,0.5
185,5801,acquit,xkwIt,equip,xkwIp,replace,4,5,0.8
200,1394,act,@kt,axe,@ks,replace,2,3,0.666666667
217,582,ad,@d,am,@m,replace,1,2,0.5
217,669,ad,@d,an,@n,replace,1,2,0.5
