"","x"
"1",1
"2",0
"3",-1
"4",0
"5",-1
"6",0.266666666666667
"7",0
"8",-1
"9",0
"10",0
"11",0.3
"12",0
"13",-1
"14",0.166666666666667
"15",1
"16",0.5
"17",0.333333333333333
"18",-1
"19",-1
"20",-1
"21",-1
"22",-1
"23",-1
"24",-1
"25",-1
"26",-1
"27",1
"28",1
"29",-1
"30",-1
"31",-1
"32",-1
"33",-1
"34",1
"35",-1
"36",0
"37",-1
"38",-1
"39",-1
"40",-1
"41",0
"42",-1
"43",-1
"44",-1
"45",-1
"46",-1
"47",-1
"48",1
"49",0.5
"50",0
"51",0
"52",-1
"53",0
"54",0
"55",-1
"56",-1
"57",-1
"58",-1
"59",-1
"60",1
"61",-1
"62",-1
"63",-1
"64",-1
"65",0
"66",-1
"67",0.333333333333333
"68",-1
"69",-1
"70",0.515151515151515
"71",-1
"72",-1
"73",0.515151515151515
"74",-1
"75",-1
"76",-1
"77",-1
"78",-1
"79",0
"80",-1
"81",-1
"82",-1
"83",-1
"84",-1
"85",-1
"86",-1
"87",-1
"88",-1
"89",-1
"90",-1
"91",0.5
"92",-1
"93",-1
"94",1
"95",-1
"96",-1
"97",-1
"98",-1
"99",-1
"100",0.466666666666667
"101",-1
"102",1
"103",0.2
"104",-1
"105",1
"106",-1
"107",0.2
"108",-1
"109",-1
"110",-1
"111",1
"112",-1
"113",-1
"114",-1
"115",-1
"116",1
"117",0.5
"118",-1
"119",-1
"120",-1
"121",-1
"122",1
"123",1
"124",-1
"125",-1
"126",-1
"127",-1
"128",-1
"129",1
"130",1
"131",1
"132",-1
"133",-1
"134",0.333333333333333
"135",-1
"136",1
"137",-1
"138",0
"139",0.377777777777778
"140",0.488888888888889
"141",-1
"142",-1
"143",0.345454545454545
"144",-1
"145",0.333333333333333
"146",-1
"147",0.333333333333333
"148",0
"149",-1
"150",-1
"151",-1
"152",-1
"153",-1
"154",1
"155",-1
"156",-1
"157",-1
"158",-1
"159",-1
"160",-1
"161",0.333333333333333
"162",-1
"163",-1
"164",-1
"165",-1
"166",-1
"167",-1
"168",-1
"169",0.5
"170",1
"171",-1
"172",-1
"173",0.644444444444444
"174",-1
"175",-1
"176",-1
"177",-1
"178",1
"179",-1
"180",-1
"181",0
"182",-1
"183",-1
"184",-1
"185",-1
"186",-1
"187",-1
"188",-1
"189",-1
"190",-1
"191",-1
"192",-1
"193",0.515151515151515
"194",0.466666666666667
"195",0.563636363636364
"196",0.487179487179487
"197",0.563636363636364
"198",0
"199",-1
"200",-1
"201",0
"202",0.523809523809524
"203",0.333333333333333
"204",-1
"205",-1
"206",-1
"207",0
"208",0.241758241758242
"209",1
"210",0
"211",-1
"212",0.4
"213",0.523809523809524
"214",1
"215",-1
"216",-1
"217",0.515151515151515
"218",1
"219",0.285714285714286
"220",-1
"221",1
"222",-1
"223",-1
"224",0.294871794871795
"225",-1
"226",0.2
"227",-1
"228",-1
"229",0.444444444444444
"230",0.166666666666667
"231",0.523809523809524
"232",0.333333333333333
"233",1
"234",0.464285714285714
"235",0
"236",0.309090909090909
"237",-1
"238",0.1
"239",-1
"240",-1
"241",0.333333333333333
"242",0.666666666666667
"243",-1
"244",-1
"245",-1
"246",-1
"247",-1
"248",-1
"249",-1
"250",-1
"251",-1
"252",-1
"253",-1
"254",0.5
"255",-1
"256",0.333333333333333
"257",1
"258",-1
"259",0.333333333333333
"260",-1
"261",-1
"262",0
"263",-1
"264",0.6
"265",-1
"266",0.166666666666667
"267",-1
"268",0.166666666666667
"269",-1
"270",-1
"271",1
"272",-1
"273",-1
"274",-1
"275",-1
"276",-1
"277",-1
"278",1
"279",-1
"280",-1
"281",-1
"282",-1
"283",1
"284",0.454545454545455
"285",-1
"286",-1
"287",0
"288",0
"289",0.333333333333333
"290",0
"291",-1
"292",0
"293",0
"294",-1
"295",-1
"296",0.333333333333333
"297",0
"298",0
"299",0
"300",-1
"301",-1
"302",0
"303",-1
"304",-1
"305",-1
"306",-1
"307",0
"308",-1
"309",0.5
"310",-1
"311",-1
"312",-1
"313",-1
"314",0
"315",-1
"316",-1
"317",-1
"318",1
"319",0.333333333333333
"320",0
"321",-1
"322",-1
"323",-1
"324",1
"325",0.644444444444444
"326",0.5
"327",-1
"328",0
"329",-1
"330",0.5
"331",-1
"332",1
"333",0
"334",-1
"335",-1
"336",0
"337",-1
"338",0.3
"339",-1
"340",0.5
"341",-1
"342",-1
"343",1
"344",0.466666666666667
"345",-1
"346",0
"347",-1
"348",0.2
"349",-1
"350",-1
"351",-1
"352",-1
"353",-1
"354",-1
"355",-1
"356",-1
"357",-1
"358",0
"359",-1
"360",-1
"361",-1
"362",0.333333333333333
"363",0.266666666666667
"364",-1
"365",-1
"366",-1
"367",1
"368",-1
"369",-1
"370",-1
"371",1
"372",-1
"373",1
"374",-1
"375",0
"376",1
"377",-1
"378",1
"379",1
"380",-1
"381",-1
"382",0
"383",-1
"384",0.5
"385",0.666666666666667
"386",0
"387",-1
"388",-1
"389",-1
"390",-1
"391",-1
"392",0.333333333333333
"393",-1
"394",0.3
"395",0
"396",1
"397",0.5
"398",-1
"399",1
"400",0
"401",-1
"402",1
"403",0
"404",0.333333333333333
"405",0.523809523809524
"406",-1
"407",-1
"408",0.166666666666667
"409",0.444444444444444
"410",0.333333333333333
"411",-1
"412",-1
"413",0.418181818181818
"414",-1
"415",0.5
"416",1
"417",-1
"418",-1
"419",-1
"420",-1
"421",-1
"422",-1
"423",0.333333333333333
"424",-1
"425",0.5
"426",0.6
"427",-1
"428",0.333333333333333
"429",-1
"430",-1
"431",-1
"432",-1
"433",-1
"434",1
"435",-1
"436",0
"437",1
"438",0.333333333333333
"439",0.333333333333333
"440",-1
"441",-1
"442",-1
"443",0.333333333333333
"444",-1
"445",0.466666666666667
"446",-1
"447",-1
"448",0.166666666666667
"449",0.333333333333333
"450",-1
"451",-1
"452",0.166666666666667
"453",-1
"454",0.333333333333333
"455",-1
"456",-1
"457",0.5
"458",-1
"459",0.466666666666667
"460",-1
"461",-1
"462",-1
"463",-1
"464",-1
"465",-1
"466",-1
"467",0.454545454545455
"468",0.472527472527473
"469",-1
"470",-1
"471",-1
"472",-1
"473",-1
"474",-1
"475",0.166666666666667
"476",-1
"477",-1
"478",-1
"479",-1
"480",-1
"481",-1
"482",0.166666666666667
"483",-1
"484",-1
"485",-1
"486",0
"487",0.2
"488",-1
"489",0.266666666666667
"490",-1
"491",1
"492",-1
"493",-1
"494",-1
"495",-1
"496",-1
"497",-1
"498",-1
"499",-1
"500",1
"501",-1
"502",0
"503",-1
"504",-1
"505",1
"506",-1
"507",-1
"508",0.333333333333333
"509",0.466666666666667
"510",0.428571428571429
"511",-1
"512",0
"513",0
