"","x"
"145",1
"1407",12
"1409",14
"1412",4
"1430",2
"1433",5
"1437",3
"1439",2
"1447",5
"1457",2
"1470",1
"1486",13
"1501",7
"1505",11
"1508",8
"1510",4
"1525",6
"1539",17
"1542",8
"1545",11
"1549",10
"1564",7
"1570",9
"1573",5
"1581",6
"1584",7
"1586",7
"1590",5
"1593",15
"1595",14
"1605",2
"1612",6
"1613",10
"1614",15
"1617",13
"1618",5
"1620",3
"1631",5
"1632",5
"1634",3
"1635",3
"1638",5
"1639",4
"1642",11
"1644",4
"1656",3
"1668",1
"1681",5
"1682",4
"1692",2
"1708",5
"1724",10
"1726",10
"1728",15
"1732",6
"1733",15
"1746",16
"1753",2
"1759",10
"1762",8
"1770",20
"1776",3
"1778",7
"1781",7
"1783",5
"1786",4
"1792",6
"1800",7
"1804",6
"1820",7
"1823",9
"1831",9
"1832",12
"1836",10
"1837",4
"1856",6
"1863",2
"1864",4
"1869",8
"1870",7
"1980",12
"1981",16
"1985",3
"1988",11
"1989",10
"1994",4
"2001",11
"2004",3
"2009",14
"2015",7
"2020",12
"2027",2
"2032",11
"2039",3
"2045",7
"2049",5
"2050",4
"2058",8
"2061",1
"2062",3
"2065",3
"2071",11
"2074",8
"2085",3
"2086",7
"2087",1
"2094",3
"2095",13
"2114",9
"2118",3
"2262",10
"2267",5
"2275",5
"2281",3
"2287",4
"2289",9
"2290",15
"2291",2
"2295",3
"2296",6
"2304",7
"2309",8
"2313",6
"2321",10
"2324",8
"2329",3
"2335",2
"2338",3
"2347",6
"2350",7
"2353",4
"2355",2
"2356",6
"2358",14
"2369",15
"2370",8
"2371",2
"2377",10
"2382",5
"2397",9
"2400",7
"2407",4
"2408",11
"2414",9
"2422",3
"2424",1
"2430",2
"2464",4
"2471",8
"2484",3
"2495",7
"2502",7
"2538",10
"2539",6
"2549",10
"2554",9
"2580",8
"2638",13
"2670",10
"2671",4
"2676",5
"2685",15
"2686",10
"2696",3
"2704",2
"2709",5
"2714",3
"2716",11
"2723",12
"2751",6
"2756",5
"2772",12
"2773",13
"2778",6
"2781",2
"2801",8
"2804",4
"2810",5
"2823",6
"2826",5
"2831",14
"2845",16
"2882",4
"2895",3
"2897",3
"2904",3
"2909",10
"2914",4
"2916",8
"2919",7
"2927",2
"2929",5
"2932",6
"2940",4
"2946",5
"2957",12
"2958",6
"2966",5
"2968",9
"2972",11
"2974",4
"2975",1
"2976",3
"2977",8
"2978",5
"2983",4
"2985",8
"2986",10
"2988",8
"2989",1
"2990",8
"3009",6
"3012",3
"3022",8
"3027",12
"3045",4
"3053",4
"3056",3
"3065",4
"3068",1
"3071",10
"3076",5
"3082",2
"3101",8
"3107",2
"3109",3
"3110",4
"3112",7
"3113",15
"3148",1
"3150",4
"3152",3
"3154",6
"3155",11
"3156",9
"3166",5
"3169",6
"3178",3
"3179",1
"3180",5
"3216",6
"3219",4
"3348",12
"3350",11
"3354",5
"3358",7
"3363",5
"3374",2
"3375",5
"3377",9
"3378",2
"3382",4
"3383",9
"3388",5
"3398",2
"3430",7
"3432",11
"3452",10
"3464",5
"3471",4
"3479",13
"3481",2
"3484",5
"3489",2
"3511",3
"3634",1
"3679",4
"3916",3
"3919",4
"3922",5
"3927",6
"3934",8
"3939",4
"3943",7
"3947",7
"3960",9
"3962",14
"4023",3
"4032",7
"4033",5
"4038",1
"4042",4
"4064",2
"4065",3
"4071",1
"4072",14
"4084",4
"4088",2
"4104",5
"4279",9
"4280",2
"4290",4
"4315",7
"4335",4
"4359",9
"4367",6
"4383",7
"4389",7
"4396",5
"4399",4
"4400",1
"4403",8
"4406",9
"4408",5
"4410",13
"4419",1
"4420",8
"4424",6
"4436",10
"4437",4
"4438",4
"4441",8
"4447",5
"4449",8
"4459",9
"4463",2
"4469",3
"4474",2
"4481",4
"4483",12
"4513",1
"4592",7
"4594",2
"4610",2
"4611",8
"4637",3
"4681",3
"4687",10
"4689",16
"4699",3
"4763",2
"4818",3
"4854",4
"4860",4
"4864",4
"4867",11
"4868",5
"4887",7
"4920",7
"4925",6
"4927",3
"4932",10
"4934",9
"4944",11
"4975",4
"5098",9
"5099",1
"5100",10
"5126",5
"5129",4
"5142",3
"5155",6
"5161",6
"5163",12
"5165",9
"5167",8
"5187",4
"5189",5
"5194",4
"5199",7
"5206",4
"5207",5
"5214",5
"5219",5
"5228",3
"5229",7
"5323",1
"5326",3
"5328",1
"5336",3
"5344",10
"5345",9
"5352",7
"5353",10
"5356",3
"5363",10
"5378",8
"5379",8
"5385",6
"5891",1
"6143",10
"6153",3
"6154",8
"6158",3
"6167",11
"6176",5
"6178",11
"6190",10
"6191",3
"6222",5
"6226",4
"6232",8
"6246",13
