idx,name,ortho,phono
1,1,a,x
3,3,aback,xb@k
6,6,abalone,@bxloni
8,8,abase,xbes
9,9,abash,xb@S
10,10,abate,xbet
11,11,abatis,@bxti
13,13,abbacy,@bxsi
14,14,abbe,@be
15,15,abbess,@bxs
16,16,abbey,@bi
17,17,abbot,@bxt
25,25,abeam,xbim
27,27,abed,xbEd
29,29,aberration,@bXeS|n
30,30,abet,xbEt
33,33,abide,xbYd
34,34,ability,xbIl|ti
35,35,abject,@bJEkt
40,40,ablate,@blet
42,42,ablaze,xblez
43,43,able,ebL
44,44,abloom,xblum
45,45,ablution,xbluS|n
48,48,abnormal,@bnormL
50,50,abnormally,@bnormLi
51,51,aboard,xbord
52,52,abode,xbod
54,54,abolition,@bxlIS|n
58,58,aboriginal,@bXIJ|nL
59,59,aborigine,@bXIJ|ni
61,61,abortion,xborS|n
62,62,abound,xbWnd
63,63,about,xbWt
64,64,above,xb^v
66,66,abrade,xbred
68,68,abreast,xbrEst
69,69,abridge,xbrIJ
70,70,abroad,xbrcd
71,71,abrogate,@brxget
74,74,abscess,@bsEs
76,76,absence,@bs|ns
77,77,absent,@bs|nt
78,78,absentee,@bs|nti
87,87,abstain,xbsten
90,90,abstract,@bstr@kt
92,92,abstracts,@bstr@kts
96,96,abuse,xbyuz
97,97,abut,xb^t
101,101,abyss,xbIs
109,109,accede,@ksid
112,112,accent,@ksEnt
115,115,accept,@ksEpt
118,118,access,@ksEs
120,120,accession,aksES|n
122,122,accidence,@ks|d|ns
123,123,accident,@ks|d|nt
124,124,accidental,@ksxdEntL
125,125,acclaim,xklem
136,136,accord,xkord
139,139,accost,xkcst
140,140,account,xkWnt
143,143,accredit,xkrEd|t
145,145,accrue,xkru
150,150,accursed,xkRst
151,151,accusal,xkyuzL
154,154,accuse,xkyuz
155,155,accuser,xkyuzX
156,156,accustom,xk^stxm
157,157,ace,es
158,158,acerb,xsRb
162,162,acetic,xsitIk
165,165,ache,ek
167,167,achromatic,@krxm@tIk
170,170,acidity,xsId|ti
174,174,acme,@kmi
175,175,acne,@kni
176,176,acolyte,@kxlYt
177,177,aconite,@kxnYt
178,178,acorn,ekorn
180,180,acquaint,xkwent
182,182,acquire,xkwYr
185,185,acquit,xkwIt
186,186,acre,ekX
188,188,acrid,@krxd
189,189,acridity,@krId|ti
193,193,acrobatic,@krxb@tIk
194,194,acrobatics,@krxb@tIks
197,197,acropolis,xkrapLxs
198,198,across,xkrcs
200,200,act,@kt
203,203,action,@kS|n
