idx,degree
1,3
3,1
6,1
8,1
9,1
10,1
11,1
13,1
14,1
15,1
16,5
17,1
25,1
27,1
30,1
33,1
42,1
43,7
44,1
48,1
50,1
51,2
52,2
62,1
63,1
66,1
68,2
69,1
70,1
71,1
77,1
78,1
87,1
90,1
92,1
97,1
125,1
136,1
139,1
140,1
143,1
145,1
151,1
154,2
155,1
156,1
157,10
165,12
167,1
175,1
178,1
180,1
182,1
185,1
186,2
188,1
189,1
193,1
194,1
197,1
198,2
200,5
203,2
207,3
208,2
210,1
211,1
212,1
216,1
217,15
226,3
228,2
229,3
230,1
232,3
233,2
234,1
235,2
240,1
247,1
249,1
255,1
264,1
268,1
276,3
282,1
283,1
284,1
286,1
319,2
321,1
322,1
323,1
324,2
326,9
327,4
328,2
331,1
336,10
341,1
345,1
354,1
357,1
361,1
362,3
363,2
364,1
365,1
366,1
368,1
369,1
370,1
371,1
372,1
373,1
376,2
377,1
378,1
381,6
382,3
390,1
393,6
407,2
411,1
413,1
414,1
415,1
416,2
418,2
425,2
426,1
427,1
428,2
430,1
432,8
434,16
437,10
438,17
443,12
444,1
446,1
456,1
467,1
469,2
476,1
477,2
487,2
488,1
492,2
493,1
495,1
498,1
501,13
502,3
503,4
504,1
505,1
511,1
516,1
519,9
521,1
522,2
524,1
528,1
529,1
532,3
533,1
535,1
542,9
543,1
545,2
546,2
550,2
562,4
563,2
564,1
566,1
570,1
571,1
575,2
582,10
583,3
584,1
591,1
596,1
600,2
609,3
616,1
618,3
620,1
632,1
633,1
635,1
636,2
643,1
646,1
651,1
658,2
660,1
661,1
668,1
669,11
676,1
682,1
698,5
704,10
715,2
716,1
718,1
720,7
729,1
733,1
745,12
746,2
749,2
755,1
759,1
762,1
766,2
778,2
780,8
785,4
790,1
796,1
805,1
808,1
826,1
835,1
836,1
840,5
845,1
846,2
849,1
851,7
852,1
865,1
866,1
875,2
884,1
888,1
890,1
891,1
893,1
894,1
895,1
897,1
898,1
903,1
908,3
909,1
915,2
917,3
918,2
919,1
922,1
924,1
925,1
926,1
933,2
938,1
939,2
947,4
948,2
949,1
960,1
964,3
971,1
973,1
974,2
979,8
982,5
989,2
990,1
998,1
999,1
1007,1
1009,13
1010,2
1011,1
1012,2
1016,2
1023,1
1024,1
1026,3
1027,3
1034,6
1044,2
1045,1
1046,2
1048,2
1051,1
1052,2
1053,1
1055,3
1056,2
1057,2
1058,1
1059,3
1061,2
1062,1
1064,1
1065,7
1071,1
1072,9
1076,1
1081,1
1089,1
1094,1
1095,4
1096,2
1097,2
1098,4
1101,1
1105,1
1108,1
1109,1
1110,1
1111,11
1113,4
1115,1
1116,2
1118,1
1121,5
1123,1
1124,1
1125,1
1126,4
1138,1
1140,11
1141,1
1143,2
1144,3
1150,1
1151,1
1156,1
1160,1
1162,1
1167,1
1168,1
1172,2
1173,1
1175,4
1177,2
1182,2
1185,1
1188,1
1189,1
1200,1
1203,19
1206,13
1208,1
1210,1
1212,1
1215,1
1216,1
1220,1
1221,1
1222,1
1223,1
1225,2
1226,1
1227,1
1228,1
1229,1
1238,1
1239,2
1243,2
1244,12
1245,1
1246,1
1248,1
1251,1
1253,3
1254,1
1255,3
1258,1
1259,1
1264,1
1265,1
1266,1
1280,1
1282,1
1284,1
1286,13
1291,8
1292,3
1294,4
1296,1
1304,1
1319,2
1337,1
1341,1
1346,1
1348,1
1352,3
1355,2
1356,1
1357,1
1370,2
1372,2
1373,3
1375,2
1376,2
1377,1
1378,1
1379,1
1380,1
1381,16
1382,1
1383,3
1386,1
1387,1
1388,1
1390,7
1392,1
1393,3
1394,5
1395,1
1399,2
1400,21
1401,3
1406,11
1408,3
1409,2
1412,1
1418,4
1428,3
1429,1
1430,1
1433,1
1434,2
1439,1
1442,3
1443,3
1447,1
1448,4
1449,3
1450,3
1457,2
1464,1
1465,3
1467,1
1473,1
1476,1
1477,1
1478,1
1482,5
1485,1
1486,6
1497,2
1498,4
1499,1
1500,1
1505,4
1508,2
1510,1
1515,2
1524,7
1525,4
1532,2
1534,2
1539,2
1540,5
1542,1
1545,4
1547,1
1549,1
1554,1
1557,1
1570,1
1573,1
1574,1
1576,7
1578,3
1579,1
1584,1
1586,3
1588,5
1590,1
1593,3
1595,2
1598,7
1601,1
1607,1
1610,1
1612,1
1613,1
1614,4
1615,1
1617,1
1621,13
1624,2
1627,4
1630,5
1631,1
1632,1
1633,5
1634,2
1635,1
1636,2
1637,2
1638,1
1639,2
1640,1
1642,2
1643,7
1644,2
1648,12
1654,3
1655,1
1664,4
1668,1
1676,2
1678,2
1679,3
1681,1
1682,1
1687,1
1690,1
1692,1
1701,1
1705,1
1708,1
1717,5
1724,2
1726,1
1727,1
1728,2
1732,1
1733,3
1746,1
1755,1
1756,2
1759,3
1761,2
1762,2
1770,3
1774,5
1776,1
1778,1
1785,1
1802,1
1803,4
1804,1
1805,4
1810,1
1813,3
1816,1
1819,3
1820,1
1823,2
1824,7
1825,1
1827,1
1831,2
1832,1
1836,2
1837,1
1854,1
1855,4
1856,1
1858,1
1864,1
1866,5
1867,1
1869,2
1870,3
1871,1
1872,1
1877,1
1878,3
1882,1
1885,1
1886,1
1887,2
1888,1
1891,2
1893,3
1895,2
1900,2
1901,1
1902,1
1903,5
1904,1
1905,1
1906,2
1908,3
1909,3
1910,2
1911,2
1912,3
1913,1
1915,1
1916,3
1917,2
1918,3
1919,4
1920,2
1921,1
1922,1
1924,2
1925,1
1926,2
1927,1
1928,1
1931,2
1933,1
1934,3
1935,1
1936,2
1937,2
1941,1
1942,1
1945,4
1949,3
1950,1
1951,1
1952,1
1953,8
1955,3
1956,1
1958,1
1959,1
