idx,degree
1,6
3,2
6,1
8,2
9,1
10,3
11,1
14,3
15,2
16,9
17,1
25,1
27,2
29,2
30,1
33,3
34,1
35,1
40,1
42,1
43,8
44,1
45,1
51,4
52,1
54,1
61,1
62,2
63,1
66,2
68,2
69,1
70,1
71,1
74,2
87,1
96,2
97,1
101,1
109,1
115,1
118,2
120,1
124,1
125,2
136,4
139,2
140,2
143,1
145,2
150,2
154,2
156,1
157,14
162,1
165,15
167,2
170,1
175,1
177,1
178,2
180,1
182,2
185,1
186,2
188,1
189,1
193,1
197,1
198,2
200,7
203,3
205,1
207,4
208,1
216,1
217,15
220,1
222,2
226,6
228,2
229,4
232,5
233,1
235,2
236,2
247,1
249,1
253,2
254,3
255,1
264,1
268,1
276,2
279,2
282,3
283,1
286,1
289,1
290,1
319,3
321,1
322,8
323,2
324,2
326,16
327,10
328,2
336,17
340,1
341,2
343,1
345,2
346,2
348,1
349,1
352,1
354,1
357,1
361,4
362,2
363,2
364,1
368,1
369,2
370,2
371,1
372,1
373,1
376,2
377,1
378,1
381,9
382,4
390,1
391,1
393,8
397,1
406,1
407,1
408,1
409,2
410,1
411,1
412,2
414,1
415,1
416,1
418,2
425,1
428,2
430,2
431,1
432,12
434,24
437,13
438,19
443,19
444,2
446,2
456,1
467,1
469,6
472,4
483,1
487,7
488,1
489,2
490,1
492,3
493,3
501,19
502,1
503,9
504,1
505,3
511,1
519,16
521,1
522,6
524,1
527,1
528,5
529,2
530,2
532,3
533,4
535,4
541,1
542,14
543,1
545,5
546,2
550,2
551,1
562,4
564,1
566,1
570,2
575,1
582,12
583,3
584,3
591,1
596,1
600,4
609,4
616,1
618,7
622,2
632,1
633,2
634,1
635,1
636,3
638,1
643,1
646,2
647,1
651,2
652,3
658,2
665,1
668,3
669,14
676,1
682,1
698,4
704,8
712,3
715,3
718,1
720,8
729,1
733,1
744,3
745,12
746,1
749,3
754,1
755,2
758,1
759,1
762,1
764,1
766,1
769,2
778,2
780,8
785,2
790,1
793,1
796,1
805,1
808,1
835,1
836,3
840,5
845,3
846,3
847,1
849,1
851,9
852,2
859,1
863,1
865,1
866,1
875,5
877,1
884,1
888,1
890,2
891,2
893,1
897,1
898,7
903,2
908,6
909,1
915,1
917,2
918,2
922,2
923,1
924,2
925,1
926,2
933,2
939,1
947,5
948,6
949,2
964,3
974,2
975,1
979,7
982,3
990,2
1003,1
1007,2
1009,14
1010,1
1011,1
1012,2
1014,1
1016,2
1022,1
1023,2
1024,1
1026,6
1027,4
1034,3
1045,2
1046,2
1051,3
1052,4
1053,3
1055,8
1056,2
1057,2
1058,2
1059,10
1061,5
1062,1
1064,2
1065,16
1071,1
1072,8
1076,2
1081,2
1089,1
1094,1
1095,2
1096,3
1097,1
1098,7
1101,5
1104,1
1105,3
1106,1
1107,1
1108,1
1109,1
1110,1
1111,10
1113,5
1115,2
1116,4
1118,3
1121,5
1123,1
1124,1
1125,1
1126,4
1138,1
1140,11
1141,2
1143,2
1144,4
1148,2
1150,1
1151,1
1156,3
1160,1
1162,2
1167,2
1168,1
1172,4
1175,10
1177,1
1182,1
1185,1
1187,1
1188,1
1189,1
1200,1
1203,23
1206,17
1208,1
1210,1
1212,2
1215,1
1216,2
1220,2
