"","x"
"1",7
"3",3
"8",4
"9",2
"10",7
"11",3
"13",2
"14",4
"15",4
"16",10
"17",3
"25",1
"27",5
"30",5
"33",5
"42",1
"43",8
"44",1
"51",5
"52",4
"62",2
"63",4
"64",1
"66",3
"68",2
"69",1
"70",2
"87",1
"96",2
"97",5
"101",2
"109",2
"125",2
"136",4
"139",2
"140",2
"145",2
"150",2
"151",2
"154",5
"155",2
"157",22
"158",1
"165",24
"178",2
"180",1
"182",2
"185",2
"186",3
"188",1
"198",2
"200",9
"207",5
"216",2
"217",25
"226",9
"232",8
"233",2
"234",1
"235",3
"240",1
"247",2
"248",1
"249",1
"254",4
"255",1
"276",4
"283",2
"284",1
"286",1
"290",1
"319",6
"322",8
"324",4
"326",19
"327",14
"328",3
"331",1
"336",21
"341",4
"343",1
"345",4
"346",2
"354",1
"357",1
"361",4
"362",3
"363",2
"364",1
"368",1
"369",4
"370",2
"371",1
"372",1
"373",1
"376",2
"377",2
"378",1
"381",10
"382",5
"390",1
"391",1
"393",16
"407",2
"408",1
"409",2
"414",1
"415",1
"416",2
"418",3
"425",2
"428",2
"430",2
"431",1
"432",20
"434",32
"437",21
"438",30
"443",23
"444",3
"446",2
"456",1
"467",3
"469",9
"472",9
"476",1
"477",2
"487",16
"488",5
"492",8
"493",8
"494",4
"501",25
"502",8
"503",12
"505",3
"516",1
"519",22
"522",12
"528",10
"529",5
"530",7
"532",6
"533",4
"535",9
"541",2
"542",20
"543",1
"545",7
"546",2
"549",1
"550",5
"551",6
"562",5
"571",1
"575",2
"582",19
"583",4
"584",4
"591",3
"596",2
"600",5
"609",6
"616",1
"618",8
"620",1
"622",4
"632",2
"633",5
"634",1
"635",1
"636",4
"643",2
"644",1
"646",2
"651",2
"652",3
"658",3
"668",3
"669",22
"676",2
"698",7
"704",12
"712",3
"715",4
"716",1
"718",3
"720",10
"744",3
"745",14
"746",4
"749",4
"758",2
"762",2
"766",2
"769",2
"778",3
"780",12
"785",5
"796",2
"805",3
"808",2
"826",2
"836",3
"840",9
"845",4
"846",3
"851",17
"852",5
