node,ortho,phono
1,a,x
3,aback,xb@k
8,abase,xbes
9,abash,xb@S
10,abate,xbet
11,abatis,@bxti
13,abbacy,@bxsi
14,abbe,@be
15,abbess,@bxs
16,abbey,@bi
17,abbot,@bxt
25,abeam,xbim
27,abed,xbEd
30,abet,xbEt
33,abide,xbYd
42,ablaze,xblez
43,able,ebL
44,abloom,xblum
51,aboard,xbord
52,abode,xbod
62,abound,xbWnd
63,about,xbWt
64,above,xb^v
66,abrade,xbred
68,abreast,xbrEst
69,abridge,xbrIJ
70,abroad,xbrcd
87,abstain,xbsten
96,abuse,xbyuz
97,abut,xb^t
101,abyss,xbIs
109,accede,@ksid
125,acclaim,xklem
136,accord,xkord
139,accost,xkcst
140,account,xkWnt
145,accrue,xkru
150,accursed,xkRst
151,accusal,xkyuzL
154,accuse,xkyuz
155,accuser,xkyuzX
157,ace,es
158,acerb,xsRb
165,ache,ek
178,acorn,ekorn
180,acquaint,xkwent
182,acquire,xkwYr
185,acquit,xkwIt
186,acre,ekX
188,acrid,@krxd
198,across,xkrcs
200,act,@kt
207,actor,@ktX
216,acute,xkyut
217,ad,@d
226,adder,@dX
232,addle,@dL
233,address,@drEs
234,addressee,@drEsi
235,adduce,xdus
240,adieu,xdyu
247,adjoin,xJOn
248,adjourn,xJRn
249,adjudge,xJ^J
254,adjure,xJUr
255,adjust,xJ^st
276,ado,xdu
283,adore,xdor
284,adorn,xdorn
286,adrift,xdrIft
290,adult,xd^lt
319,adze,@dz
322,aerate,Eret
324,aerial,@riL
326,aerie,Eri
327,aero,Ero
328,aerobe,Erob
331,aeronaut,@rxnct
336,aery,@ri
341,afar,xfar
343,affable,@fxbL
345,affair,xfEr
346,affect,xfEkt
354,affirm,xfRm
357,affix,xfIks
361,afford,xford
362,affray,xfre
363,affright,xfrYt
364,affront,xfr^nt
368,afield,xfild
369,afire,xfYr
370,aflame,xflem
371,afloat,xflot
372,aflutter,xfl^tX
373,afoot,xfUt
376,afoul,xfWl
377,afraid,xfred
378,afresh,xfrES
381,aft,@ft
382,after,@ftX
390,agape,xgep
391,agate,@gxt
393,age,eJ
407,aggrieve,xgriv
408,aghast,xg@st
409,agile,@JL
414,agleam,xglim
415,aglitter,xglItX
416,aglow,xglo
418,ago,xgo
425,agree,xgri
428,aground,xgrWnd
430,ahead,xhEd
431,ahoy,xhO
432,aid,ed
434,ail,el
437,aim,em
438,air,Er
443,aisle,Yl
444,ajar,xJar
446,akin,xkIn
456,album,@lbxm
467,alder,cldX
469,alee,xli
472,alert,xlRt
476,alga,@lgx
477,algae,@lJi
487,alight,xlYt
488,alike,xlYk
492,aline,xlYn
493,alit,xlIt
494,alive,xlYv
501,all,cl
502,Allah,@lx
503,allay,xle
505,allege,xlEJ
516,allergy,@lXJi
519,alley,@li
522,allied,xlYd
528,allot,xlat
529,allow,xlW
530,alloy,@lO
532,allude,xlud
533,allure,xlUr
535,ally,@lY
541,alms,amz
542,aloe,@lo
543,aloft,xlcft
545,alone,xlon
546,along,xlcG
