lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50
a,1,a,x,7,4,3,6,1
aback,3,aback,xb@k,3,2,1,2,1
abase,8,abase,xbes,4,3,1,2,2
abash,9,abash,xb@S,2,1,1,1,1
abate,10,abate,xbet,7,6,1,3,4
abatis,11,abatis,@bxti,3,2,1,1,2
abbacy,13,abbacy,@bxsi,2,1,1,0,2
abbe,14,abbe,@be,4,3,1,3,1
abbess,15,abbess,@bxs,4,3,1,2,2
abbey,16,abbey,@bi,10,5,5,9,1
abbot,17,abbot,@bxt,3,2,1,1,2
abeam,25,abeam,xbim,1,0,1,1,0
abed,27,abed,xbEd,5,4,1,2,3
abet,30,abet,xbEt,5,4,1,1,4
abide,33,abide,xbYd,5,4,1,3,2
ablaze,42,ablaze,xblez,1,0,1,1,0
able,43,able,ebL,8,1,7,8,0
abloom,44,abloom,xblum,1,0,1,1,0
aboard,51,aboard,xbord,5,3,2,4,1
abode,52,abode,xbod,4,2,2,1,3
abound,62,abound,xbWnd,2,1,1,2,0
about,63,about,xbWt,4,3,1,1,3
above,64,above,xb^v,1,1,0,0,1
abrade,66,abrade,xbred,3,2,1,2,1
abreast,68,abreast,xbrEst,2,0,2,2,0
abridge,69,abridge,xbrIJ,1,0,1,1,0
abroad,70,abroad,xbrcd,2,1,1,1,1
abstain,87,abstain,xbsten,1,0,1,1,0
abuse,96,abuse,xbyuz,2,2,0,2,0
abut,97,abut,xb^t,5,4,1,1,4
abyss,101,abyss,xbIs,2,2,0,1,1
accede,109,accede,@ksid,2,2,0,1,1
acclaim,125,acclaim,xklem,2,1,1,2,0
accord,136,accord,xkord,4,3,1,4,0
accost,139,accost,xkcst,2,1,1,2,0
account,140,account,xkWnt,2,1,1,2,0
accrue,145,accrue,xkru,2,1,1,2,0
accursed,150,accursed,xkRst,2,2,0,2,0
accusal,151,accusal,xkyuzL,2,1,1,0,2
accuse,154,accuse,xkyuz,5,3,2,2,3
accuser,155,accuser,xkyuzX,2,1,1,0,2
ace,157,ace,es,22,12,10,14,8
acerb,158,acerb,xsRb,1,1,0,0,1
ache,165,ache,ek,24,12,12,15,9
acorn,178,acorn,ekorn,2,1,1,2,0
acquaint,180,acquaint,xkwent,1,0,1,1,0
acquire,182,acquire,xkwYr,2,1,1,2,0
acquit,185,acquit,xkwIt,2,1,1,1,1
acre,186,acre,ekX,3,1,2,2,1
acrid,188,acrid,@krxd,1,0,1,1,0
across,198,across,xkrcs,2,0,2,2,0
act,200,act,@kt,9,4,5,7,2
actor,207,actor,@ktX,5,2,3,4,1
acute,216,acute,xkyut,2,1,1,1,1
ad,217,ad,@d,25,10,15,15,10
adder,226,adder,@dX,9,6,3,6,3
addle,232,addle,@dL,8,5,3,5,3
address,233,address,@drEs,2,0,2,1,1
addressee,234,addressee,@drEsi,1,0,1,0,1
adduce,235,adduce,xdus,3,1,2,2,1
adieu,240,adieu,xdyu,1,0,1,0,1
adjoin,247,adjoin,xJOn,2,1,1,1,1
adjourn,248,adjourn,xJRn,1,1,0,0,1
adjudge,249,adjudge,xJ^J,1,0,1,1,0
adjure,254,adjure,xJUr,4,4,0,3,1
adjust,255,adjust,xJ^st,1,0,1,1,0
ado,276,ado,xdu,4,1,3,2,2
adore,283,adore,xdor,2,1,1,1,1
adorn,284,adorn,xdorn,1,0,1,0,1
adrift,286,adrift,xdrIft,1,0,1,1,0
adult,290,adult,xd^lt,1,1,0,1,0
adze,319,adze,@dz,6,4,2,3,3
aerate,322,aerate,Eret,8,7,1,8,0
aerial,324,aerial,@riL,4,2,2,2,2
aerie,326,aerie,Eri,19,10,9,16,3
aero,327,aero,Ero,14,10,4,10,4
aerobe,328,aerobe,Erob,3,1,2,2,1
aeronaut,331,aeronaut,@rxnct,1,0,1,0,1
aery,336,aery,@ri,21,11,10,17,4
afar,341,afar,xfar,4,3,1,2,2
affable,343,affable,@fxbL,1,1,0,1,0
affair,345,affair,xfEr,4,3,1,2,2
affect,346,affect,xfEkt,2,2,0,2,0
affirm,354,affirm,xfRm,1,0,1,1,0
affix,357,affix,xfIks,1,0,1,1,0
afford,361,afford,xford,4,3,1,4,0
affray,362,affray,xfre,3,0,3,2,1
affright,363,affright,xfrYt,2,0,2,2,0
affront,364,affront,xfr^nt,1,0,1,1,0
afield,368,afield,xfild,1,0,1,1,0
afire,369,afire,xfYr,4,3,1,2,2
aflame,370,aflame,xflem,2,1,1,2,0
afloat,371,afloat,xflot,1,0,1,1,0
aflutter,372,aflutter,xfl^tX,1,0,1,1,0
afoot,373,afoot,xfUt,1,0,1,1,0
afoul,376,afoul,xfWl,2,0,2,2,0
afraid,377,afraid,xfred,2,1,1,1,1
afresh,378,afresh,xfrES,1,0,1,1,0
aft,381,aft,@ft,10,4,6,9,1
after,382,after,@ftX,5,2,3,4,1
agape,390,agape,xgep,1,0,1,1,0
agate,391,agate,@gxt,1,1,0,1,0
age,393,age,eJ,16,10,6,8,8
aggrieve,407,aggrieve,xgriv,2,0,2,1,1
aghast,408,aghast,xg@st,1,1,0,1,0
agile,409,agile,@JL,2,2,0,2,0
agleam,414,agleam,xglim,1,0,1,1,0
aglitter,415,aglitter,xglItX,1,0,1,1,0
aglow,416,aglow,xglo,2,0,2,1,1
ago,418,ago,xgo,3,1,2,2,1
agree,425,agree,xgri,2,0,2,1,1
aground,428,aground,xgrWnd,2,0,2,2,0
ahead,430,ahead,xhEd,2,1,1,2,0
ahoy,431,ahoy,xhO,1,1,0,1,0
aid,432,aid,ed,20,12,8,12,8
ail,434,ail,el,32,16,16,24,8
aim,437,aim,em,21,11,10,13,8
air,438,air,Er,30,13,17,19,11
aisle,443,aisle,Yl,23,11,12,19,4
ajar,444,ajar,xJar,3,2,1,2,1
akin,446,akin,xkIn,2,1,1,2,0
album,456,album,@lbxm,1,0,1,1,0
alder,467,alder,cldX,3,2,1,1,2
alee,469,alee,xli,9,7,2,6,3
alert,472,alert,xlRt,9,9,0,4,5
alga,476,alga,@lgx,1,0,1,0,1
algae,477,algae,@lJi,2,0,2,0,2
alight,487,alight,xlYt,16,14,2,7,9
alike,488,alike,xlYk,5,4,1,1,4
aline,492,aline,xlYn,8,6,2,3,5
alit,493,alit,xlIt,8,7,1,3,5
alive,494,alive,xlYv,4,4,0,0,4
all,501,all,cl,25,12,13,19,6
allah,502,Allah,@lx,8,5,3,1,7
allay,503,allay,xle,12,8,4,9,3
allege,505,allege,xlEJ,3,2,1,3,0
allergy,516,allergy,@lXJi,1,0,1,0,1
alley,519,alley,@li,22,13,9,16,6
allied,522,allied,xlYd,12,10,2,6,6
allot,528,allot,xlat,10,9,1,5,5
allow,529,allow,xlW,5,4,1,2,3
alloy,530,alloy,@lO,7,7,0,2,5
allude,532,allude,xlud,6,3,3,3,3
allure,533,allure,xlUr,4,3,1,4,0
ally,535,ally,@lY,9,8,1,4,5
alms,541,alms,amz,2,2,0,1,1
aloe,542,aloe,@lo,20,11,9,14,6
aloft,543,aloft,xlcft,1,0,1,1,0
alone,545,alone,xlon,7,5,2,5,2
along,546,along,xlcG,2,0,2,2,0
aloof,549,aloof,xluf,1,1,0,0,1
aloud,550,aloud,xlWd,5,3,2,2,3
alp,551,alp,@lp,6,6,0,1,5
altar,562,altar,cltX,5,1,4,4,1
alto,571,alto,@lto,1,0,1,0,1
alum,575,alum,@lxm,2,0,2,1,1
am,582,am,@m,19,9,10,12,7
amah,583,amah,amx,4,1,3,3,1
amain,584,amain,xmen,4,3,1,3,1
amass,591,amass,xm@s,3,2,1,1,2
amaze,596,amaze,xmez,2,1,1,1,1
amber,600,amber,@mbX,5,3,2,4,1
amble,609,amble,@mbL,6,3,3,4,2
amen,616,amen,emEn,1,0,1,1,0
amend,618,amend,xmEnd,8,5,3,7,1
