"","x"
"1",3
"3",1
"8",1
"9",1
"10",1
"11",1
"13",1
"14",1
"15",1
"16",5
"17",1
"25",1
"27",1
"30",1
"33",1
"42",1
"43",7
"44",1
"51",2
"52",2
"62",1
"63",1
"64",0
"66",1
"68",2
"69",1
"70",1
"87",1
"96",0
"97",1
"101",0
"109",0
"125",1
"136",1
"139",1
"140",1
"145",1
"150",0
"151",1
"154",2
"155",1
"157",10
"158",0
"165",12
"178",1
"180",1
"182",1
"185",1
"186",2
"188",1
"198",2
"200",5
"207",3
"216",1
"217",15
"226",3
"232",3
"233",2
"234",1
"235",2
"240",1
"247",1
"248",0
"249",1
"254",0
"255",1
"276",3
"283",1
"284",1
"286",1
"290",0
"319",2
"322",1
"324",2
"326",9
"327",4
"328",2
"331",1
"336",10
"341",1
"343",0
"345",1
"346",0
"354",1
"357",1
"361",1
"362",3
"363",2
"364",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"376",2
"377",1
"378",1
"381",6
"382",3
"390",1
"391",0
"393",6
"407",2
"408",0
"409",0
"414",1
"415",1
"416",2
"418",2
"425",2
"428",2
"430",1
"431",0
"432",8
"434",16
"437",10
"438",17
"443",12
"444",1
"446",1
"456",1
"467",1
"469",2
"472",0
"476",1
"477",2
"487",2
"488",1
"492",2
"493",1
"494",0
"501",13
"502",3
"503",4
"505",1
"516",1
"519",9
"522",2
"528",1
"529",1
"530",0
"532",3
"533",1
"535",1
"541",0
"542",9
"543",1
"545",2
"546",2
"549",0
"550",2
"551",0
"562",4
"571",1
"575",2
"582",10
"583",3
"584",1
"591",1
"596",1
"600",2
"609",3
"616",1
"618",3
"620",1
"622",0
"632",1
"633",1
"634",0
"635",1
"636",2
"643",1
"644",0
"646",1
"651",1
"652",0
"658",2
"668",1
"669",11
"676",1
"698",5
"704",10
"712",0
"715",2
"716",1
"718",1
"720",7
"744",0
"745",12
"746",2
"749",2
"758",0
"762",1
"766",2
"769",0
"778",2
"780",8
"785",4
"796",1
"805",1
"808",1
"826",1
"836",1
"840",5
"845",1
"846",2
"851",7
"852",1
"865",1
"866",1
"875",2
"878",0
"884",1
"888",1
"890",1
"891",1
"893",1
"898",1
"906",0
"907",0
"908",3
"915",2
"917",3
"918",2
"919",1
"926",1
"933",2
"938",1
"939",2
"947",4
"948",2
"960",1
"964",3
"974",2
"979",8
"982",5
"989",2
"990",1
"1007",1
"1009",13
"1010",2
"1022",0
"1023",1
"1026",3
"1027",3
"1034",6
"1044",2
"1046",2
"1048",2
"1052",2
"1053",1
"1055",3
"1056",2
"1057",2
"1058",1
"1059",3
"1061",2
"1062",1
"1065",7
"1071",1
"1072",9
"1076",1
"1095",4
"1096",2
"1097",2
"1098",4
"1101",1
"1104",0
"1105",1
"1111",11
"1115",1
"1116",2
"1118",1
"1121",5
"1123",1
"1124",1
"1125",1
"1126",4
"1138",1
"1140",11
"1141",1
"1143",2
"1144",3
"1148",0
"1151",1
"1156",1
"1160",1
"1162",1
"1167",1
"1168",1
"1172",2
"1173",1
"1175",4
"1177",2
"1182",2
"1188",1
"1189",1
"1200",1
"1203",19
"1206",13
"1210",1
"1212",1
"1215",1
"1216",1
"1220",1
"1221",1
"1225",2
"1227",1
"1228",1
"1229",1
"1235",0
"1238",1
"1239",2
"1243",2
"1244",12
"1245",1
"1246",1
"1248",1
"1251",1
"1253",3
"1254",1
"1258",1
"1265",1
"1285",0
"1286",13
"1291",8
"1292",3
"1293",0
"1294",4
"1297",0
"1298",0
"1304",1
"1312",0
"1319",2
"1337",1
"1341",1
"1346",1
"1348",1
"1350",0
"1352",3
"1355",2
"1356",1
"1357",1
"1363",0
"1370",2
"1372",2
"1373",3
"1375",2
"1376",2
"1378",1
"1379",1
"1380",1
"1381",16
"1382",1
"1383",3
"1386",1
"1387",1
"1388",1
"1390",7
"1391",0
"1392",1
"1393",3
"1394",5
"1395",1
"1399",2
"1400",21
"1401",3
"1405",0
"1406",11
"1407",0
"1408",3
"1409",2
"1412",1
"1418",4
"1428",3
"1429",1
"1430",1
"1433",1
"1434",2
"1437",0
"1439",1
"1442",3
"1443",3
"1447",1
"1448",4
"1449",3
"1450",3
"1457",2
"1462",0
"1464",1
"1465",3
"1466",0
"1467",1
"1470",0
"1472",0
"1473",1
"1476",1
"1482",5
"1486",6
"1497",2
"1498",4
"1499",1
"1500",1
"1501",0
"1505",4
"1508",2
"1510",1
"1513",0
"1515",2
"1517",0
"1524",7
"1525",4
"1532",2
"1534",2
"1539",2
"1540",5
"1542",1
"1545",4
"1547",1
"1548",0
"1549",1
"1558",0
"1564",0
"1567",0
"1570",1
"1572",0
"1573",1
"1574",1
"1576",7
"1578",3
"1579",1
"1581",0
"1584",1
"1586",3
"1588",5
"1590",1
"1593",3
"1595",2
"1598",7
"1599",0
"1600",0
"1601",1
"1605",0
"1607",1
"1610",1
"1612",1
"1613",1
"1614",4
"1615",1
"1616",0
"1617",1
"1618",0
"1620",0
"1621",13
"1624",2
"1627",4
"1630",5
"1631",1
"1632",1
"1633",5
"1634",2
"1635",1
"1636",2
"1637",2
"1638",1
"1639",2
"1640",1
"1642",2
"1643",7
"1644",2
"1648",12
"1654",3
"1655",1
"1656",0
"1659",0
"1662",0
"1664",4
"1668",1
"1676",2
"1678",2
"1679",3
"1681",1
"1682",1
"1683",0
"1685",0
"1687",1
"1690",1
"1692",1
"1705",1
"1706",0
"1708",1
"1714",0
"1715",0
"1717",5
"1724",2
"1726",1
"1727",1
"1728",2
"1732",1
"1733",3
"1746",1
"1753",0
"1755",1
"1756",2
"1759",3
"1761",2
"1762",2
"1770",3
"1774",5
"1776",1
"1778",1
"1781",0
