node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
5428,eaten,itN,3,1,2,2,1,eaten,2,4,469,5,54,7,927,3526,325,3412832,5,1
6870,fun,f^n,25,22,3,19,6,fun,1,3,388,4,91,25,12010,24061,7103,108402779,4,1
5296,droop,drup,9,7,2,4,5,droop,1,4,324,6,30,6,17,142,2,160489,5,1
14302,real,riL,16,12,4,4,12,real,1,3,371,5,192,32,22583,83094,24403,297702750,4,1
7606,halves,h@vz,7,4,3,4,3,halves,1,4,500,6,18,8,56,1160,24,1070410,4,1
18932,where,hwEr,7,4,3,4,3,where,1,3,332,6,115,6,93341,258804,73309,360478571,4,1
16938,talc,t@lk,5,4,1,0,5,talc,1,4,365,5,15,6,12,57,2,342091,5,1
6209,fan,f@n,21,20,1,17,4,fan,1,3,423,4,106,48,1792,9085,1944,47059257,4,1
10476,marquee,marki,4,2,2,0,4,marquee,2,5,551,8,55,4,27,548,88,1137374,6,1
7221,globe,glob,8,5,3,1,7,globe,1,4,439,6,19,10,266,4955,1075,14557011,5,1
11939,onyx,anIks,1,0,1,1,0,onyx,2,5,569,3,14,3,17,220,8,2323594,4,1
19055,win,wIn,31,25,6,19,12,win,1,3,410,4,144,49,6867,32455,9608,65271643,4,1
7041,gawky,gcki,1,0,1,0,1,gawky,2,4,412,5,17,1,14,66,3,32782,4,1
17431,toe,to,31,19,12,16,15,toe,1,2,338,4,151,56,647,3359,330,14254439,3,1
17771,trough,trcf,2,2,0,0,2,trough,1,4,465,7,15,11,72,557,57,1395096,5,1
5163,dolly,dali,13,12,1,11,2,dolly,2,4,529,6,103,21,306,872,145,2268877,5,2
10795,midday,mIde,4,3,1,0,4,midday,2,5,466,6,1,1,42,970,84,1059877,4,2
14812,rider,rYdX,6,4,2,3,3,rider,2,4,323,6,68,28,393,2159,137,8989575,5,2
6557,flog,flag,4,4,0,1,3,flog,1,4,597,5,25,18,15,56,5,227677,5,1
19258,yell,yEl,19,16,3,14,5,yell,1,3,329,5,77,20,939,1555,269,1654034,4,1
18673,void,vOd,4,2,2,2,2,void,1,3,461,5,18,6,209,1839,206,32492676,4,1
8127,hunch,h^nC,9,7,2,5,4,hunch,1,4,454,6,20,9,383,631,128,330785,5,1
6612,fog,fcg,10,9,1,7,3,fog,1,3,518,4,51,30,482,3065,233,6897025,4,1
4432,danger,denJX,2,2,0,2,0,danger,2,5,419,7,6,26,2227,11331,3176,13212871,6,1
15722,sink,sIGk,17,12,5,14,3,sink,1,4,459,5,55,36,863,5489,494,8121285,5,1
17586,trample,tr@mpL,2,0,2,0,2,trample,2,7,544,8,8,4,41,142,22,527795,8,1
15853,smear,smIr,8,6,2,7,1,smear,1,4,480,6,32,9,111,881,232,1289528,5,1
14057,quake,kwek,9,6,3,3,6,quake,1,4,422,6,25,7,82,1466,323,4544751,5,1
4282,cuff,k^f,16,16,0,10,6,cuff,1,3,389,5,64,14,291,1339,99,2625819,4,1
6277,fear,fIr,31,27,4,23,8,fear,1,3,429,5,104,28,3523,27002,5643,28053342,4,1
9268,jabber,J@bX,3,2,1,2,1,jabber,2,4,489,6,9,4,25,41,3,2858295,4,1
14315,rear,rIr,32,29,3,21,11,rear,1,3,489,5,101,35,634,7406,459,22323354,4,1
2483,calve,k@v,17,15,2,5,12,calve,1,3,307,6,46,12,0,33,2,62571,4,1
15350,sector,sEktX,9,6,3,8,1,sector,2,5,608,7,32,8,360,10372,1975,48747184,6,1
16413,stood,stUd,4,4,0,0,4,stood,1,4,569,5,13,3,1315,27174,2276,11116938,4,1
14085,quell,kwEl,5,4,1,3,2,quell,1,4,316,6,20,7,17,436,70,295959,5,1
9949,line,lYn,32,28,4,20,12,line,1,3,328,5,123,59,10515,70663,14206,280022418,4,1
5358,dune,dun,27,26,1,18,9,dune,1,3,408,5,113,29,51,476,20,1927380,4,1
7679,has,h@z,20,18,2,8,12,has,1,3,473,4,90,58,57830,657027,172721,1046332086,4,1
1412,baby,bebi,5,4,1,3,2,baby,2,4,372,5,55,17,25978,34012,8993,117716269,5,1
13849,prove,pruv,5,4,1,2,3,prove,1,4,466,6,16,12,3590,12104,3069,16047152,5,1
182,acquire,xkwYr,2,1,1,2,0,acquire,3,5,614,8,6,4,135,3452,277,8807297,6,1
10136,lousy,lWzi,2,1,1,2,0,lousy,2,4,448,5,17,4,1210,1342,277,1095083,5,1
2750,catch,k@C,20,19,1,9,11,catch,1,3,579,6,75,9,6911,16857,2617,20403264,4,1
373,afoot,xfUt,1,0,1,1,0,afoot,2,4,448,4,2,1,52,303,46,367802,3,1
17557,trace,tres,13,11,2,4,9,trace,1,4,455,6,35,23,989,4718,511,11706634,5,1
1920,blight,blYt,12,10,2,7,5,blight,1,4,332,7,28,8,29,550,27,906914,5,1
11222,muck,m^k,25,22,3,14,11,muck,1,3,460,5,106,25,97,591,52,1305552,4,1
4072,court,kort,17,14,3,8,9,court,1,4,400,6,81,6,5137,66292,24723,127722336,5,1
7380,gravel,gr@vL,6,4,2,4,2,gravel,2,6,579,7,14,16,73,2430,92,3294483,7,1
1643,beat,bit,33,26,7,22,11,beat,1,3,385,5,122,37,6716,21369,3686,27621105,4,1
17102,ten,tEn,27,22,5,21,6,ten,1,3,429,4,109,46,7395,27479,3708,46917465,4,1
11778,oath,oT,12,9,3,3,9,oath,1,2,352,5,43,19,504,1792,640,2684269,3,1
11388,narrow,n@ro,6,5,1,6,0,narrow,2,4,394,7,52,15,358,10916,909,18585597,5,1
13196,poach,poC,15,14,1,8,7,poach,1,3,439,6,41,9,17,117,11,75120,4,1
9767,ledger,lEJX,6,5,1,1,5,ledger,2,4,589,7,35,10,62,737,131,2840827,5,1
17034,team,tim,19,17,2,12,7,team,1,3,378,5,78,22,7528,67180,9117,171698717,4,1
10979,mix,mIks,7,5,2,5,2,mix,1,4,446,4,74,26,834,12485,1451,32437743,5,1
4576,defend,dxfEnd,3,2,1,2,1,defend,2,6,538,7,7,3,959,6878,2369,7362127,7,2
5696,enough,In^f,1,1,0,1,0,enough,2,4,496,7,6,1,25568,94927,19713,83595746,5,1
11974,opt,apt,2,2,0,2,0,opt,1,3,350,4,23,18,20,1906,239,10770523,4,1
2289,build,bIld,11,9,2,3,8,build,1,4,399,6,45,5,2452,24757,4959,77204399,5,1
6404,filial,fIliL,1,0,1,0,1,filial,3,6,529,5,0,0,15,205,1,218828,5,1
6846,fruit,frut,7,6,1,3,4,fruit,1,4,305,6,24,3,1108,10882,654,22768964,5,1
9330,jig,JIg,17,15,2,10,7,jig,1,3,375,4,47,24,87,537,19,1393707,4,1
14858,risque,rIske,1,0,1,0,1,risque,2,5,417,4,9,2,7,96,25,529634,5,1
