"","x"
"1",6
"3",2
"8",2
"9",1
"10",3
"11",1
"13",0
"14",3
"15",2
"16",9
"17",1
"25",1
"27",2
"30",1
"33",3
"42",1
"43",8
"44",1
"51",4
"52",1
"62",2
"63",1
"64",0
"66",2
"68",2
"69",1
"70",1
"87",1
"96",2
"97",1
"101",1
"109",1
"125",2
"136",4
"139",2
"140",2
"145",2
"150",2
"151",0
"154",2
"155",0
"157",14
"158",0
"165",15
"178",2
"180",1
"182",2
"185",1
"186",2
"188",1
"198",2
"200",7
"207",4
"216",1
"217",15
"226",6
"232",5
"233",1
"234",0
"235",2
"240",0
"247",1
"248",0
"249",1
"254",3
"255",1
"276",2
"283",1
"284",0
"286",1
"290",1
"319",3
"322",8
"324",2
"326",16
"327",10
"328",2
"331",0
"336",17
"341",2
"343",1
"345",2
"346",2
"354",1
"357",1
"361",4
"362",2
"363",2
"364",1
"368",1
"369",2
"370",2
"371",1
"372",1
"373",1
"376",2
"377",1
"378",1
"381",9
"382",4
"390",1
"391",1
"393",8
"407",1
"408",1
"409",2
"414",1
"415",1
"416",1
"418",2
"425",1
"428",2
"430",2
"431",1
"432",12
"434",24
"437",13
"438",19
"443",19
"444",2
"446",2
"456",1
"467",1
"469",6
"472",4
"476",0
"477",0
"487",7
"488",1
"492",3
"493",3
"494",0
"501",19
"502",1
"503",9
"505",3
"516",0
"519",16
"522",6
"528",5
"529",2
"530",2
"532",3
"533",4
"535",4
"541",1
"542",14
"543",1
"545",5
"546",2
"549",0
"550",2
"551",1
"562",4
"571",0
"575",1
"582",12
"583",3
"584",3
"591",1
"596",1
"600",4
"609",4
"616",1
"618",7
"620",0
"622",2
"632",1
"633",2
"634",1
"635",1
"636",3
"643",1
"644",0
"646",2
"651",2
"652",3
"658",2
"668",3
"669",14
"676",1
"698",4
"704",8
"712",3
"715",3
"716",0
"718",1
"720",8
"744",3
"745",12
"746",1
"749",3
"758",1
"762",1
"766",1
"769",2
"778",2
"780",8
"785",2
"796",1
"805",1
"808",1
"826",0
"836",3
"840",5
"845",3
"846",3
"851",9
"852",2
"865",1
"866",1
"875",5
"878",0
"884",1
"888",1
"890",2
"891",2
"893",1
"898",7
"906",0
"907",0
"908",6
"915",1
"917",2
"918",2
"919",0
"926",2
"933",2
"938",0
"939",1
"947",5
"948",6
"960",0
"964",3
"974",2
"979",7
"982",3
"989",0
"990",2
"1007",2
"1009",14
"1010",1
"1022",1
"1023",2
"1026",6
"1027",4
"1034",3
"1044",0
"1046",2
"1048",0
"1052",4
"1053",3
"1055",8
"1056",2
"1057",2
"1058",2
"1059",10
"1061",5
"1062",1
"1065",16
"1071",1
"1072",8
"1076",2
"1095",2
"1096",3
"1097",1
"1098",7
"1101",5
"1104",1
"1105",3
"1111",10
"1115",2
"1116",4
"1118",3
"1121",5
"1123",1
"1124",1
"1125",1
"1126",4
"1138",1
"1140",11
"1141",2
"1143",2
"1144",4
"1148",2
"1151",1
"1156",3
"1160",1
"1162",2
"1167",2
"1168",1
"1172",4
"1173",0
"1175",10
"1177",1
"1182",1
"1188",1
"1189",1
"1200",1
"1203",23
"1206",17
"1210",1
"1212",2
"1215",1
"1216",2
"1220",2
"1221",3
"1225",1
"1227",0
"1228",3
"1229",2
