"","x"
"1",1
"3",1
"8",2
"9",1
"10",4
"11",2
"13",2
"14",1
"15",2
"16",1
"17",2
"25",0
"27",3
"30",4
"33",2
"42",0
"43",0
"44",0
"51",1
"52",3
"62",0
"63",3
"64",1
"66",1
"68",0
"69",0
"70",1
"87",0
"96",0
"97",4
"101",1
"109",1
"125",0
"136",0
"139",0
"140",0
"145",0
"150",0
"151",2
"154",3
"155",2
"157",8
"158",1
"165",9
"178",0
"180",0
"182",0
"185",1
"186",1
"188",0
"198",0
"200",2
"207",1
"216",1
"217",10
"226",3
"232",3
"233",1
"234",1
"235",1
"240",1
"247",1
"248",1
"249",0
"254",1
"255",0
"276",2
"283",1
"284",1
"286",0
"290",0
"319",3
"322",0
"324",2
"326",3
"327",4
"328",1
"331",1
"336",4
"341",2
"343",0
"345",2
"346",0
"354",0
"357",0
"361",0
"362",1
"363",0
"364",0
"368",0
"369",2
"370",0
"371",0
"372",0
"373",0
"376",0
"377",1
"378",0
"381",1
"382",1
"390",0
"391",0
"393",8
"407",1
"408",0
"409",0
"414",0
"415",0
"416",1
"418",1
"425",1
"428",0
"430",0
"431",0
"432",8
"434",8
"437",8
"438",11
"443",4
"444",1
"446",0
"456",0
"467",2
"469",3
"472",5
"476",1
"477",2
"487",9
"488",4
"492",5
"493",5
"494",4
"501",6
"502",7
"503",3
"505",0
"516",1
"519",6
"522",6
"528",5
"529",3
"530",5
"532",3
"533",0
"535",5
"541",1
"542",6
"543",0
"545",2
"546",0
"549",1
"550",3
"551",5
"562",1
"571",1
"575",1
"582",7
"583",1
"584",1
"591",2
"596",1
"600",1
"609",2
"616",0
"618",1
"620",1
"622",2
"632",1
"633",3
"634",0
"635",0
"636",1
"643",1
"644",1
"646",0
"651",0
"652",0
"658",1
"668",0
"669",8
"676",1
"698",3
"704",4
"712",0
"715",1
"716",1
"718",2
"720",2
"744",0
"745",2
"746",3
"749",1
"758",1
"762",1
"766",1
"769",0
"778",1
"780",4
"785",3
"796",1
"805",2
"808",1
"826",2
"836",0
"840",4
"845",1
"846",0
"851",8
"852",3
"865",4
"866",0
"875",0
"878",1
"884",2
"888",0
"890",4
"891",0
"893",4
"898",0
"906",2
"907",1
"908",2
"915",2
"917",1
"918",1
"919",1
"926",1
"933",1
"938",1
"939",1
"947",2
"948",2
"960",3
"964",1
"974",3
"979",4
"982",5
"989",5
"990",1
"1007",3
"1009",5
"1010",3
"1022",0
"1023",2
"1026",2
"1027",3
"1034",6
"1044",6
"1046",2
"1048",4
"1052",0
"1053",1
"1055",2
"1056",1
"1057",1
"1058",3
"1059",2
"1061",0
"1062",0
"1065",2
"1071",0
"1072",5
"1076",1
"1095",3
"1096",2
"1097",1
"1098",6
"1101",1
"1104",0
"1105",1
"1111",7
"1115",1
"1116",1
"1118",2
"1121",3
"1123",0
"1124",0
"1125",0
"1126",3
"1138",0
"1140",10
"1141",0
"1143",0
"1144",3
"1148",1
