"","x"
"1",4
"3",2
"8",3
"9",1
"10",6
"11",2
"13",1
"14",3
"15",3
"16",5
"17",2
"25",0
"27",4
"30",4
"33",4
"42",0
"43",1
"44",0
"51",3
"52",2
"62",1
"63",3
"64",1
"66",2
"68",0
"69",0
"70",1
"87",0
"96",2
"97",4
"101",2
"109",2
"125",1
"136",3
"139",1
"140",1
"145",1
"150",2
"151",1
"154",3
"155",1
"157",12
"158",1
"165",12
"178",1
"180",0
"182",1
"185",1
"186",1
"188",0
"198",0
"200",4
"207",2
"216",1
"217",10
"226",6
"232",5
"233",0
"234",0
"235",1
"240",0
"247",1
"248",1
"249",0
"254",4
"255",0
"276",1
"283",1
"284",0
"286",0
"290",1
"319",4
"322",7
"324",2
"326",10
"327",10
"328",1
"331",0
"336",11
"341",3
"343",1
"345",3
"346",2
"354",0
"357",0
"361",3
"362",0
"363",0
"364",0
"368",0
"369",3
"370",1
"371",0
"372",0
"373",0
"376",0
"377",1
"378",0
"381",4
"382",2
"390",0
"391",1
"393",10
"407",0
"408",1
"409",2
"414",0
"415",0
"416",0
"418",1
"425",0
"428",0
"430",1
"431",1
"432",12
"434",16
"437",11
"438",13
"443",11
"444",2
"446",1
"456",0
"467",2
"469",7
"472",9
"476",0
"477",0
"487",14
"488",4
"492",6
"493",7
"494",4
"501",12
"502",5
"503",8
"505",2
"516",0
"519",13
"522",10
"528",9
"529",4
"530",7
"532",3
"533",3
"535",8
"541",2
"542",11
"543",0
"545",5
"546",0
"549",1
"550",3
"551",6
"562",1
"571",0
"575",0
"582",9
"583",1
"584",3
"591",2
"596",1
"600",3
"609",3
"616",0
"618",5
"620",0
"622",4
"632",1
"633",4
"634",1
"635",0
"636",2
"643",1
"644",1
"646",1
"651",1
"652",3
"658",1
"668",2
"669",11
"676",1
"698",2
"704",2
"712",3
"715",2
"716",0
"718",2
"720",3
"744",3
"745",2
"746",2
"749",2
"758",2
"762",1
"766",0
"769",2
"778",1
"780",4
"785",1
"796",1
"805",2
"808",1
"826",1
"836",2
"840",4
"845",3
"846",1
"851",10
"852",4
"865",4
"866",0
"875",3
"878",1
"884",2
"888",0
"890",5
"891",1
"893",4
"898",6
"906",2
"907",1
"908",5
"915",1
"917",0
"918",1
"919",0
"926",2
"933",1
"938",0
"939",0
"947",3
"948",6
"960",2
"964",1
"974",3
"979",3
"982",3
"989",3
"990",2
"1007",4
"1009",6
"1010",2
"1022",1
"1023",3
"1026",5
"1027",4
"1034",3
"1044",4
"1046",2
"1048",2
"1052",2
"1053",3
"1055",7
"1056",1
"1057",1
"1058",4
"1059",9
"1061",3
"1062",0
"1065",11
"1071",0
"1072",4
"1076",2
"1095",1
"1096",3
"1097",0
"1098",9
"1101",5
"1104",1
"1105",3
"1111",6
"1115",2
"1116",3
"1118",4
"1121",3
"1123",0
"1124",0
"1125",0
"1126",3
"1138",0
"1140",10
"1141",1
"1143",0
"1144",4
"1148",3
"1151",0
"1156",4
"1160",0
"1162",3
"1167",1
"1168",0
"1172",4
"1173",0
"1175",6
"1177",0
"1182",0
"1188",0
"1189",0
"1200",0
"1203",12
"1206",14
"1210",0
"1212",1
"1215",0
"1216",1
"1220",1
"1221",4
"1225",0
"1227",0
"1228",4
"1229",1
"1235",1
"1238",3
"1239",5
"1243",0
"1244",6
"1245",0
"1246",4
"1248",1
"1251",1
"1253",1
"1254",1
"1258",0
"1265",2
"1285",4
"1286",10
"1291",8
"1292",1
"1293",2
"1294",3
"1297",2
"1298",3
"1304",0
"1312",3
"1319",2
"1337",3
"1341",1
"1346",1
"1348",1
"1350",1
"1352",2
"1355",2
"1356",0
"1357",4
"1363",1
"1370",1
"1372",0
"1373",2
"1375",4
"1376",2
"1378",4
"1379",3
"1380",0
"1381",4
"1382",1
"1383",3
"1386",3
"1387",1
"1388",1
"1390",9
"1391",2
"1392",0
"1393",6
"1394",4
"1395",1
"1399",0
"1400",4
"1401",4
"1405",3
"1406",24
"1407",12
"1408",10
"1409",14
"1412",4
"1418",28
"1428",27
"1429",12
"1430",2
"1433",5
"1434",26
"1437",3
"1439",2
"1442",31
"1443",30
"1447",5
"1448",29
"1449",19
"1450",26
"1457",2
"1462",3
"1464",18
"1465",21
"1466",3
"1467",0
"1470",1
"1472",2
"1473",5
"1476",12
"1482",25
"1486",13
"1497",4
"1498",28
"1499",18
"1500",7
"1501",7
"1505",11
"1508",8
"1510",4
"1513",1
"1515",2
"1517",1
"1524",17
"1525",6
"1532",1
"1534",4
"1539",17
"1540",21
"1542",8
"1545",11
"1547",2
"1548",1
"1549",10
"1558",1
"1564",7
"1567",3
"1570",9
"1572",6
"1573",5
"1574",0
"1576",20
"1578",21
"1579",0
"1581",6
"1584",7
"1586",7
"1588",18
"1590",5
"1593",15
"1595",14
"1598",33
"1599",20
"1600",17
"1601",9
"1605",2
"1607",1
"1610",0
"1612",6
"1613",10
"1614",15
"1615",0
"1616",4
"1617",13
"1618",5
"1620",3
"1621",22
"1624",6
"1627",14
"1630",21
"1631",5
"1632",5
"1633",23
"1634",3
"1635",3
"1636",14
"1637",23
"1638",5
"1639",4
"1640",3
"1642",11
"1643",26
"1644",4
"1648",20
"1654",0
"1655",17
"1656",3
"1659",19
"1662",1
"1664",21
"1668",1
"1676",13
"1678",25
"1679",26
"1681",5
