node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP
5428,eaten,itN,3,1,2,2,1,eaten,2,4,469,5,54,7,927,3526,325,3412832,5
14302,real,riL,16,12,4,4,12,real,1,3,371,5,192,32,22583,83094,24403,297702750,4
7606,halves,h@vz,7,4,3,4,3,halves,1,4,500,6,18,8,56,1160,24,1070410,4
18932,where,hwEr,7,4,3,4,3,where,1,3,332,6,115,6,93341,258804,73309,360478571,4
14348,recession,rIsES|n,1,0,1,0,1,recession,3,7,519,10,4,4,23,7666,3122,1637070,8
7041,gawky,gcki,1,0,1,0,1,gawky,2,4,412,5,17,1,14,66,3,32782,4
3583,complete,kxmplit,1,0,1,0,1,complete,2,7,457,9,2,4,2636,23661,3034,149315377,8
5163,dolly,dali,13,12,1,11,2,dolly,2,4,529,6,103,21,306,872,145,2268877,5
18673,void,vOd,4,2,2,2,2,void,1,3,461,5,18,6,209,1839,206,32492676,4
17586,trample,tr@mpL,2,0,2,0,2,trample,2,7,544,8,8,4,41,142,22,527795,8
9268,jabber,J@bX,3,2,1,2,1,jabber,2,4,489,6,9,4,25,41,3,2858295,4
8495,inanity,In@n|ti,1,0,1,1,0,inanity,4,7,536,6,1,2,1,24,0,51255,6
8948,insubstantial,Insxbst@nCL,1,1,0,1,0,insubstantial,4,12,785,13,1,0,18,175,6,123180,11
1412,baby,bebi,5,4,1,3,2,baby,2,4,372,5,55,17,25978,34012,8993,117716269,5
373,afoot,xfUt,1,0,1,1,0,afoot,2,4,448,4,2,1,52,303,46,367802,3
8674,indoor,Indor,3,1,2,1,2,indoor,2,5,389,7,3,1,68,2603,146,13875813,6
11778,oath,oT,12,9,3,3,9,oath,1,2,352,5,43,19,504,1792,640,2684269,3
11974,opt,apt,2,2,0,2,0,opt,1,3,350,4,23,18,20,1906,239,10770523,4
3521,commendation,kamxndeS|n,1,0,1,0,1,commendation,4,10,747,9,0,0,46,152,16,431651,7
6404,filial,fIliL,1,0,1,0,1,filial,3,6,529,5,0,0,15,205,1,218828,5
3253,classical,kl@sIkL,2,1,1,1,1,classical,3,8,516,10,1,0,224,5135,475,33959138,7
9330,jig,JIg,17,15,2,10,7,jig,1,3,375,4,47,24,87,537,19,1393707,4
1942,blood,bl^d,7,6,1,2,5,blood,1,4,369,6,20,8,9492,36787,5666,61356375,5
12360,pap,p@p,28,28,0,19,9,pap,1,3,279,4,73,43,66,646,57,1954530,4
13198,pocket,pak|t,7,7,0,7,0,pocket,2,5,304,7,12,9,1821,10395,1017,38932393,6
2266,bucket,b^k|t,1,1,0,1,0,bucket,2,5,337,7,11,6,511,2429,231,4415452,6
563,alteration,cltXeS|n,2,0,2,0,2,alteration,4,8,673,11,2,3,36,509,22,2847005,9
17378,tincture,tIGkCX,1,0,1,0,1,tincture,2,6,422,9,4,1,4,104,0,318695,7
5406,ear,Ir,31,12,19,22,9,ear,1,2,278,4,113,50,1632,9860,923,14882612,3
12979,pierce,pIrs,4,3,1,2,2,pierce,1,4,479,7,24,12,1313,2196,269,5947276,5
18600,virtue,vRCu,2,1,1,0,2,virtue,2,4,521,7,1,1,263,3635,296,5148061,5
