"","x"
"1",6
"3",2
"6",1
"8",2
"9",1
"10",3
"11",1
"13",0
"14",3
"15",2
"16",9
"17",1
"25",1
"27",2
"29",2
"30",1
"33",3
"34",1
"35",1
"40",1
"42",1
"43",8
"44",1
"45",1
"48",0
"50",0
"51",4
"52",1
"54",1
"58",0
"59",0
"61",1
"62",2
"63",1
"64",0
"66",2
"68",2
"69",1
"70",1
"71",1
"74",2
"76",0
"77",0
"78",0
"87",1
"90",0
"92",0
"96",2
"97",1
"101",1
"109",1
"112",0
"115",1
"118",2
"120",1
"122",0
"123",0
"124",1
"125",2
"136",4
"139",2
"140",2
"143",1
"145",2
"150",2
"151",0
"154",2
"155",0
"156",1
"157",14
"158",0
"162",1
"165",15
"167",2
"170",1
"174",0
"175",1
"176",0
"177",1
"178",2
"180",1
"182",2
"185",1
"186",2
"188",1
"189",1
"193",1
"194",0
"197",1
"198",2
"200",7
"203",3
"205",1
"207",4
"208",1
"210",0
"211",0
"212",0
"216",1
"217",15
"220",1
"222",2
"226",6
"228",2
"229",4
"230",0
"232",5
"233",1
"234",0
"235",2
"236",2
"240",0
"247",1
"248",0
"249",1
"253",2
"254",3
"255",1
"264",1
"268",1
"276",2
"279",2
"282",3
"283",1
"284",0
"286",1
"289",1
"290",1
"303",0
"307",0
"309",0
"313",0
"315",0
"319",3
"321",1
"322",8
"323",2
"324",2
"326",16
"327",10
"328",2
"331",0
"336",17
"340",1
"341",2
"343",1
"345",2
"346",2
"348",1
"349",1
"352",1
"354",1
"357",1
"361",4
"362",2
"363",2
"364",1
"365",0
"366",0
"368",1
"369",2
"370",2
"371",1
"372",1
"373",1
"376",2
"377",1
"378",1
"381",9
"382",4
"390",1
"391",1
"393",8
"397",1
"406",1
"407",1
"408",1
"409",2
"410",1
"411",1
"412",2
"413",0
"414",1
"415",1
"416",1
"418",2
"425",1
"426",0
"427",0
"428",2
"430",2
"431",1
"432",12
"434",24
"437",13
"438",19
"443",19
"444",2
"446",2
"456",1
"467",1
"469",6
"472",4
"476",0
"477",0
"481",0
"483",1
"487",7
"488",1
"489",2
"490",1
"492",3
"493",3
"494",0
"495",0
"498",0
"501",19
"502",1
"503",9
"504",1
"505",3
"511",1
"516",0
"519",16
"521",1
"522",6
"524",1
"527",1
"528",5
"529",2
"530",2
"532",3
"533",4
"535",4
"541",1
"542",14
"543",1
"545",5
"546",2
"549",0
"550",2
"551",1
"561",0
"562",4
"563",0
"564",1
"566",1
"568",0
"570",2
"571",0
"575",1
"577",0
"578",0
"582",12
"583",3
"584",3
"591",1
"596",1
"600",4
"606",0
"607",0
"609",4
"616",1
"618",7
"620",0
"622",2
"632",1
"633",2
"634",1
"635",1
"636",3
"638",1
"643",1
"644",0
"646",2
"647",1
"651",2
"652",3
"658",2
"660",0
"661",0
"665",1
"668",3
"669",14
"676",1
"682",1
"698",4
"704",8
"712",3
"715",3
"716",0
"718",1
"720",8
"729",1
"733",1
"744",3
"745",12
"746",1
"749",3
"754",1
"755",2
"758",1
"759",1
"762",1
"764",1
"766",1
"769",2
"778",2
"780",8
"785",2
"790",1
"793",1
"796",1
"805",1
"808",1
"826",0
"835",1
"836",3
"840",5
"845",3
"846",3
"847",1
"849",1
"850",0
"851",9
