"","x"
"1",1
"3",1
"6",0
"8",2
"9",1
"10",4
"11",2
"13",2
"14",1
"15",2
"16",1
"17",2
"25",0
"27",3
"29",0
"30",4
"33",2
"34",0
"35",0
"40",0
"42",0
"43",0
"44",0
"45",0
"48",1
"50",1
"51",1
"52",3
"54",0
"58",1
"59",1
"61",0
"62",0
"63",3
"64",1
"66",1
"68",0
"69",0
"70",1
"71",0
"74",0
"76",1
"77",2
"78",1
"87",0
"90",1
"92",1
"96",0
"97",4
"101",1
"109",1
"112",1
"115",1
"118",1
"120",0
"122",1
"123",1
"124",0
"125",0
"136",0
"139",0
"140",0
"143",0
"145",0
"150",0
"151",2
"154",3
"155",2
"156",0
"157",8
"158",1
"162",0
"165",9
"167",0
"170",0
"174",1
"175",1
"176",1
"177",1
"178",0
"180",0
"182",0
"185",1
"186",1
"188",0
"189",0
"193",1
"194",1
"197",0
"198",0
"200",2
"203",0
"205",0
"207",1
"208",1
"210",1
"211",1
"212",1
"216",1
"217",10
"220",0
"222",0
"226",3
"228",0
"229",1
"230",1
"232",3
"233",1
"234",1
"235",1
"236",0
"240",1
"247",1
"248",1
"249",0
"253",0
"254",1
"255",0
"264",0
"268",0
"276",2
"279",0
"282",0
"283",1
"284",1
"286",0
"289",0
"290",0
"303",2
"307",2
"309",2
"313",1
"315",1
"319",3
"321",0
"322",0
"323",0
"324",2
"326",3
"327",4
"328",1
"331",1
"336",4
"340",0
"341",2
"343",0
"345",2
"346",0
"348",0
"349",0
"352",0
"354",0
"357",0
"361",0
"362",1
"363",0
"364",0
"365",1
"366",1
"368",0
"369",2
"370",0
"371",0
"372",0
"373",0
"376",0
"377",1
"378",0
"381",1
"382",1
"390",0
"391",0
"393",8
"397",0
"406",0
"407",1
"408",0
"409",0
"410",0
"411",1
"412",0
"413",1
"414",0
"415",0
"416",1
"418",1
"425",1
"426",1
"427",1
"428",0
"430",0
"431",0
"432",8
"434",8
"437",8
"438",11
"443",4
"444",1
"446",0
"456",0
"467",2
"469",3
"472",5
"476",1
"477",2
"481",1
"483",1
"487",9
"488",4
"489",0
"490",0
"492",5
"493",5
"494",4
"495",1
"498",1
"501",6
"502",7
"503",3
"504",0
"505",0
"511",0
"516",1
"519",6
"521",0
"522",6
"524",0
"527",0
"528",5
"529",3
"530",5
"532",3
"533",0
"535",5
"541",1
"542",6
"543",0
"545",2
"546",0
"549",1
"550",3
"551",5
"561",1
"562",1
"563",2
"564",1
"566",1
"568",1
"570",0
"571",1
"575",1
"577",1
"578",1
"582",7
"583",1
"584",1
"591",2
"596",1
"600",1
"606",1
"607",1
"609",2
"616",0
"618",1
"620",1
"622",2
"632",1
"633",3
"634",0
"635",0
"636",1
"638",0
"643",1
"644",1
"646",0
"647",0
"651",0
"652",0
"658",1
"660",1
"661",1
"665",0
"668",0
"669",8
"676",1
"682",0
"698",3
"704",4
"712",0
"715",1
"716",1
"718",2
"720",2
"729",0
