"","x"
"1",4
"3",2
"6",0
"8",3
"9",1
"10",6
"11",2
"13",1
"14",3
"15",3
"16",5
"17",2
"25",0
"27",4
"29",2
"30",4
"33",4
"34",1
"35",1
"40",1
"42",0
"43",1
"44",0
"45",1
"48",0
"50",0
"51",3
"52",2
"54",1
"58",1
"59",1
"61",1
"62",1
"63",3
"64",1
"66",2
"68",0
"69",0
"70",1
"71",0
"74",2
"76",1
"77",1
"78",0
"87",0
"90",0
"92",0
"96",2
"97",4
"101",2
"109",2
"112",1
"115",2
"118",3
"120",1
"122",1
"123",1
"124",1
"125",1
"136",3
"139",1
"140",1
"143",0
"145",1
"150",2
"151",1
"154",3
"155",1
"156",0
"157",12
"158",1
"162",1
"165",12
"167",1
"170",1
"174",1
"175",1
"176",1
"177",2
"178",1
"180",0
"182",1
"185",1
"186",1
"188",0
"189",0
"193",1
"194",0
"197",0
"198",0
"200",4
"203",1
"205",1
"207",2
"208",0
"210",0
"211",0
"212",0
"216",1
"217",10
"220",1
"222",2
"226",6
"228",0
"229",2
"230",0
"232",5
"233",0
"234",0
"235",1
"236",2
"240",0
"247",1
"248",1
"249",0
"253",2
"254",4
"255",0
"264",0
"268",0
"276",1
"279",2
"282",2
"283",1
"284",0
"286",0
"289",1
"290",1
"303",2
"307",2
"309",2
"313",1
"315",1
"319",4
"321",0
"322",7
"323",1
"324",2
"326",10
"327",10
"328",1
"331",0
"336",11
"340",1
"341",3
"343",1
"345",3
"346",2
"348",1
"349",1
"352",1
"354",0
"357",0
"361",3
"362",0
"363",0
"364",0
"365",0
"366",0
"368",0
"369",3
"370",1
"371",0
"372",0
"373",0
"376",0
"377",1
"378",0
"381",4
"382",2
"390",0
"391",1
"393",10
"397",1
"406",1
"407",0
"408",1
"409",2
"410",1
"411",1
"412",2
"413",0
"414",0
"415",0
"416",0
"418",1
"425",0
"426",0
"427",0
"428",0
"430",1
"431",1
"432",12
"434",16
"437",11
"438",13
"443",11
"444",2
"446",1
"456",0
"467",2
"469",7
"472",9
"476",0
"477",0
"481",1
"483",2
"487",14
"488",4
"489",2
"490",1
"492",6
"493",7
"494",4
"495",0
"498",0
"501",12
"502",5
"503",8
"504",0
"505",2
"511",0
"516",0
"519",13
"521",0
"522",10
"524",0
"527",1
"528",9
"529",4
"530",7
"532",3
"533",3
"535",8
"541",2
"542",11
"543",0
"545",5
"546",0
"549",1
"550",3
"551",6
"561",1
"562",1
"563",0
"564",1
"566",1
"568",1
"570",1
"571",0
"575",0
"577",1
"578",1
"582",9
"583",1
"584",3
"591",2
"596",1
"600",3
"606",1
"607",1
"609",3
"616",0
"618",5
"620",0
"622",4
"632",1
"633",4
"634",1
"635",0
"636",2
"638",1
"643",1
"644",1
"646",1
"647",1
"651",1
"652",3
"658",1
"660",0
"661",0
"665",1
"668",2
"669",11
"676",1
"682",0
"698",2
"704",2
"712",3
"715",2
"716",0
"718",2
"720",3
"729",0
"733",0
"744",3
"745",2
"746",2
"749",2
"754",1
"755",1
"758",2
"759",0
"762",1
"764",1
"766",0
"769",2
"778",1
"780",4
"785",1
"790",0
"793",1
"796",1
"805",2
"808",1
"826",1
"835",0
"836",2
"840",4
"845",3
"846",1
"847",1
"849",0
"850",2
"851",10
"852",4
"857",1
"859",2
"863",1
"865",4
"866",0
"869",2
"875",3
"877",1
"878",1
"884",2
"888",0
"890",5
"891",1
"893",4
"894",0
"895",0
"897",2
"898",6
"903",1
"906",2
"907",1
"908",5
"909",0
"915",1
"917",0
"918",1
"919",0
"922",1
"923",1
"924",1
"925",0
"926",2
"933",1
"938",0
"939",0
"947",3
"948",6
"949",1
"954",1
"955",1
"960",2
"964",1
"971",0
"973",0
"974",3
"975",1
"979",3
"980",1
"981",2
"982",3
"984",1
"989",3
"990",2
"998",0
"999",0
"1003",2
"1005",1
"1007",4
"1009",6
"1010",2
"1011",0
"1012",0
"1014",1
"1016",0
"1022",1
"1023",3
"1024",0
"1026",5
"1027",4
"1034",3
"1044",4
"1045",1
"1046",2
"1048",2
"1050",1
"1051",2
"1052",2
"1053",3
"1055",7
"1056",1
"1057",1
"1058",4
"1059",9
"1061",3
"1062",0
"1064",1
"1065",11
"1071",0
"1072",4
"1076",2
"1081",1
"1089",0
"1090",1
"1091",1
"1094",0
"1095",1
"1096",3
"1097",0
"1098",9
"1101",5
"1104",1
"1105",3
"1106",1
"1107",1
"1108",0
"1109",0
"1110",0
"1111",6
"1113",1
"1115",2
"1116",3
"1118",4
"1121",3
"1123",0
"1124",0
"1125",0
"1126",3
"1138",0
"1140",10
"1141",1
"1143",0
"1144",4
"1148",3
"1150",0
"1151",0
"1156",4
"1160",0
"1162",3
"1167",1
"1168",0
"1172",4
"1173",0
"1175",6
"1177",0
"1182",0
"1185",0
"1187",1
"1188",0
"1189",0
"1200",0
"1203",12
"1206",14
"1208",0
"1210",0
"1212",1
"1215",0
"1216",1
"1220",1
"1221",4
"1222",0
"1223",0
"1224",1
"1225",0
"1226",0
"1227",0
"1228",4
"1229",1
"1230",1
"1235",1
"1238",3
"1239",5
"1243",0
"1244",6
"1245",0
"1246",4
"1248",1
"1251",1
"1253",1
"1254",1
"1255",0
"1258",0
"1259",0
"1264",0
"1265",2
"1266",0
"1268",2
"1273",1
"1280",1
"1281",2
"1282",0
"1284",0
