node,ortho,phono
1,a,x
2,aardvark,ardvark
3,aback,xb@k
4,abacus,@bxkxs
5,abaft,xb@ft
6,abalone,@bxloni
7,abandon,xb@nd|n
8,abase,xbes
9,abash,xb@S
10,abate,xbet
11,abatis,@bxti
12,abattoir,@bxtwar
13,abbacy,@bxsi
14,abbe,@be
15,abbess,@bxs
16,abbey,@bi
17,abbot,@bxt
18,abbreviate,xbriviet
19,abbreviation,xbrivieS|n
20,abdicate,@bdIket
21,abdication,@bdIkeS|n
22,abdomen,@bdxmxn
23,abdominal,@bdamxnL
24,abduct,@bd^kt
25,abeam,xbim
26,abecedarian,ebisidErixn
27,abed,xbEd
28,aberrant,@bErxnt
29,aberration,@bXeS|n
30,abet,xbEt
31,abeyance,xbexns
32,abhor,xbhor
33,abide,xbYd
34,ability,xbIl|ti
35,abject,@bJEkt
36,abjection,@bJEkS|n
37,abjectly,@bJEktli
38,abjuration,@bJxreS|n
39,abjure,@bJUr
40,ablate,@blet
41,ablative,@blxtIv
42,ablaze,xblez
43,able,ebL
44,abloom,xblum
45,ablution,xbluS|n
46,abnegate,@bnIget
47,abnegation,@bnIgeS|n
48,abnormal,@bnormL
49,abnormality,@bnorm@l|ti
50,abnormally,@bnormLi
51,aboard,xbord
52,abode,xbod
53,abolish,xbalIS
54,abolition,@bxlIS|n
55,abolitionist,@bxlIS|n|st
56,abominable,xbamxnxbL
57,abominate,xbamxnet
58,aboriginal,@bXIJ|nL
59,aborigine,@bXIJ|ni
60,aborning,xbornIG
61,abortion,xborS|n
62,abound,xbWnd
63,about,xbWt
64,above,xb^v
65,abracadabra,@brxkxd@brx
66,abrade,xbred
67,abrasive,xbresIv
68,abreast,xbrEst
69,abridge,xbrIJ
70,abroad,xbrcd
71,abrogate,@brxget
72,abrogation,@brxgeS|n
73,abrupt,xbr^pt
74,abscess,@bsEs
75,abscound,@bskand
76,absence,@bs|ns
77,absent,@bs|nt
78,absentee,@bs|nti
79,absentminded,@bs|ntmYnd|d
80,absinthe,@bsInT
81,absolute,@bsxlut
82,absolutely,@bsxlutli
83,absolution,@bsxluS|n
84,absolutism,@bsxlutIzM
85,absolve,xbzalv
86,absorb,xbsorb
87,abstain,xbsten
88,abstemious,@bstimixs
89,abstinence,@bst|n|ns
90,abstract,@bstr@kt
91,abstraction,@bstr@kS|n
92,abstracts,@bstr@kts
93,abstruse,xbstrus
94,absurd,xbsRd
95,abundant,xb^nd|nt
96,abuse,xbyuz
97,abut,xb^t
98,abuttals,xb^tLz
99,abysm,xbIzM
100,abysmal,xbIzmL
101,abyss,xbIs
102,acacia,xkeSx
103,academe,@k|dim
104,academic,@k|dEmIk
105,academician,@k|dxmIS|n
106,academicism,@k|dEmxsIzM
107,academy,xk@dxmi
108,acanthus,xk@nT|s
109,accede,@ksid
110,accelerando,aCElxrando
111,accelerate,@ksElXet
112,accent,@ksEnt
113,accentual,@ksEnCuL
114,accentuate,@ksEnCuet
115,accept,@ksEpt
116,acceptance,@ksEpt|ns
117,acceptation,@ksEpteS|n
118,access,@ksEs
119,accessible,@ksEs|bL
120,accession,aksES|n
121,accessory,@ksEsXi
122,accidence,@ks|d|ns
123,accident,@ks|d|nt
124,accidental,@ksxdEntL
125,acclaim,xklem
126,acclamation,@klxmeS|n
127,acclimate,@klxmet
128,acclimatize,xklYmxtYz
129,acclivity,xklIvxti
130,accolade,@kxled
131,accommodate,xkamxdet
132,accommodation,xkamxdeS|n
133,accompaniment,xk^mpxnimxnt
134,accomplice,xkamplxs
135,accomplish,xkamplIS
136,accord,xkord
137,accordance,xkordNs
138,accordion,xkordixn
139,accost,xkcst
140,account,xkWnt
141,accountant,xkWntNt
142,accoutre,xkutX
143,accredit,xkrEd|t
144,accretion,xkriS|n
145,accrue,xkru
146,acculturation,xk^lCXeS|n
147,accumulate,xkyumyUlet
148,accuracy,@kyXxsi
149,accurate,@kyX|t
150,accursed,xkRst
151,accusal,xkyuzL
152,accusation,@kyuzeS|n
153,accusative,xkyuz|tIv
154,accuse,xkyuz
155,accuser,xkyuzX
156,accustom,xk^stxm
157,ace,es
158,acerb,xsRb
159,acerbity,xsRbxti
160,acetanilide,@sxt@nxlYd
161,acetate,@sxtet
162,acetic,xsitIk
163,acetone,@sxton
164,acetylene,xsEtLxn
165,ache,ek
166,achieve,xCiv
167,achromatic,@krxm@tIk
168,acid,@s|d
169,acidic,xsIdIk
170,acidity,xsId|ti
171,acidosis,@sxdos|s
172,acidulous,xsIJUlxs
173,acknowledge,@knal|J
174,acme,@kmi
175,acne,@kni
176,acolyte,@kxlYt
177,aconite,@kxnYt
178,acorn,ekorn
179,acoustic,xkustIk
180,acquaint,xkwent
181,acquiesce,@kwiEs
182,acquire,xkwYr
183,acquisition,@kwxzIS|n
184,acquisitive,xkwIz|tIv
185,acquit,xkwIt
186,acre,ekX
187,acreage,ekXIJ
188,acrid,@krxd
189,acridity,@krId|ti
190,acrimonious,@krxmonixs
191,acrimony,@krxmoni
192,acrobat,@krxb@t
193,acrobatic,@krxb@tIk
194,acrobatics,@krxb@tIks
195,acronym,@krxnIm
196,acrophobia,@krxfobix
197,acropolis,xkrapLxs
198,across,xkrcs
199,acrostic,xkrcstIk
200,act,@kt
201,actinic,@ktInIk
202,actinium,@ktInixm
203,action,@kS|n
204,activate,@kt|vet
205,active,@ktIv
206,activity,@ktIvxti
207,actor,@ktX
208,actual,@kCuL
209,actuality,@kCu@l|ti
210,actually,@kCuLi
211,actuarial,@kCuEriL
212,actuary,@kCuEri
213,actuate,@kCuet
214,acuity,xkyu|ti
215,acumen,xkyumxn
216,acute,xkyut
217,ad,@d
218,adage,@dIJ
219,adagio,xdaJio
220,adamant,@dxmxnt
221,adamantine,@dxm@ntin
222,adapt,xd@pt
223,adaptability,xd@ptxbIl|ti
224,adaptation,@d@pteS|n
225,addendum,xdEndxm
226,adder,@dX
227,addict,@d|kt
228,addiction,xdIkS|n
229,addition,xdIS|n
230,additional,xdIS|nL
231,additive,@d|tIv
232,addle,@dL
233,address,@drEs
234,addressee,@drEsi
235,adduce,xdus
236,adept,xdEpt
237,adequate,@dIkw|t
238,adhere,@dhIr
239,adhesion,@dhiZ|n
240,adieu,xdyu
241,adios,@dios
242,adipose,@dxpos
243,adiposity,@dxpas|ti
244,adjacent,xJesNt
245,adjectival,@JIktYvL
246,adjective,@JIktIv
247,adjoin,xJOn
248,adjourn,xJRn
249,adjudge,xJ^J
250,adjudicate,xJudIket
251,adjudication,xJudIkeS|n
252,adjunct,@J^Gkt
253,adjuration,@JXeS|n
254,adjure,xJUr
255,adjust,xJ^st
256,adjutant,@Jxt|nt
257,adjuvant,@Jxvxnt
258,adman,@dm@n
259,administer,xdmIn|stX
260,administrative,xdmIn|stretIv
261,administrator,xdmIn|stretX
262,admirable,@dmXxbL
263,admiral,@dmXL
264,admiration,@dmXeS|n
265,admire,xdmYr
266,admirer,@dmYrX
267,admissible,xdmIsxbL
268,admission,xdmIS|n
269,admit,xdmIt
270,admittance,xdmItNs
271,admix,@dmIks
272,admixture,@dmIksCX
273,admonish,@dmanIS
274,admonition,@dmxnIS|n
275,admonitory,@dmanxtori
276,ado,xdu
277,adobe,xdobi
278,adolescence,@dxlEsNs
279,adopt,xdapt
280,adoptive,xdaptIv
281,adorable,xdorxbL
282,adoration,@dXeS|n
283,adore,xdor
284,adorn,xdorn
285,adrenal,xdrinL
286,adrift,xdrIft
287,adroit,xdrOt
288,adsorb,@dsorb
289,adulation,@J|leS|n
290,adult,xd^lt
291,adulterant,xd^ltXxnt
292,adulterate,xd^ltXet
293,adultery,xd^ltXi
294,adulthood,xd^lthUd
295,adumbrate,@dxmbret
296,adumbration,@d^mbreS|n
297,advance,@dv@ns
298,advantage,@dv@nt|J
299,advantageous,@dv@nteJ|s
300,Advent,@dvEnt
301,adventitious,@dvxntIS|s
302,adventure,xdvEnCX
303,adverb,@dvRb
304,adverbial,@dvRbiL
305,adversary,@dvXsEri
306,adversative,xdvRs|tIv
307,adverse,@dvRs
308,adversity,@dvRs|ti
309,advert,@dvRt
310,advertise,@dvXtYz
311,advertisement,@dvXtYzmxnt
312,advertising,@dvXtYzIG
313,advice,xdvYs
314,advisable,xdvYzxbL
315,advise,xdvYz
316,advisement,xdvYzmxnt
317,advisory,xdvYzXi
318,advocate,@dvxket
319,adze,@dz
320,aegis,iJ|s
321,aeon,ixn
322,aerate,Eret
323,aeration,EreS|n
324,aerial,@riL
325,aerialist,@riLxst
326,aerie,Eri
327,aero,Ero
328,aerobe,Erob
329,aerobic,ErobIk
330,aerodrome,@rxdrom
331,aeronaut,@rxnct
332,aeronautics,@rxnctIks
333,aeroplane,@rxplen
334,aerosol,@rIscl
335,aerospace,@rospes
336,aery,@ri
337,aesthete,EsTit
338,aesthetic,EsTEtIk
339,aestivate,Estxvet
340,aestivation,EstxveS|n
341,afar,xfar
342,affability,@fxbIl|ti
343,affable,@fxbL
344,affably,@fxbli
345,affair,xfEr
346,affect,xfEkt
347,affectation,@fEkteS|n
348,affection,xfEkS|n
349,afferent,@fXxnt
350,affiance,xfYxns
351,affidavit,@f|devxt
352,affiliate,xfIliet
353,affinity,xfIn|ti
354,affirm,xfRm
355,affirmation,@fXmeS|n
356,affirmative,xfRmxtIv
357,affix,xfIks
358,afflatus,xflet|s
359,afflict,xflIkt
360,affluence,@fluxns
361,afford,xford
362,affray,xfre
363,affright,xfrYt
364,affront,xfr^nt
365,afghan,@fg@n
366,afghani,@fg@ni
367,aficionado,xfISixnado
368,afield,xfild
369,afire,xfYr
370,aflame,xflem
371,afloat,xflot
372,aflutter,xfl^tX
373,afoot,xfUt
374,aforementioned,xformEnC|nd
375,aforesaid,xforsEd
376,afoul,xfWl
377,afraid,xfred
378,afresh,xfrES
379,African,@frIk|n
380,Afrikaans,@frIkans
381,aft,@ft
382,after,@ftX
383,afterbirth,@ftXbRT
384,aftermath,@ftXm@T
385,afternoon,@ftXnun
386,afterthought,@ftXTct
387,afterward,@ftXwXd
388,again,xgEn
389,against,xgEnst
390,agape,xgep
391,agate,@gxt
392,agave,xgavi
393,age,eJ
394,ageless,eJlxs
395,agency,eJ|nsi
396,agenda,xJEndx
397,agent,eJ|nt
398,agglomerate,xglamXet
399,agglutinate,xglutNet
400,aggrandize,xgr@ndYz
401,aggrandizement,xgr@ndYzmxnt
402,aggravate,@grxvet
403,aggravation,@grxveS|n
404,aggregate,@grIg|t
405,aggregation,@grIgeS|n
406,aggression,xgrES|n
407,aggrieve,xgriv
408,aghast,xg@st
409,agile,@JL
410,agility,xJIl|ti
411,agitate,@J|tet
412,agitation,@J|teS|n
413,agitator,@J|tetX
414,agleam,xglim
415,aglitter,xglItX
416,aglow,xglo
417,agnostic,@gnastIk
418,ago,xgo
419,agog,xgag
420,agonize,@g|nYz
421,agony,@g|ni
422,agora,@gXx
423,agoraphobia,@gXxfobix
424,agrarian,xgrErixn
425,agree,xgri
426,agricultural,@grIk^lCXL
427,agriculture,@grIk^lCX
428,aground,xgrWnd
429,ague,egyu
